水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,安曇川北流,,,,,左岸,0,35.32642725,136.0772185,,,
,安曇川北流,,,,,右岸,0,35.3247368,136.0764539,,,
,安曇川北流,,,,,左岸,0.1,35.32674055,136.0761871,,,
,安曇川北流,,,,,右岸,0.1,35.32505009,136.0754226,,,
,安曇川北流,,,,,左岸,0.2,35.3270569,136.0751696,,,
,安曇川北流,,,,,右岸,0.2,35.32537313,136.0743833,,,
,安曇川北流,,,,,左岸,0.3,35.32739709,136.0743434,,,
,安曇川北流,,,,,右岸,0.3,35.3258345,136.0732462,,,
,安曇川北流,,,,,左岸,0.4,35.32783919,136.0735688,,,
,安曇川北流,,,,,右岸,0.4,35.32641692,136.0722169,,,
,安曇川北流,,,,,左岸,0.5,35.32837029,136.0728543,,,
,安曇川北流,,,,,右岸,0.5,35.32709261,136.0713023,,,
,安曇川北流,,,,,左岸,0.6,35.32902891,136.0720377,,,
,安曇川北流,,,,,右岸,0.6,35.32769923,136.0705521,,,
,安曇川北流,,,,,左岸,0.7,35.32973494,136.0708457,,,
,安曇川北流,,,,,右岸,0.7,35.328072,136.069996,,,
,安曇川北流,,,,,左岸,0.8,35.32998191,136.0694534,,,
,安曇川北流,,,,,右岸,0.8,35.32818619,136.0692579,,,
,安曇川北流,,,,,左岸,0.9,35.32984453,136.0679979,,,
,安曇川北流,,,,,右岸,0.9,35.32809724,136.0685398,,,
,安曇川北流,,,,,左岸,1,35.32942417,136.0666934,,,
,安曇川北流,,,,,右岸,1,35.32786791,136.067804,,,
,安曇川北流,,,,,左岸,1.1,35.32891915,136.0657349,,,
,安曇川北流,,,,,右岸,1.1,35.32739751,136.0669148,,,
,安曇川北流,,,,,左岸,1.2,35.3286928,136.0650347,,,
,安曇川北流,,,,,右岸,1.2,35.32694901,136.0655932,,,
,安曇川北流,,,,,左岸,1.3,35.32861293,136.0641372,,,
,安曇川北流,,,,,右岸,1.3,35.32681554,136.0643083,,,
,安曇川北流,,,,,左岸,1.4,35.32865741,136.0632497,,,
,安曇川北流,,,,,右岸,1.4,35.32686597,136.0630027,,,
,安曇川北流,,,,,左岸,1.5,35.32882797,136.0623602,,,
,安曇川北流,,,,,右岸,1.5,35.32709585,136.0617501,,,
