水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,安祥寺川,,,,,左岸,0,34.98150271,135.8127562,,,
,安祥寺川,,,,,右岸,0,34.981501,135.8124276,,,
,安祥寺川,,,,,左岸,0.1,34.9824057,135.8127483,,,
,安祥寺川,,,,,右岸,0.1,34.9824009,135.8124197,,,
,安祥寺川,,,,,左岸,0.2,34.98330407,135.812747,,,
,安祥寺川,,,,,右岸,0.2,34.98330542,135.8124185,,,
,安祥寺川,,,,,左岸,0.3,34.98411287,135.8129009,,,
,安祥寺川,,,,,右岸,0.3,34.98423861,135.81261,,,
,安祥寺川,,,,,左岸,0.4,34.98495513,135.8133773,,,
,安祥寺川,,,,,右岸,0.4,34.98502756,135.8130607,,,
,安祥寺川,,,,,左岸,0.5,34.98584155,135.8136175,,,
,安祥寺川,,,,,右岸,0.5,34.98590055,135.8132968,,,
,安祥寺川,,,,,左岸,0.7,34.98766238,135.8137797,,,
,安祥寺川,,,,,右岸,0.7,34.98767047,135.8134513,,,
,安祥寺川,,,,,左岸,0.9,34.98947353,135.813849,,,
,安祥寺川,,,,,右岸,0.9,34.98946228,135.8135207,,,
,安祥寺川,,,,,左岸,1,34.99034443,135.8139064,,,
,安祥寺川,,,,,右岸,1,34.99038506,135.8135815,,,
,安祥寺川,,,,,左岸,1.3,34.99268896,135.8148231,,,
,安祥寺川,,,,,右岸,1.3,34.99295745,135.8147837,,,
,安祥寺川,,,,,左岸,1.4,34.99307953,135.81565,,,
,安祥寺川,,,,,右岸,1.4,34.99334918,135.8156248,,,
,安祥寺川,,,,,左岸,1.5,34.99341476,135.8167213,,,
,安祥寺川,,,,,右岸,1.5,34.99364412,135.8165472,,,
,安祥寺川,,,,,左岸,1.6,34.99385488,135.8175313,,,
,安祥寺川,,,,,右岸,1.6,34.99412442,135.8175045,,,
,安祥寺川,,,,,左岸,1.7,34.99449602,135.8181941,,,
,安祥寺川,,,,,右岸,1.7,34.99442155,135.8178782,,,
,安祥寺川,,,,,左岸,1.8,34.99534671,135.817893,,,
,安祥寺川,,,,,右岸,1.8,34.99530136,135.817569,,,
,安祥寺川,,,,,左岸,1.9,34.99612902,135.8177773,,,
,安祥寺川,,,,,右岸,1.9,34.99627982,135.8175045,,,
,安祥寺川,,,,,左岸,2,34.99689482,135.8183197,,,
,安祥寺川,,,,,右岸,2,34.9968334,135.8179996,,,
,安祥寺川,,,,,左岸,2.1,34.99776687,135.8181095,,,
,安祥寺川,,,,,右岸,2.1,34.99772756,135.8177844,,,
,安祥寺川,,,,,左岸,2.2,34.99849111,135.8180846,,,
,安祥寺川,,,,,右岸,2.2,34.99868895,135.8178605,,,
,安祥寺川,,,,,左岸,2.3,34.99926067,135.8181323,,,
,安祥寺川,,,,,右岸,2.3,34.99918067,135.8178183,,,
,安祥寺川,,,,,左岸,2.4,34.99992987,135.8186557,,,
,安祥寺川,,,,,右岸,2.4,34.99996763,135.8183302,,,
,安祥寺川,,,,,左岸,2.5,35.00080037,135.818217,,,
,安祥寺川,,,,,右岸,2.5,35.00058002,135.8180265,,,
,安祥寺川,,,,,左岸,2.6,35.00128875,135.8176229,,,
,安祥寺川,,,,,右岸,2.6,35.00122633,135.8173031,,,
,安祥寺川,,,,,左岸,2.7,35.00211778,135.8169424,,,
,安祥寺川,,,,,右岸,2.7,35.00184964,135.8168996,,,
,安祥寺川,,,,,左岸,2.8,35.00265281,135.816523,,,
,安祥寺川,,,,,右岸,2.8,35.00247212,135.8162785,,,
,安祥寺川,,,,,左岸,2.9,35.00321739,135.8157136,,,
,安祥寺川,,,,,右岸,2.9,35.00306304,135.8154437,,,
,安祥寺川,,,,,左岸,3,35.00363941,135.8147615,,,
,安祥寺川,,,,,右岸,3,35.00344523,135.8145328,,,
,安祥寺川,,,,,左岸,0.6,34.98684981,135.813744,,,
,安祥寺川,,,,,右岸,0.6,34.98686149,135.8134157,,,
,安祥寺川,,,,,左岸,0.8,34.98865268,135.8138209,,,
,安祥寺川,,,,,右岸,0.8,34.98866224,135.8134925,,,
,安祥寺川,,,,,左岸,1.1,34.99109553,135.8140758,,,
,安祥寺川,,,,,右岸,1.1,34.99114054,135.8137517,,,
,安祥寺川,,,,,左岸,1.2,34.99187543,135.8144214,,,
,安祥寺川,,,,,右岸,1.2,34.99207103,135.8141945,,,
