水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,官山川,,,,,左岸,0,35.07443852,135.5371147,,,
,官山川,,,,,右岸,0,35.07473327,135.5368954,,,
,官山川,,,,,左岸,0.1,35.07491869,135.538122,,,
,官山川,,,,,右岸,0.1,35.0753019,135.5376577,,,
,官山川,,,,,左岸,0.2,35.07566014,135.5388495,,,
,官山川,,,,,右岸,0.2,35.07596112,135.5383028,,,
,官山川,,,,,左岸,0.3,35.07648805,135.5393768,,,
,官山川,,,,,右岸,0.3,35.07672449,135.5387851,,,
,官山川,,,,,左岸,0.4,35.07742457,135.5398172,,,
,官山川,,,,,右岸,0.4,35.07745581,135.5391604,,,
,官山川,,,,,左岸,0.5,35.07842757,135.539501,,,
,官山川,,,,,右岸,0.5,35.07816272,135.5389274,,,
,官山川,,,,,左岸,0.6,35.0792112,135.5389766,,,
,官山川,,,,,右岸,0.6,35.07895873,135.5383948,,,
,官山川,,,,,左岸,0.7,35.07991893,135.5385964,,,
,官山川,,,,,右岸,0.7,35.07989712,135.537939,,,
,官山川,,,,,左岸,0.8,35.08024513,135.5389505,,,
,官山川,,,,,右岸,0.8,35.08078444,135.5389006,,,
,官山川,,,,,左岸,0.9,35.08020208,135.5399936,,,
,官山川,,,,,右岸,0.9,35.08074121,135.5400463,,,
,官山川,,,,,左岸,1,35.08097722,135.5410341,,,
,官山川,,,,,右岸,1,35.08100848,135.5403772,,,
,官山川,,,,,左岸,1.1,35.08187979,135.5410895,,,
,官山川,,,,,右岸,1.1,35.08190649,135.5404323,,,
,官山川,,,,,左岸,1.2,35.0825577,135.5412052,,,
,官山川,,,,,右岸,1.2,35.08293838,135.5407378,,,
,官山川,,,,,左岸,1.3,35.08314214,135.5420066,,,
,官山川,,,,,右岸,1.3,35.0835505,135.5415751,,,
,官山川,,,,,左岸,1.4,35.08414178,135.5425064,,,
,官山川,,,,,右岸,1.4,35.0841224,135.5418489,,,
,官山川,,,,,左岸,1.5,35.0847634,135.5424735,,,
,官山川,,,,,右岸,1.5,35.08476092,135.5418155,,,
,官山川,,,,,左岸,1.6,35.0857899,135.5428501,,,
,官山川,,,,,右岸,1.6,35.08596161,135.5422261,,,
,官山川,,,,,左岸,1.7,35.08666532,135.5431754,,,
,官山川,,,,,右岸,1.7,35.08680981,135.5425413,,,
,官山川,,,,,左岸,1.8,35.08753277,135.5434697,,,
,官山川,,,,,右岸,1.8,35.08767897,135.5428362,,,
,官山川,,,,,左岸,1.9,35.08799296,135.5437261,,,
,官山川,,,,,右岸,1.9,35.08853381,135.5437231,,,
,官山川,,,,,左岸,2,35.08799462,135.5448213,,,
,官山川,,,,,右岸,2,35.08853548,135.5448213,,,
,官山川,,,,,左岸,2.1,35.08799394,135.5459177,,,
,官山川,,,,,右岸,2.1,35.08853481,135.5459182,,,
,官山川,,,,,左岸,2.2,35.0879936,135.5470146,,,
,官山川,,,,,右岸,2.2,35.08853447,135.5470148,,,
,官山川,,,,,左岸,2.3,35.08799924,135.5481146,,,
,官山川,,,,,右岸,2.3,35.08854008,135.5481081,,,
,官山川,,,,,左岸,2.4,35.0880015,135.5492081,,,
,官山川,,,,,右岸,2.4,35.08854237,135.5492079,,,
,官山川,,,,,左岸,2.5,35.0880004,135.5503035,,,
,官山川,,,,,右岸,2.5,35.08854126,135.550306,,,
,官山川,,,,,左岸,2.6,35.08799698,135.5514002,,,
,官山川,,,,,右岸,2.6,35.08853784,135.5514027,,,
,官山川,,,,,左岸,2.7,35.08833676,135.5526044,,,
,官山川,,,,,右岸,2.7,35.08875818,135.5521919,,,
,官山川,,,,,左岸,2.8,35.08887114,135.5533846,,,
,官山川,,,,,右岸,2.8,35.0893612,135.5531062,,,
,官山川,,,,,左岸,2.9,35.08937535,135.5541061,,,
,官山川,,,,,右岸,2.9,35.08986643,135.5538303,,,
,官山川,,,,,左岸,3,35.08973313,135.5553585,,,
,官山川,,,,,右岸,3,35.09005103,135.5548261,,,
,官山川,,,,,左岸,3.1,35.09064197,135.5556016,,,
,官山川,,,,,右岸,3.1,35.09072366,135.5549511,,,
