水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,家棟川（淀川合流1）,,,,,左岸,0,35.23745655,135.9613142,,,
,家棟川（淀川合流1）,,,,,右岸,0,35.2370574,135.961059,,,
,家棟川（淀川合流1）,,,,,左岸,0.1,35.23785658,135.9598969,,,
,家棟川（淀川合流1）,,,,,右岸,0.1,35.23741348,135.9597963,,,
,家棟川（淀川合流1）,,,,,左岸,0.2,35.23796706,135.9591368,,,
,家棟川（淀川合流1）,,,,,右岸,0.2,35.23752315,135.9590417,,,
,家棟川（淀川合流1）,,,,,左岸,0.3,35.23809334,135.9580354,,,
,家棟川（淀川合流1）,,,,,右岸,0.3,35.23764614,135.957967,,,
,家棟川（淀川合流1）,,,,,左岸,0.4,35.23818361,135.9569015,,,
,家棟川（淀川合流1）,,,,,右岸,0.4,35.23773308,135.9569176,,,
,家棟川（淀川合流1）,,,,,左岸,0.5,35.23819313,135.9558125,,,
,家棟川（淀川合流1）,,,,,右岸,0.5,35.23774242,135.9558097,,,
,家棟川（淀川合流1）,,,,,左岸,0.6,35.23835292,135.954818,,,
,家棟川（淀川合流1）,,,,,右岸,0.6,35.2379209,135.9546614,,,
,家棟川（淀川合流1）,,,,,左岸,0.7,35.23870542,135.9539156,,,
,家棟川（淀川合流1）,,,,,右岸,0.7,35.23833798,135.9535974,,,
,家棟川（淀川合流1）,,,,,左岸,0.8,35.23928314,135.953146,,,
,家棟川（淀川合流1）,,,,,右岸,0.8,35.23897196,135.9527486,,,
,家棟川（淀川合流1）,,,,,左岸,0.9,35.23993446,135.9523886,,,
,家棟川（淀川合流1）,,,,,右岸,0.9,35.23962505,135.9519891,,,
,家棟川（淀川合流1）,,,,,左岸,1,35.24053291,135.9515029,,,
,家棟川（淀川合流1）,,,,,右岸,1,35.24015973,135.9511948,,,
,家棟川（淀川合流1）,,,,,左岸,1.1,35.24102266,135.9506111,,,
,家棟川（淀川合流1）,,,,,右岸,1.1,35.2406739,135.9502631,,,
,家棟川（淀川合流1）,,,,,左岸,1.2,35.24158115,135.9500042,,,
,家棟川（淀川合流1）,,,,,右岸,1.2,35.24131874,135.9495575,,,
,家棟川（淀川合流1）,,,,,左岸,1.3,35.24238161,135.949202,,,
,家棟川（淀川合流1）,,,,,右岸,1.3,35.24204968,135.9488303,,,
,家棟川（淀川合流1）,,,,,左岸,1.4,35.24293131,135.9482553,,,
,家棟川（淀川合流1）,,,,,右岸,1.4,35.24253508,135.9479934,,,
,家棟川（淀川合流1）,,,,,左岸,1.5,35.2434616,135.9474837,,,
,家棟川（淀川合流1）,,,,,右岸,1.5,35.24314273,135.9470955,,,
,家棟川（淀川合流1）,,,,,左岸,1.6,35.24406254,135.9466633,,,
,家棟川（淀川合流1）,,,,,右岸,1.6,35.24374023,135.9462792,,,
,家棟川（淀川合流1）,,,,,左岸,1.7,35.24480356,135.9461274,,,
,家棟川（淀川合流1）,,,,,右岸,1.7,35.24453682,135.9456845,,,
,家棟川（淀川合流1）,,,,,左岸,1.8,35.24544078,135.9452404,,,
,家棟川（淀川合流1）,,,,,右岸,1.8,35.24507612,135.9449175,,,
,家棟川（淀川合流1）,,,,,左岸,1.9,35.24588475,135.9442156,,,
,家棟川（淀川合流1）,,,,,右岸,1.9,35.24546486,135.9440159,,,
,家棟川（淀川合流1）,,,,,左岸,2,35.24621527,135.9431806,,,
,家棟川（淀川合流1）,,,,,右岸,2,35.24578874,135.9430031,,,
,家棟川（淀川合流1）,,,,,左岸,2.1,35.24648195,135.942339,,,
,家棟川（淀川合流1）,,,,,右岸,2.1,35.24625747,135.9418626,,,
