水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,寒谷川,,,,,左岸,0,34.88682328,135.8580864,,,
,寒谷川,,,,,右岸,0,34.88593119,135.8579288,,,
,寒谷川,,,,,左岸,0.1,34.88699995,135.8571736,,,
,寒谷川,,,,,右岸,0.1,34.88617764,135.8567253,,,
,寒谷川,,,,,左岸,0.2,34.88744399,135.8564347,,,
,寒谷川,,,,,右岸,0.2,34.88677607,135.8557,,,
,寒谷川,,,,,左岸,0.3,34.88825446,135.8561113,,,
,寒谷川,,,,,右岸,0.3,34.88761609,135.8553388,,,
,寒谷川,,,,,左岸,0.4,34.88866827,135.8553724,,,
,寒谷川,,,,,右岸,0.4,34.88827602,135.8543873,,,
,寒谷川,,,,,左岸,0.5,34.8893451,135.8554953,,,
,寒谷川,,,,,右岸,0.5,34.88938212,135.8544022,,,
,寒谷川,,,,,左岸,0.6,34.89027209,135.8555364,,,
,寒谷川,,,,,右岸,0.6,34.89025636,135.8544425,,,
,寒谷川,,,,,左岸,0.7,34.89131018,135.8553762,,,
,寒谷川,,,,,右岸,0.7,34.89099507,135.8543512,,,
,寒谷川,,,,,左岸,0.8,34.8919793,135.8553393,,,
,寒谷川,,,,,右岸,0.8,34.89209157,135.8542537,,,
,寒谷川,,,,,左岸,0.9,34.89284731,135.8549995,,,
,寒谷川,,,,,右岸,0.9,34.892846,135.8539054,,,
,寒谷川,,,,,左岸,1,34.89300298,135.8555553,,,
,寒谷川,,,,,右岸,1,34.89371597,135.8548858,,,
,寒谷川,,,,,左岸,1.1,34.89401729,135.8562545,,,
,寒谷川,,,,,右岸,1.1,34.89427164,135.8552048,,,
