水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,寺谷川,,,,,左岸,0,34.86087358,136.0271274,,,
,寺谷川,,,,,右岸,0,34.86060837,136.0275696,,,
,寺谷川,,,,,左岸,0.1,34.85990202,136.0268103,,,
,寺谷川,,,,,右岸,0.1,34.85986405,136.0273552,,,
,寺谷川,,,,,左岸,0.2,34.85910438,136.0264326,,,
,寺谷川,,,,,右岸,0.2,34.85902593,136.0269711,,,
,寺谷川,,,,,左岸,0.3,34.85809588,136.0264864,,,
,寺谷川,,,,,右岸,0.3,34.85825471,136.0269982,,,
,寺谷川,,,,,左岸,0.4,34.85730835,136.0267268,,,
,寺谷川,,,,,右岸,0.4,34.85730494,136.0272736,,,
,寺谷川,,,,,左岸,0.5,34.8564326,136.026627,,,
,寺谷川,,,,,右岸,0.5,34.85639286,136.0271717,,,
,寺谷川,,,,,左岸,0.6,34.85550622,136.0267855,,,
,寺谷川,,,,,右岸,0.6,34.85553821,136.027331,,,
,寺谷川,,,,,左岸,0.7,34.85490219,136.0267706,,,
,寺谷川,,,,,右岸,0.7,34.85447695,136.026952,,,
,寺谷川,,,,,左岸,0.8,34.85380631,136.0264701,,,
,寺谷川,,,,,右岸,0.8,34.85403943,136.0269381,,,
,寺谷川,,,,,左岸,0.9,34.85302086,136.0269383,,,
,寺谷川,,,,,右岸,0.9,34.85309484,136.0274777,,,
,寺谷川,,,,,左岸,1,34.85228823,136.0267979,,,
,寺谷川,,,,,右岸,1,34.85221958,136.0273383,,,
,寺谷川,,,,,左岸,1.1,34.85166566,136.0269877,,,
,寺谷川,,,,,右岸,1.1,34.85139511,136.0274251,,,
,寺谷川,,,,,左岸,1.2,34.85077344,136.0270622,,,
,寺谷川,,,,,右岸,1.2,34.85061567,136.0275744,,,
,寺谷川,,,,,左岸,1.3,34.85018904,136.026366,,,
,寺谷川,,,,,右岸,1.3,34.85012691,136.0269076,,,
,寺谷川,,,,,左岸,1.4,34.84935017,136.0263016,,,
,寺谷川,,,,,右岸,1.4,34.84917625,136.0268061,,,
,寺谷川,,,,,左岸,1.5,34.84831434,136.0263074,,,
,寺谷川,,,,,右岸,1.5,34.84848792,136.026812,,,
,寺谷川,,,,,左岸,1.6,34.84767778,136.0259652,,,
,寺谷川,,,,,右岸,1.6,34.84746482,136.0264471,,,
,寺谷川,,,,,左岸,1.7,34.84678025,136.0256877,,,
,寺谷川,,,,,右岸,1.7,34.84674724,136.026233,,,
,寺谷川,,,,,左岸,1.8,34.84598466,136.0257298,,,
,寺谷川,,,,,右岸,1.8,34.84584661,136.0262503,,,
