水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,小波田川（名張川合流）,,,,,左岸,0,34.65384672,136.0886017,,,
,小波田川（名張川合流）,,,,,右岸,0,34.65427234,136.0887814,,,
,小波田川（名張川合流）,,,,,左岸,0.1,34.65396214,136.0897267,,,
,小波田川（名張川合流）,,,,,右岸,0.1,34.65441181,136.0897647,,,
,小波田川（名張川合流）,,,,,左岸,0.2,34.65348553,136.0899043,,,
,小波田川（名張川合流）,,,,,右岸,0.2,34.65344431,136.0904475,,,
,小波田川（名張川合流）,,,,,左岸,0.3,34.65278195,136.0895473,,,
,小波田川（名張川合流）,,,,,右岸,0.3,34.6525137,136.0899857,,,
,小波田川（名張川合流）,,,,,左岸,0.4,34.65168781,136.0897296,,,
,小波田川（名張川合流）,,,,,右岸,0.4,34.65211258,136.0899122,,,
,小波田川（名張川合流）,,,,,左岸,0.5,34.65148476,136.0908371,,,
,小波田川（名張川合流）,,,,,右岸,0.5,34.65192878,136.0909311,,,
,小波田川（名張川合流）,,,,,左岸,0.6,34.65126435,136.0918435,,,
,小波田川（名張川合流）,,,,,右岸,0.6,34.65168827,136.092029,,,
,小波田川（名張川合流）,,,,,左岸,0.7,34.65098307,136.0929121,,,
,小波田川（名張川合流）,,,,,右岸,0.7,34.65142183,136.0930372,,,
,小波田川（名張川合流）,,,,,左岸,0.8,34.65098447,136.0941175,,,
,小波田川（名張川合流）,,,,,右岸,0.8,34.65141946,136.0939745,,,
,小波田川（名張川合流）,,,,,左岸,0.9,34.6513222,136.0951859,,,
,小波田川（名張川合流）,,,,,右岸,0.9,34.6517249,136.0949408,,,
,小波田川（名張川合流）,,,,,左岸,1,34.65172729,136.0961605,,,
,小波田川（名張川合流）,,,,,右岸,1,34.65212999,136.0959154,,,
,小波田川（名張川合流）,,,,,左岸,1.1,34.65215723,136.097132,,,
,小波田川（名張川合流）,,,,,右岸,1.1,34.65255121,136.0968669,,,
,小波田川（名張川合流）,,,,,左岸,1.2,34.65271812,136.0980672,,,
,小波田川（名張川合流）,,,,,右岸,1.2,34.6530429,136.097689,,,
,小波田川（名張川合流）,,,,,左岸,1.3,34.65363193,136.098651,,,
,小波田川（名張川合流）,,,,,右岸,1.3,34.65369194,136.0981103,,,
,小波田川（名張川合流）,,,,,左岸,1.4,34.6545762,136.0987034,,,
,小波田川（名張川合流）,,,,,右岸,1.4,34.65454272,136.0981594,,,
,小波田川（名張川合流）,,,,,左岸,1.5,34.65549653,136.0984741,,,
,小波田川（名張川合流）,,,,,右岸,1.5,34.65538115,136.0979468,,,
,小波田川（名張川合流）,,,,,左岸,1.6,34.65639136,136.0980419,,,
,小波田川（名張川合流）,,,,,右岸,1.6,34.65615471,136.0975776,,,
,小波田川（名張川合流）,,,,,左岸,1.7,34.65712995,136.0974292,,,
,小波田川（名張川合流）,,,,,右岸,1.7,34.65690178,136.0969588,,,
,小波田川（名張川合流）,,,,,左岸,1.8,34.65770452,136.0974758,,,
,小波田川（名張川合流）,,,,,右岸,1.8,34.657976,136.0970403,,,
,小波田川（名張川合流）,,,,,左岸,1.9,34.65844718,136.0981078,,,
,小波田川（名張川合流）,,,,,右岸,1.9,34.65870773,136.0976626,,,
,小波田川（名張川合流）,,,,,左岸,2,34.65897946,136.0988603,,,
,小波田川（名張川合流）,,,,,右岸,2,34.65935024,136.0985501,,,
,小波田川（名張川合流）,,,,,左岸,2.1,34.65950363,136.0997582,,,
,小波田川（名張川合流）,,,,,右岸,2.1,34.65986623,136.0994342,,,
,小波田川（名張川合流）,,,,,左岸,2.2,34.66022955,136.1005251,,,
,小波田川（名張川合流）,,,,,右岸,2.2,34.66050268,136.1000911,,,
,小波田川（名張川合流）,,,,,左岸,2.3,34.66094672,136.1011862,,,
,小波田川（名張川合流）,,,,,右岸,2.3,34.66121985,136.1007522,,,
,小波田川（名張川合流）,,,,,左岸,2.4,34.66158795,136.1018394,,,
,小波田川（名張川合流）,,,,,右岸,2.4,34.66194596,136.1015079,,,
,小波田川（名張川合流）,,,,,左岸,2.5,34.66170548,136.1025444,,,
,小波田川（名張川合流）,,,,,右岸,2.5,34.66207724,136.1028529,,,
,小波田川（名張川合流）,,,,,左岸,2.6,34.66111054,136.1032064,,,
,小波田川（名張川合流）,,,,,右岸,2.6,34.66136019,136.1036607,,,
,小波田川（名張川合流）,,,,,左岸,2.7,34.66046753,136.1042184,,,
,小波田川（名張川合流）,,,,,右岸,2.7,34.66091342,136.1042984,,,
,小波田川（名張川合流）,,,,,左岸,2.8,34.66040616,136.1053302,,,
,小波田川（名張川合流）,,,,,右岸,2.8,34.66085608,136.1053635,,,
,小波田川（名張川合流）,,,,,左岸,2.9,34.66063074,136.1065318,,,
,小波田川（名張川合流）,,,,,右岸,2.9,34.66099626,136.1062126,,,
,小波田川（名張川合流）,,,,,左岸,3,34.6611583,136.1074166,,,
,小波田川（名張川合流）,,,,,右岸,3,34.66152382,136.1070973,,,
,小波田川（名張川合流）,,,,,左岸,3.1,34.66170966,136.1083243,,,
,小波田川（名張川合流）,,,,,右岸,3.1,34.66203722,136.1079495,,,
,小波田川（名張川合流）,,,,,左岸,3.2,34.66230172,136.1090609,,,
,小波田川（名張川合流）,,,,,右岸,3.2,34.66268744,136.1087786,,,
