水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,尻無川,,,,,左岸,0,34.64484697,135.4513219,,,
,尻無川,,,,,右岸,0,34.6473466,135.4500725,,,
,尻無川,,,,,左岸,0.1,34.64519114,135.4523301,,,
,尻無川,,,,,右岸,0.1,34.64769078,135.4510807,,,
,尻無川,,,,,左岸,0.2,34.64563855,135.4536407,,,
,尻無川,,,,,右岸,0.2,34.6481382,135.4523914,,,
,尻無川,,,,,左岸,0.3,34.64587316,135.4543392,,,
,尻無川,,,,,右岸,0.3,34.64837887,135.4531077,,,
,尻無川,,,,,左岸,0.4,34.64614453,135.4551477,,,
,尻無川,,,,,右岸,0.4,34.64865025,135.4539163,,,
,尻無川,,,,,左岸,0.5,34.64816224,135.4598568,,,
,尻無川,,,,,右岸,0.5,34.65024363,135.4558295,,,
,尻無川,,,,,左岸,0.6,34.6487624,135.4601357,,,
,尻無川,,,,,右岸,0.6,34.65077867,135.4562344,,,
,尻無川,,,,,左岸,0.7,34.64958147,135.4606082,,,
,尻無川,,,,,右岸,0.7,34.65154301,135.4568128,,,
,尻無川,,,,,左岸,0.8,34.65020176,135.4614653,,,
,尻無川,,,,,右岸,0.8,34.65230736,135.4573912,,,
,尻無川,,,,,左岸,0.9,34.65101652,135.4619462,,,
,尻無川,,,,,右岸,0.9,34.65307169,135.4579696,,,
,尻無川,,,,,左岸,1,34.65178391,135.4625187,,,
,尻無川,,,,,右岸,1,34.65383603,135.4585481,,,
,尻無川,,,,,左岸,1.1,34.65255078,135.4630923,,,
,尻無川,,,,,右岸,1.1,34.65460036,135.4591265,,,
,尻無川,,,,,左岸,1.2,34.65323301,135.4638296,,,
,尻無川,,,,,右岸,1.2,34.65536469,135.459705,,,
,尻無川,,,,,左岸,1.3,34.65469378,135.4630579,,,
,尻無川,,,,,右岸,1.3,34.65612986,135.4602845,,,
,尻無川,,,,,左岸,1.4,34.65545768,135.4636372,,,
,尻無川,,,,,右岸,1.4,34.65689377,135.4608638,,,
,尻無川,,,,,左岸,1.5,34.65624913,135.4642349,,,
,尻無川,,,,,右岸,1.5,34.65763154,135.4614219,,,
,尻無川,,,,,左岸,1.6,34.65702395,135.4647926,,,
,尻無川,,,,,右岸,1.6,34.65840637,135.4619796,,,
,尻無川,,,,,左岸,1.7,34.65779876,135.4653503,,,
,尻無川,,,,,右岸,1.7,34.6591812,135.4625372,,,
,尻無川,,,,,左岸,1.8,34.65850243,135.4658686,,,
,尻無川,,,,,右岸,1.8,34.66001578,135.463156,,,
,尻無川,,,,,左岸,1.9,34.65917729,135.4664169,,,
,尻無川,,,,,右岸,1.9,34.66083432,135.4638302,,,
,尻無川,,,,,左岸,2,34.65988976,135.4670854,,,
,尻無川,,,,,右岸,2,34.6615468,135.4644986,,,
,尻無川,,,,,左岸,2.1,34.6605324,135.4677411,,,
,尻無川,,,,,右岸,2.1,34.66228395,135.4652472,,,
,尻無川,,,,,左岸,2.2,34.66121928,135.4684477,,,
,尻無川,,,,,右岸,2.2,34.66297085,135.4659538,,,
,尻無川,,,,,左岸,2.3,34.66185419,135.4691331,,,
,尻無川,,,,,右岸,2.3,34.66368155,135.4667202,,,
,尻無川,,,,,左岸,2.4,34.66251876,135.4698703,,,
,尻無川,,,,,右岸,2.4,34.66434614,135.4674574,,,
,尻無川,,,,,左岸,2.5,34.66318333,135.4706076,,,
,尻無川,,,,,右岸,2.5,34.66501072,135.4681946,,,
,尻無川,,,,,左岸,2.6,34.66372352,135.4712705,,,
,尻無川,,,,,右岸,2.6,34.66573541,135.4690831,,,
,尻無川,,,,,左岸,2.7,34.66432597,135.4720822,,,
,尻無川,,,,,右岸,2.7,34.66633787,135.4698947,,,
,尻無川,,,,,左岸,2.8,34.66488318,135.4728723,,,
,尻無川,,,,,右岸,2.8,34.66695172,135.4707636,,,
,尻無川,,,,,左岸,2.9,34.66527106,135.4734724,,,
,尻無川,,,,,右岸,2.9,34.66764331,135.4719005,,,
,尻無川,,,,,左岸,3,34.66570397,135.4744295,,,
,尻無川,,,,,右岸,3,34.66807623,135.4728576,,,
,尻無川,,,,,左岸,3.1,34.66560593,135.4744022,,,
,尻無川,,,,,右岸,3.1,34.66826438,135.4750036,,,
,尻無川,,,,,左岸,3.2,34.66570299,135.4760458,,,
,尻無川,,,,,右岸,3.2,34.66837126,135.4755118,,,
,尻無川,,,,,左岸,3.3,34.66592262,135.4772481,,,
,尻無川,,,,,右岸,3.3,34.66854292,135.4764378,,,
,尻無川,,,,,左岸,3.4,34.66614755,135.478308,,,
,尻無川,,,,,右岸,3.4,34.66876655,135.4774915,,,
,尻無川,,,,,左岸,3.5,34.66637264,135.479365,,,
,尻無川,,,,,右岸,3.5,34.66899148,135.4785477,,,
