水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,山本川,,,,,左岸,0,35.14673915,136.1250703,,,
,山本川,,,,,右岸,0,35.14670474,136.1259473,,,
,山本川,,,,,左岸,0.1,35.14582703,136.1250423,,,
,山本川,,,,,右岸,0.1,35.14581696,136.1257573,,,
,山本川,,,,,左岸,0.2,35.14495056,136.1249698,,,
,山本川,,,,,右岸,0.2,35.1448931,136.125845,,,
,山本川,,,,,左岸,0.3,35.14406351,136.1248801,,,
,山本川,,,,,右岸,0.3,35.14398393,136.1257527,,,
,山本川,,,,,左岸,0.4,35.14317821,136.1247537,,,
,山本川,,,,,右岸,0.4,35.14307899,136.1256233,,,
,山本川,,,,,左岸,0.5,35.14224844,136.1246011,,,
,山本川,,,,,右岸,0.5,35.14222351,136.1254785,,,
,山本川,,,,,左岸,0.6,35.14128829,136.1246637,,,
,山本川,,,,,右岸,0.6,35.14138706,136.1255334,,,
,山本川,,,,,左岸,0.7,35.14038418,136.1248613,,,
,山本川,,,,,右岸,0.7,35.14051699,136.1257242,,,
,山本川,,,,,左岸,0.8,35.13949789,136.12507,,,
,山本川,,,,,右岸,0.8,35.13963324,136.1259323,,,
,山本川,,,,,左岸,0.9,35.13858439,136.1255639,,,
,山本川,,,,,右岸,0.9,35.13891301,136.1263454,,,
,山本川,,,,,左岸,1,35.13778347,136.1261542,,,
,山本川,,,,,右岸,1,35.13817395,136.1268923,,,
,山本川,,,,,左岸,1.1,35.13710356,136.1264675,,,
,山本川,,,,,右岸,1.1,35.13718595,136.1273397,,,
,山本川,,,,,左岸,1.2,35.13620504,136.1265852,,,
,山本川,,,,,右岸,1.2,35.13629203,136.1274567,,,
,山本川,,,,,左岸,1.3,35.13520864,136.1269613,,,
,山本川,,,,,右岸,1.3,35.135581,136.1277131,,,
,山本川,,,,,左岸,1.4,35.13443934,136.1276006,,,
,山本川,,,,,右岸,1.4,35.13486255,136.1283114,,,
,山本川,,,,,左岸,1.5,35.13371091,136.1282358,,,
,山本川,,,,,右岸,1.5,35.13412537,136.1289542,,,
,山本川,,,,,左岸,1.6,35.13297349,136.1288648,,,
,山本川,,,,,右岸,1.6,35.13338628,136.1295847,,,
,山本川,,,,,左岸,1.7,35.1322324,136.129497,,,
,山本川,,,,,右岸,1.7,35.13265091,136.1302119,,,
,山本川,,,,,左岸,1.8,35.13151974,136.1301056,,,
,山本川,,,,,右岸,1.8,35.13188732,136.1308609,,,
,山本川,,,,,左岸,1.9,35.13074511,136.130663,,,
,山本川,,,,,右岸,1.9,35.13110993,136.1314202,,,
,山本川,,,,,左岸,2,35.129969,136.1312153,,,
,山本川,,,,,右岸,2,35.13032961,136.1319755,,,
,山本川,,,,,左岸,2.1,35.1291864,136.1317697,,,
,山本川,,,,,右岸,2.1,35.129554,136.132525,,,
,山本川,,,,,左岸,2.2,35.12841623,136.1323215,,,
,山本川,,,,,右岸,2.2,35.12877041,136.1330862,,,
,山本川,,,,,左岸,2.3,35.12760066,136.1329079,,,
,山本川,,,,,右岸,2.3,35.12803258,136.1336108,,,
,山本川,,,,,左岸,2.4,35.12684893,136.1336801,,,
,山本川,,,,,右岸,2.4,35.12740739,136.1342355,,,
,山本川,,,,,左岸,2.5,35.12631814,136.1347114,,,
,山本川,,,,,右岸,2.5,35.12698213,136.1350539,,,
,山本川,,,,,左岸,2.6,35.12609656,136.1359068,,,
,山本川,,,,,右岸,2.6,35.12681431,136.135992,,,
,山本川,,,,,左岸,2.7,35.12620229,136.1371555,,,
,山本川,,,,,右岸,2.7,35.12689418,136.1369079,,,
,山本川,,,,,左岸,2.8,35.12662846,136.1382508,,,
,山本川,,,,,右岸,2.8,35.12724053,136.1377867,,,
,山本川,,,,,左岸,2.9,35.12709503,136.1391822,,,
,山本川,,,,,右岸,2.9,35.12771259,136.1387289,,,
,山本川,,,,,左岸,3,35.1275664,136.1401222,,,
,山本川,,,,,右岸,3,35.12818048,136.139662,,,
,山本川,,,,,左岸,3.1,35.12803663,136.141056,,,
,山本川,,,,,右岸,3.1,35.12865245,136.1405992,,,
,山本川,,,,,左岸,3.2,35.12850574,136.141993,,,
,山本川,,,,,右岸,3.2,35.12912156,136.1415362,,,
,山本川,,,,,左岸,3.3,35.12897863,136.1429293,,,
,山本川,,,,,右岸,3.3,35.12959283,136.1424693,,,
,山本川,,,,,左岸,3.4,35.12945312,136.1438651,,,
,山本川,,,,,右岸,3.4,35.1300653,136.1434011,,,
,山本川,,,,,左岸,3.5,35.12993068,136.1447966,,,
,山本川,,,,,右岸,3.5,35.1305422,136.1443313,,,
,山本川,,,,,左岸,3.6,35.13035354,136.1456406,,,
,山本川,,,,,右岸,3.6,35.13103911,136.1453682,,,
,山本川,,,,,左岸,3.7,35.13024452,136.1463851,,,
,山本川,,,,,右岸,3.7,35.13090528,136.1467368,,,
,山本川,,,,,左岸,3.8,35.12992106,136.1475171,,,
,山本川,,,,,右岸,3.8,35.13063176,136.1476661,,,
,山本川,,,,,左岸,3.9,35.12983912,136.1487125,,,
,山本川,,,,,右岸,3.9,35.13055866,136.1486538,,,
,山本川,,,,,左岸,4,35.1303352,136.149932,,,
,山本川,,,,,右岸,4,35.13086205,136.1493326,,,
,山本川,,,,,左岸,4.1,35.13075781,136.1506521,,,
,山本川,,,,,右岸,4.1,35.13144937,136.1504032,,,
,山本川,,,,,左岸,4.2,35.130911,136.1516585,,,
,山本川,,,,,右岸,4.2,35.13162673,136.1515509,,,
,山本川,,,,,左岸,4.3,35.131008,136.1527054,,,
,山本川,,,,,右岸,4.3,35.13172894,136.1526837,,,
,山本川,,,,,左岸,4.4,35.13096757,136.1537626,,,
,山本川,,,,,右岸,4.4,35.13168733,136.1538172,,,
,山本川,,,,,左岸,4.5,35.13090788,136.1548536,,,
,山本川,,,,,右岸,4.5,35.13162723,136.1549159,,,
,山本川,,,,,左岸,4.6,35.13082683,136.1559485,,,
,山本川,,,,,右岸,4.6,35.13154644,136.156006,,,
,山本川,,,,,左岸,4.7,35.13076906,136.1570446,,,
,山本川,,,,,右岸,4.7,35.13148879,136.1571,,,
,山本川,,,,,左岸,4.8,35.13072021,136.1581585,,,
,山本川,,,,,右岸,4.8,35.1314412,136.1581771,,,
,山本川,,,,,左岸,4.9,35.13122221,136.1594031,,,
,山本川,,,,,右岸,4.9,35.13176399,136.1588237,,,
,山本川,,,,,左岸,5,35.13164509,136.160155,,,
,山本川,,,,,右岸,5,35.13233201,136.1598878,,,
,山本川,,,,,左岸,5.1,35.13193507,136.1612718,,,
,山本川,,,,,右岸,5.1,35.13256503,136.1608445,,,
,山本川,,,,,左岸,5.2,35.13223807,136.1621652,,,
,山本川,,,,,右岸,5.2,35.13294044,136.1619662,,,
,山本川,,,,,左岸,5.3,35.13262236,136.1631846,,,
,山本川,,,,,右岸,5.3,35.1329807,136.1630792,,,
,山本川,,,,,左岸,5.4,35.13306563,136.1642075,,,
,山本川,,,,,右岸,5.4,35.13342788,136.1639582,,,
,山本川,,,,,左岸,5.5,35.13352693,136.1651594,,,
,山本川,,,,,右岸,5.5,35.13387013,136.164905,,,
,山本川,,,,,左岸,5.6,35.13402047,136.1660981,,,
,山本川,,,,,右岸,5.6,35.13437952,136.1657898,,,
,山本川,,,,,左岸,5.7,35.13457046,136.166978,,,
,山本川,,,,,右岸,5.7,35.13493056,136.1666485,,,
,山本川,,,,,左岸,5.8,35.13513595,136.1678321,,,
,山本川,,,,,右岸,5.8,35.13543229,136.1675634,,,
,山本川,,,,,左岸,5.9,35.13570107,136.1687072,,,
,山本川,,,,,右岸,5.9,35.13598005,136.1684126,,,
,山本川,,,,,左岸,6,35.13664569,136.169623,,,
,山本川,,,,,右岸,6,35.1368109,136.1693354,,,
,山本川,,,,,左岸,6.1,35.13724369,136.1700744,,,
,山本川,,,,,右岸,6.1,35.13728922,136.1696448,,,
,山本川,,,,,左岸,6.2,35.13780246,136.170556,,,
,山本川,,,,,右岸,6.2,35.13809597,136.1702857,,,
,山本川,,,,,左岸,6.3,35.13852609,136.171487,,,
