水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,山田川（安威川合流）,,,,,左岸,0,34.77354932,135.5576772,,,
,山田川（安威川合流）,,,,,右岸,0,34.77330743,135.5570909,,,
,山田川（安威川合流）,,,,,左岸,0.1,34.77435369,135.5571969,,,
,山田川（安威川合流）,,,,,右岸,0.1,34.77412037,135.5566055,,,
,山田川（安威川合流）,,,,,左岸,0.2,34.77517322,135.5566336,,,
,山田川（安威川合流）,,,,,右岸,0.2,34.77486582,135.5560942,,,
,山田川（安威川合流）,,,,,左岸,0.3,34.77584008,135.5556549,,,
,山田川（安威川合流）,,,,,右岸,0.3,34.77533143,135.555432,,,
,山田川（安威川合流）,,,,,左岸,0.4,34.77623353,135.5549241,,,
,山田川（安威川合流）,,,,,右岸,0.4,34.77590825,135.5544003,,,
,山田川（安威川合流）,,,,,左岸,0.5,34.77696051,135.5543405,,,
,山田川（安威川合流）,,,,,右岸,0.5,34.77668242,135.5537782,,,
,山田川（安威川合流）,,,,,左岸,0.6,34.77773155,135.55379,,,
,山田川（安威川合流）,,,,,右岸,0.6,34.77746482,135.5532197,,,
,山田川（安威川合流）,,,,,左岸,0.7,34.77853739,135.5531671,,,
,山田川（安威川合流）,,,,,右岸,0.7,34.77817772,135.5526775,,,
,山田川（安威川合流）,,,,,左岸,0.8,34.77907669,135.5522752,,,
,山田川（安威川合流）,,,,,右岸,0.8,34.77869682,135.5518086,,,
,山田川（安威川合流）,,,,,左岸,0.9,34.77959337,135.5513104,,,
,山田川（安威川合流）,,,,,右岸,0.9,34.77914474,135.5509442,,,
,山田川（安威川合流）,,,,,左岸,1,34.77986498,135.5503021,,,
,山田川（安威川合流）,,,,,右岸,1,34.77942776,135.5499162,,,
,山田川（安威川合流）,,,,,左岸,1.1,34.78049972,135.5497012,,,
,山田川（安威川合流）,,,,,右岸,1.1,34.78018984,135.5491638,,,
,山田川（安威川合流）,,,,,左岸,1.2,34.78122173,135.5490673,,,
,山田川（安威川合流）,,,,,右岸,1.2,34.78092812,135.5485168,,,
,山田川（安威川合流）,,,,,左岸,1.3,34.78195018,135.5483703,,,
,山田川（安威川合流）,,,,,右岸,1.3,34.78161039,135.5478602,,,
,山田川（安威川合流）,,,,,左岸,1.4,34.7826758,135.5481287,,,
,山田川（安威川合流）,,,,,右岸,1.4,34.78258448,135.5474825,,,
,山田川（安威川合流）,,,,,左岸,1.5,34.78360844,135.5476837,,,
,山田川（安威川合流）,,,,,右岸,1.5,34.78331428,135.5471335,,,
,山田川（安威川合流）,,,,,左岸,1.6,34.78462278,135.5456251,,,
,山田川（安威川合流）,,,,,右岸,1.6,34.78408201,135.5456388,,,
,山田川（安威川合流）,,,,,左岸,1.7,34.78471469,135.5446086,,,
,山田川（安威川合流）,,,,,右岸,1.7,34.78418245,135.5444918,,,
,山田川（安威川合流）,,,,,左岸,1.8,34.78504592,135.5436063,,,
,山田川（安威川合流）,,,,,右岸,1.8,34.78479737,135.5430241,,,
,山田川（安威川合流）,,,,,左岸,1.9,34.78549439,135.5435635,,,
,山田川（安威川合流）,,,,,右岸,1.9,34.78557509,135.5429153,,,
,山田川（安威川合流）,,,,,左岸,2,34.78643743,135.5436822,,,
,山田川（安威川合流）,,,,,右岸,2,34.78642146,135.5430269,,,
,山田川（安威川合流）,,,,,左岸,2.1,34.78723547,135.5440024,,,
,山田川（安威川合流）,,,,,右岸,2.1,34.78729747,135.5433511,,,
,山田川（安威川合流）,,,,,左岸,2.2,34.78807003,135.5431379,,,
,山田川（安威川合流）,,,,,右岸,2.2,34.78757417,135.542876,,,
,山田川（安威川合流）,,,,,左岸,2.3,34.78854705,135.5423875,,,
,山田川（安威川合流）,,,,,右岸,2.3,34.78817239,135.5419146,,,
,山田川（安威川合流）,,,,,左岸,2.4,34.78900853,135.5412627,,,
,山田川（安威川合流）,,,,,右岸,2.4,34.78847196,135.54118,,,
,山田川（安威川合流）,,,,,左岸,2.5,34.78937444,135.5407951,,,
,山田川（安威川合流）,,,,,右岸,2.5,34.78918743,135.5401799,,,
,山田川（安威川合流）,,,,,左岸,2.6,34.79025979,135.540203,,,
,山田川（安威川合流）,,,,,右岸,2.6,34.78986607,135.5397535,,,
,山田川（安威川合流）,,,,,左岸,2.7,34.79084653,135.539581,,,
,山田川（安威川合流）,,,,,右岸,2.7,34.7906271,135.5389817,,,
,山田川（安威川合流）,,,,,左岸,2.8,34.79163255,135.5388893,,,
,山田川（安威川合流）,,,,,右岸,2.8,34.79128343,135.5383885,,,
,山田川（安威川合流）,,,,,左岸,2.9,34.79242433,135.5385025,,,
,山田川（安威川合流）,,,,,右岸,2.9,34.79213874,135.5379457,,,
,山田川（安威川合流）,,,,,左岸,3,34.79308537,135.53762,,,
,山田川（安威川合流）,,,,,右岸,3,34.79267307,135.5371956,,,
,山田川（安威川合流）,,,,,左岸,3.1,34.79366626,135.5367803,,,
,山田川（安威川合流）,,,,,右岸,3.1,34.79325068,135.5363606,,,
,山田川（安威川合流）,,,,,左岸,3.2,34.7937762,135.5355044,,,
,山田川（安威川合流）,,,,,右岸,3.2,34.79324199,135.5356071,,,
,山田川（安威川合流）,,,,,左岸,3.3,34.79403141,135.534729,,,
,山田川（安威川合流）,,,,,右岸,3.3,34.79359448,135.5343425,,,
,山田川（安威川合流）,,,,,左岸,3.4,34.79460143,135.534529,,,
,山田川（安威川合流）,,,,,右岸,3.4,34.79461636,135.5338736,,,
,山田川（安威川合流）,,,,,左岸,3.5,34.79544181,135.5337422,,,
,山田川（安威川合流）,,,,,右岸,3.5,34.7949858,135.5333896,,,
,山田川（安威川合流）,,,,,左岸,3.6,34.79603729,135.533194,,,
,山田川（安威川合流）,,,,,右岸,3.6,34.79579315,135.5326089,,,
,山田川（安威川合流）,,,,,左岸,3.7,34.79665579,135.5322021,,,
,山田川（安威川合流）,,,,,右岸,3.7,34.79618368,135.5318821,,,
,山田川（安威川合流）,,,,,左岸,3.8,34.79715551,135.5312423,,,
,山田川（安威川合流）,,,,,右岸,3.8,34.7966509,135.5310063,,,
,山田川（安威川合流）,,,,,左岸,3.9,34.79762875,135.5303364,,,
,山田川（安威川合流）,,,,,右岸,3.9,34.7971285,135.5300871,,,
,山田川（安威川合流）,,,,,左岸,4,34.79810978,135.5296489,,,
,山田川（安威川合流）,,,,,右岸,4,34.79777026,135.5291385,,,
,山田川（安威川合流）,,,,,左岸,4.1,34.79881005,135.528997,,,
,山田川（安威川合流）,,,,,右岸,4.1,34.79849986,135.5284598,,,
,山田川（安威川合流）,,,,,左岸,4.2,34.79959084,135.5284485,,,
,山田川（安威川合流）,,,,,右岸,4.2,34.79926908,135.5279215,,,
,山田川（安威川合流）,,,,,左岸,4.3,34.8002136,135.5279758,,,
,山田川（安威川合流）,,,,,右岸,4.3,34.80018263,135.5273212,,,
,山田川（安威川合流）,,,,,左岸,4.4,34.8012603,135.5278151,,,
,山田川（安威川合流）,,,,,右岸,4.4,34.80084964,135.5273883,,,
,山田川（安威川合流）,,,,,左岸,4.5,34.80189304,135.5268264,,,
,山田川（安威川合流）,,,,,右岸,4.5,34.80136043,135.5267122,,,
,山田川（安威川合流）,,,,,左岸,4.6,34.80210118,135.5256116,,,
,山田川（安威川合流）,,,,,右岸,4.6,34.80160504,135.5258727,,,
,山田川（安威川合流）,,,,,左岸,4.7,34.80199764,135.5251931,,,
,山田川（安威川合流）,,,,,右岸,4.7,34.80173777,135.524618,,,
,山田川（安威川合流）,,,,,左岸,4.8,34.80225906,135.5239222,,,
,山田川（安威川合流）,,,,,右岸,4.8,34.80172398,135.524018,,,
,山田川（安威川合流）,,,,,左岸,4.9,34.80278302,135.523548,,,
,山田川（安威川合流）,,,,,右岸,4.9,34.80239874,135.5230865,,,
,山田川（安威川合流）,,,,,左岸,5,34.80312813,135.5225449,,,
,山田川（安威川合流）,,,,,右岸,5,34.80274385,135.5220834,,,
,山田川（安威川合流）,,,,,左岸,5.1,34.80386172,135.5218654,,,
,山田川（安威川合流）,,,,,右岸,5.1,34.80344136,135.5214528,,,
,山田川（安威川合流）,,,,,左岸,5.2,34.80431164,135.5208741,,,
,山田川（安威川合流）,,,,,右岸,5.2,34.80382924,135.5205775,,,
,山田川（安威川合流）,,,,,左岸,5.3,34.80472711,135.5204175,,,
,山田川（安威川合流）,,,,,右岸,5.3,34.8047017,135.5197625,,,
,山田川（安威川合流）,,,,,左岸,5.4,34.80570809,135.5202423,,,
,山田川（安威川合流）,,,,,右岸,5.4,34.8054778,135.519649,,,
,山田川（安威川合流）,,,,,左岸,5.5,34.80649072,135.5194661,,,
,山田川（安威川合流）,,,,,右岸,5.5,34.80605591,135.5190761,,,
,山田川（安威川合流）,,,,,左岸,5.6,34.80701071,135.5186288,,,
,山田川（安威川合流）,,,,,右岸,5.6,34.80662174,135.5181731,,,
,山田川（安威川合流）,,,,,左岸,5.7,34.80771375,135.5179091,,,
,山田川（安威川合流）,,,,,右岸,5.7,34.80729835,135.5174891,,,
,山田川（安威川合流）,,,,,左岸,5.8,34.80821567,135.5171637,,,
,山田川（安威川合流）,,,,,右岸,5.8,34.80796145,135.5165849,,,
,山田川（安威川合流）,,,,,左岸,5.9,34.80901855,135.5170081,,,
,山田川（安威川合流）,,,,,右岸,5.9,34.80893177,135.5163608,,,
,山田川（安威川合流）,,,,,左岸,6,34.8099321,135.5168015,,,
,山田川（安威川合流）,,,,,右岸,6,34.80978836,135.5161693,,,
,山田川（安威川合流）,,,,,左岸,6.1,34.81080106,135.5164392,,,
,山田川（安威川合流）,,,,,右岸,6.1,34.81062169,135.5158205,,,
,山田川（安威川合流）,,,,,左岸,6.2,34.81169808,135.5162956,,,
,山田川（安威川合流）,,,,,右岸,6.2,34.8114996,135.5156856,,,
,山田川（安威川合流）,,,,,左岸,6.3,34.81252859,135.5158446,,,
,山田川（安威川合流）,,,,,右岸,6.3,34.81231372,135.5152428,,,
,山田川（安威川合流）,,,,,左岸,6.4,34.81335661,135.5154059,,,
,山田川（安威川合流）,,,,,右岸,6.4,34.81313778,135.5148061,,,
,山田川（安威川合流）,,,,,左岸,6.5,34.81418096,135.5149582,,,
,山田川（安威川合流）,,,,,右岸,6.5,34.81395888,135.5143602,,,
,山田川（安威川合流）,,,,,左岸,6.6,34.81500125,135.5145271,,,
,山田川（安威川合流）,,,,,右岸,6.6,34.81479266,135.513922,,,
,山田川（安威川合流）,,,,,左岸,6.7,34.815833,135.5141056,,,
,山田川（安威川合流）,,,,,右岸,6.7,34.81562441,135.5135004,,,
