水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,山田川（金勝川合流）,,,,,左岸,0,35.01269797,135.9921161,,,
,山田川（金勝川合流）,,,,,右岸,0,35.01295294,135.9922256,,,
,山田川（金勝川合流）,,,,,左岸,0.1,35.01240042,135.9930925,,,
,山田川（金勝川合流）,,,,,右岸,0.1,35.01261595,135.9932911,,,
,山田川（金勝川合流）,,,,,左岸,0.2,35.01178423,135.9938286,,,
,山田川（金勝川合流）,,,,,右岸,0.2,35.0119534,135.9940851,,,
,山田川（金勝川合流）,,,,,左岸,0.3,35.01099565,135.9943129,,,
,山田川（金勝川合流）,,,,,右岸,0.3,35.01114169,135.9945896,,,
,山田川（金勝川合流）,,,,,左岸,0.4,35.01061057,135.9953984,,,
,山田川（金勝川合流）,,,,,右岸,0.4,35.01086305,135.9955162,,,
,山田川（金勝川合流）,,,,,左岸,0.5,35.01023407,135.9963778,,,
,山田川（金勝川合流）,,,,,右岸,0.5,35.01047717,135.9965218,,,
,山田川（金勝川合流）,,,,,左岸,0.6,35.00985831,135.9973904,,,
,山田川（金勝川合流）,,,,,右岸,0.6,35.01011257,135.9975024,,,
,山田川（金勝川合流）,,,,,左岸,0.7,35.00940693,135.9981636,,,
,山田川（金勝川合流）,,,,,右岸,0.7,35.00953654,135.9984521,,,
