水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,山路川（瓜生川合流）,,,,,左岸,0,35.18845116,136.1469786,,,
,山路川（瓜生川合流）,,,,,右岸,0,35.18890065,136.1470193,,,
,山路川（瓜生川合流）,,,,,左岸,0.1,35.18811948,136.1478383,,,
,山路川（瓜生川合流）,,,,,右岸,0.1,35.18850367,136.1481254,,,
,山路川（瓜生川合流）,,,,,左岸,0.2,35.18764413,136.148769,,,
,山路川（瓜生川合流）,,,,,右岸,0.2,35.18802673,136.1490593,,,
,山路川（瓜生川合流）,,,,,左岸,0.3,35.18716633,136.1497059,,,
,山路川（瓜生川合流）,,,,,右岸,0.3,35.18755313,136.1499877,,,
,山路川（瓜生川合流）,,,,,左岸,0.4,35.18669746,136.1506302,,,
,山路川（瓜生川合流）,,,,,右岸,0.4,35.18707427,136.1509314,,,
,山路川（瓜生川合流）,,,,,左岸,0.5,35.18621381,136.1515668,,,
,山路川（瓜生川合流）,,,,,右岸,0.5,35.18659812,136.1518536,,,
,山路川（瓜生川合流）,,,,,左岸,0.6,35.18573891,136.1524994,,,
,山路川（瓜生川合流）,,,,,右岸,0.6,35.18612303,136.1527866,,,
,山路川（瓜生川合流）,,,,,左岸,0.7,35.18525375,136.1534308,,,
,山路川（瓜生川合流）,,,,,右岸,0.7,35.18564231,136.153709,,,
,山路川（瓜生川合流）,,,,,左岸,0.8,35.18478742,136.1543636,,,
,山路川（瓜生川合流）,,,,,右岸,0.8,35.18517109,136.1546517,,,
,山路川（瓜生川合流）,,,,,左岸,0.9,35.18430823,136.1552905,,,
,山路川（瓜生川合流）,,,,,右岸,0.9,35.18468975,136.1555829,,,
,山路川（瓜生川合流）,,,,,左岸,1,35.18376406,136.1560528,,,
,山路川（瓜生川合流）,,,,,右岸,1,35.18405684,136.1564702,,,
,山路川（瓜生川合流）,,,,,左岸,1.1,35.18304833,136.156536,,,
,山路川（瓜生川合流）,,,,,右岸,1.1,35.18320592,136.1570503,,,
,山路川（瓜生川合流）,,,,,左岸,1.2,35.18216518,136.1569603,,,
,山路川（瓜生川合流）,,,,,右岸,1.2,35.18241803,136.1574148,,,
,山路川（瓜生川合流）,,,,,左岸,1.3,35.18158473,136.1579049,,,
,山路川（瓜生川合流）,,,,,右岸,1.3,35.18194055,136.1582419,,,
,山路川（瓜生川合流）,,,,,左岸,1.4,35.1810723,136.1588385,,,
,山路川（瓜生川合流）,,,,,右岸,1.4,35.18145217,136.159134,,,
,山路川（瓜生川合流）,,,,,左岸,1.5,35.18058348,136.1597545,,,
,山路川（瓜生川合流）,,,,,右岸,1.5,35.18095855,136.160059,,,
,山路川（瓜生川合流）,,,,,左岸,1.6,35.18009511,136.1606712,,,
,山路川（瓜生川合流）,,,,,右岸,1.6,35.18046574,136.1609836,,,
,山路川（瓜生川合流）,,,,,左岸,1.7,35.17959689,136.161599,,,
,山路川（瓜生川合流）,,,,,右岸,1.7,35.17997732,136.1618934,,,
,山路川（瓜生川合流）,,,,,左岸,1.8,35.17911163,136.1625299,,,
,山路川（瓜生川合流）,,,,,右岸,1.8,35.1794964,136.1628158,,,
,山路川（瓜生川合流）,,,,,左岸,2.1,35.17769807,136.1653013,,,
,山路川（瓜生川合流）,,,,,右岸,2.1,35.17805531,136.165636,,,
,山路川（瓜生川合流）,,,,,左岸,2.2,35.17715638,136.1662156,,,
,山路川（瓜生川合流）,,,,,右岸,2.2,35.17754126,136.1665012,,,
,山路川（瓜生川合流）,,,,,左岸,2.3,35.17670373,136.1671607,,,
,山路川（瓜生川合流）,,,,,右岸,2.3,35.17708554,136.1674524,,,
,山路川（瓜生川合流）,,,,,左岸,2.4,35.1762433,136.1681672,,,
,山路川（瓜生川合流）,,,,,右岸,2.4,35.17667712,136.1683161,,,
,山路川（瓜生川合流）,,,,,左岸,2.5,35.17618488,136.1691981,,,
,山路川（瓜生川合流）,,,,,右岸,2.5,35.17660467,136.1693979,,,
,山路川（瓜生川合流）,,,,,左岸,2.6,35.17611095,136.1704924,,,
,山路川（瓜生川合流）,,,,,右岸,2.6,35.17648745,136.1701906,,,
,山路川（瓜生川合流）,,,,,左岸,1.9,35.17874151,136.163279,,,
,山路川（瓜生川合流）,,,,,右岸,1.9,35.17912277,136.1635717,,,
,山路川（瓜生川合流）,,,,,左岸,2,35.17806005,136.1645875,,,
,山路川（瓜生川合流）,,,,,右岸,2,35.17845222,136.164858,,,
