水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,山辺川,,,,,左岸,0,34.95753247,135.4105997,,,
,山辺川,,,,,右岸,0,34.95733737,135.409987,,,
,山辺川,,,,,左岸,0.1,34.95838736,135.4099587,,,
,山辺川,,,,,右岸,0.1,34.95800266,135.4094969,,,
,山辺川,,,,,左岸,0.2,34.95895126,135.4091076,,,
,山辺川,,,,,右岸,0.2,34.95856655,135.4086458,,,
,山辺川,,,,,左岸,0.3,34.95964323,135.4087665,,,
,山辺川,,,,,右岸,0.3,34.95951128,135.4081294,,,
,山辺川,,,,,左岸,0.4,34.96051202,135.4085687,,,
,山辺川,,,,,右岸,0.4,34.96041413,135.4079226,,,
,山辺川,,,,,左岸,0.5,34.96139422,135.4084037,,,
,山辺川,,,,,右岸,0.5,34.96131373,135.407754,,,
,山辺川,,,,,左岸,0.6,34.96228563,135.4082407,,,
,山辺川,,,,,右岸,0.6,34.96220514,135.407591,,,
,山辺川,,,,,左岸,0.7,34.96318003,135.408053,,,
,山辺川,,,,,右岸,0.7,34.96308726,135.4074057,,,
,山辺川,,,,,左岸,0.8,34.96413134,135.4077783,,,
,山辺川,,,,,右岸,0.8,34.96388659,135.4071924,,,
,山辺川,,,,,左岸,0.9,34.96489062,135.4069032,,,
,山辺川,,,,,右岸,0.9,34.96441352,135.4065937,,,
,山辺川,,,,,左岸,1,34.96486829,135.4056065,,,
,山辺川,,,,,右岸,1,34.96433977,135.4057461,,,
,山辺川,,,,,左岸,1.1,34.9648494,135.4047734,,,
,山辺川,,,,,右岸,1.1,34.96437821,135.4044509,,,
,山辺川,,,,,左岸,1.2,34.96542375,135.4040086,,,
,山辺川,,,,,右岸,1.2,34.96500618,135.403591,,,
,山辺川,,,,,左岸,1.3,34.96593536,135.4028832,,,
,山辺川,,,,,右岸,1.3,34.96539508,135.4028525,,,
,山辺川,,,,,左岸,1.4,34.96574135,135.4018371,,,
,山辺川,,,,,右岸,1.4,34.96520255,135.4017797,,,
,山辺川,,,,,左岸,1.5,34.96600714,135.4009064,,,
,山辺川,,,,,右岸,1.5,34.96550963,135.4006487,,,
,山辺川,,,,,左岸,1.6,34.96638392,135.3999344,,,
,山辺川,,,,,右岸,1.6,34.96590033,135.3996401,,,
,山辺川,,,,,左岸,1.7,34.96674214,135.3994651,,,
,山辺川,,,,,右岸,1.7,34.96673738,135.3985019,,,
,山辺川,,,,,左岸,1.8,34.96735271,135.3997098,,,
,山辺川,,,,,右岸,1.8,34.96771211,135.3992188,,,
,山辺川,,,,,左岸,1.9,34.96834779,135.4002218,,,
,山辺川,,,,,右岸,1.9,34.96829246,135.3995682,,,
,山辺川,,,,,左岸,2,34.96929068,135.3998023,,,
,山辺川,,,,,右岸,2,34.96902589,135.3992294,,,
,山辺川,,,,,左岸,2.1,34.9700173,135.3995613,,,
,山辺川,,,,,右岸,2.1,34.97001405,135.3989042,,,
,山辺川,,,,,左岸,2.2,34.9706655,135.3998086,,,
,山辺川,,,,,右岸,2.2,34.97103737,135.3993315,,,
,山辺川,,,,,左岸,2.3,34.9715002,135.4005841,,,
,山辺川,,,,,右岸,2.3,34.97157006,135.3999325,,,
,山辺川,,,,,左岸,2.4,34.97244405,135.4001166,,,
,山辺川,,,,,右岸,2.4,34.97221729,135.3995201,,,
,山辺川,,,,,左岸,2.5,34.97326759,135.3997131,,,
,山辺川,,,,,右岸,2.5,34.97306489,135.399104,,,
,山辺川,,,,,左岸,2.6,34.97410302,135.3993593,,,
,山辺川,,,,,右岸,2.6,34.97393148,135.3987362,,,
,山辺川,,,,,左岸,2.7,34.97496286,135.3990472,,,
,山辺川,,,,,右岸,2.7,34.97479843,135.3984212,,,
,山辺川,,,,,左岸,2.8,34.97581803,135.3987367,,,
,山辺川,,,,,右岸,2.8,34.97567055,135.3981045,,,
,山辺川,,,,,左岸,2.9,34.97669725,135.3979972,,,
,山辺川,,,,,右岸,2.9,34.97624543,135.397636,,,
,山辺川,,,,,左岸,3,34.97711196,135.3969539,,,
,山辺川,,,,,右岸,3,34.97660917,135.3967117,,,
,山辺川,,,,,左岸,3.1,34.97768849,135.3961267,,,
,山辺川,,,,,右岸,3.1,34.97718034,135.3959016,,,
,山辺川,,,,,左岸,3.2,34.97775027,135.3948873,,,
,山辺川,,,,,右岸,3.2,34.97721459,135.3949781,,,
,山辺川,,,,,左岸,3.3,34.97765289,135.3938963,,,
,山辺川,,,,,右岸,3.3,34.97711666,135.3938104,,,
,山辺川,,,,,左岸,3.4,34.97802113,135.3930793,,,
,山辺川,,,,,右岸,3.4,34.97757577,135.3927065,,,
,山辺川,,,,,左岸,3.5,34.97854,135.3921937,,,
,山辺川,,,,,右岸,3.5,34.97810231,135.3918077,,,
,山辺川,,,,,左岸,3.6,34.97905971,135.391291,,,
,山辺川,,,,,右岸,3.6,34.97861587,135.3909155,,,
,山辺川,,,,,左岸,3.7,34.9795884,135.3904153,,,
,山辺川,,,,,右岸,3.7,34.97915334,135.3900249,,,
,山辺川,,,,,左岸,3.8,34.98010822,135.389882,,,
,山辺川,,,,,右岸,3.8,34.98001605,135.3892344,,,
,山辺川,,,,,左岸,3.9,34.98103383,135.3895699,,,
,山辺川,,,,,右岸,3.9,34.98081924,135.3889667,,,
,山辺川,,,,,左岸,4,34.98187156,135.3892465,,,
,山辺川,,,,,右岸,4,34.98169261,135.3886263,,,
,山辺川,,,,,左岸,4.1,34.98257649,135.3883938,,,
,山辺川,,,,,右岸,4.1,34.98220858,135.3879121,,,
,山辺川,,,,,左岸,4.2,34.98323692,135.3878239,,,
,山辺川,,,,,右岸,4.2,34.98301155,135.3872265,,,
,山辺川,,,,,左岸,4.3,34.98404379,135.387011,,,
,山辺川,,,,,右岸,4.3,34.98358339,135.3866661,,,
,山辺川,,,,,左岸,4.4,34.98444288,135.3860498,,,
,山辺川,,,,,右岸,4.4,34.98399789,135.3856763,,,
,山辺川,,,,,左岸,4.5,34.98506053,135.3857907,,,
,山辺川,,,,,右岸,4.5,34.98499581,135.3851382,,,
,山辺川,,,,,左岸,4.6,34.98600868,135.385431,,,
,山辺川,,,,,右岸,4.6,34.98575175,135.3848527,,,
,山辺川,,,,,左岸,4.7,34.98678261,135.384954,,,
,山辺川,,,,,右岸,4.7,34.98658426,135.3843426,,,
