水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,岡本川,,,,,左岸,0,34.90886647,135.7921005,,,
,岡本川,,,,,右岸,0,34.90901719,135.7922207,,,
,岡本川,,,,,左岸,0.1,34.90843485,135.793087,,,
,岡本川,,,,,右岸,0.1,34.90860485,135.7931599,,,
,岡本川,,,,,左岸,0.2,34.90813262,135.7941124,,,
,岡本川,,,,,右岸,0.2,34.90829963,135.7941948,,,
,岡本川,,,,,左岸,0.3,34.90789331,135.7951724,,,
,岡本川,,,,,右岸,0.3,34.90806811,135.7952261,,,
,岡本川,,,,,左岸,0.4,34.90788893,135.7962911,,,
,岡本川,,,,,右岸,0.4,34.90806877,135.7962756,,,
,岡本川,,,,,左岸,0.5,34.90779335,135.797279,,,
,岡本川,,,,,右岸,0.5,34.90794027,135.7974058,,,
,岡本川,,,,,左岸,0.6,34.90730789,135.7981203,,,
,岡本川,,,,,右岸,0.6,34.90747435,135.7982044,,,
,岡本川,,,,,左岸,0.7,34.90672936,135.7988876,,,
,岡本川,,,,,右岸,0.7,34.90685204,135.7990479,,,
,岡本川,,,,,左岸,0.8,34.90606994,135.7996213,,,
,岡本川,,,,,右岸,0.8,34.90618309,135.7997917,,,
,岡本川,,,,,左岸,0.9,34.90544025,135.8004279,,,
,岡本川,,,,,右岸,0.9,34.9056112,135.8004975,,,
