水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,岡部川,,,,,左岸,0,34.74290371,135.6225811,,,
,岡部川,,,,,右岸,0,34.74344106,135.622656,,,
,岡部川,,,,,左岸,0.1,34.74280997,135.6236804,,,
,岡部川,,,,,右岸,0.1,34.74334938,135.623729,,,
,岡部川,,,,,左岸,0.2,34.74275042,135.6247763,,,
,岡部川,,,,,右岸,0.2,34.74329049,135.6248126,,,
,岡部川,,,,,左岸,0.3,34.74271279,135.6258788,,,
,岡部川,,,,,右岸,0.3,34.74325358,135.6258922,,,
,岡部川,,,,,左岸,0.4,34.74271208,135.6269806,,,
,岡部川,,,,,右岸,0.4,34.74325295,135.6269744,,,
,岡部川,,,,,左岸,0.5,34.74270551,135.6280645,,,
,岡部川,,,,,右岸,0.5,34.74324635,135.6280746,,,
,岡部川,,,,,左岸,0.6,34.74269682,135.6291595,,,
,岡部川,,,,,右岸,0.6,34.74323771,135.6291637,,,
,岡部川,,,,,左岸,0.7,34.74266515,135.6301991,,,
,岡部川,,,,,右岸,0.7,34.74319886,135.6303056,,,
,岡部川,,,,,左岸,0.8,34.74255557,135.6313292,,,
,岡部川,,,,,右岸,0.8,34.7430964,135.6313395,,,
,岡部川,,,,,左岸,0.9,34.74256422,135.632437,,,
,岡部川,,,,,右岸,0.9,34.74310483,135.6324156,,,
,岡部川,,,,,左岸,1,34.74258142,135.633511,,,
,岡部川,,,,,右岸,1,34.7431222,135.6335249,,,
,岡部川,,,,,左岸,1.1,34.74256234,135.6346029,,,
,岡部川,,,,,右岸,1.1,34.74310311,135.6346167,,,
,岡部川,,,,,左岸,1.2,34.74253185,135.6356881,,,
,岡部川,,,,,右岸,1.2,34.74307232,135.6357144,,,
,岡部川,,,,,左岸,1.3,34.74250054,135.6367831,,,
,岡部川,,,,,右岸,1.3,34.7430412,135.6368023,,,
,岡部川,,,,,左岸,1.4,34.7426508,135.6379525,,,
,岡部川,,,,,右岸,1.4,34.74317234,135.6377788,,,
,岡部川,,,,,左岸,1.5,34.74288786,135.6389969,,,
,岡部川,,,,,右岸,1.5,34.743413,135.6388399,,,
,岡部川,,,,,左岸,1.6,34.74289744,135.6398591,,,
,岡部川,,,,,右岸,1.6,34.74343529,135.6399286,,,
,岡部川,,,,,左岸,1.7,34.7434712,135.6408694,,,
,岡部川,,,,,右岸,1.7,34.74396678,135.6406068,,,
,岡部川,,,,,左岸,1.8,34.74330979,135.641695,,,
,岡部川,,,,,右岸,1.8,34.74383675,135.6418428,,,
,岡部川,,,,,左岸,1.9,34.7436436,135.6427831,,,
,岡部川,,,,,右岸,1.9,34.74418185,135.6427182,,,
,岡部川,,,,,左岸,2,34.7433642,135.6437557,,,
,岡部川,,,,,右岸,2,34.74390392,135.643799,,,
,岡部川,,,,,左岸,2.1,34.74337117,135.6448346,,,
,岡部川,,,,,右岸,2.1,34.74390935,135.6449002,,,
,岡部川,,,,,左岸,2.2,34.74332525,135.6459165,,,
,岡部川,,,,,右岸,2.2,34.7436613,135.645972,,,
