水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,岩根川,,,,,左岸,0,34.74557711,136.1168007,,,
,岩根川,,,,,右岸,0,34.74505284,136.1172262,,,
,岩根川,,,,,左岸,0.1,34.74512635,136.1159236,,,
,岩根川,,,,,右岸,0.1,34.74455529,136.116249,,,
,岩根川,,,,,左岸,0.2,34.74511847,136.115068,,,
,岩根川,,,,,右岸,0.2,34.74449385,136.1149591,,,
,岩根川,,,,,左岸,0.3,34.74474076,136.1138039,,,
,岩根川,,,,,右岸,0.3,34.7442519,136.1142873,,,
,岩根川,,,,,左岸,0.4,34.74374808,136.1131502,,,
,岩根川,,,,,右岸,0.4,34.74374737,136.1139147,,,
,岩根川,,,,,左岸,0.5,34.74307382,136.113153,,,
,岩根川,,,,,右岸,0.5,34.74266081,136.113731,,,
,岩根川,,,,,左岸,0.6,34.74263651,136.1123247,,,
,岩根川,,,,,右岸,0.6,34.74210892,136.1127441,,,
,岩根川,,,,,左岸,0.7,34.74209801,136.1113454,,,
,岩根川,,,,,右岸,0.7,34.74166809,136.111905,,,
,岩根川,,,,,左岸,0.8,34.74115094,136.1108403,,,
,岩根川,,,,,右岸,0.8,34.74096537,136.111571,,,
,岩根川,,,,,左岸,0.9,34.74065888,136.1104664,,,
,岩根川,,,,,右岸,0.9,34.74007165,136.1107463,,,
,岩根川,,,,,左岸,1,34.74059021,136.1094626,,,
,岩根川,,,,,右岸,1,34.73996947,136.1096003,,,
,岩根川,,,,,左岸,1.1,34.73999719,136.1083951,,,
,岩根川,,,,,右岸,1.1,34.73955048,136.108935,,,
,岩根川,,,,,左岸,1.2,34.73961767,136.1076123,,,
,岩根川,,,,,右岸,1.2,34.73902182,136.1078641,,,
,岩根川,,,,,左岸,1.3,34.73916997,136.1065189,,,
,岩根川,,,,,右岸,1.3,34.73868684,136.1070107,,,
,岩根川,,,,,左岸,1.4,34.73900756,136.1058096,,,
,岩根川,,,,,右岸,1.4,34.73838481,136.105686,,,
,岩根川,,,,,左岸,1.5,34.73881637,136.1044753,,,
,岩根川,,,,,右岸,1.5,34.73836968,136.1050152,,,
,岩根川,,,,,左岸,1.6,34.73814573,136.1037258,,,
,岩根川,,,,,右岸,1.6,34.73771524,136.1042848,,,
,岩根川,,,,,左岸,1.7,34.73793571,136.1029437,,,
,岩根川,,,,,右岸,1.7,34.73731428,136.1030767,,,
,岩根川,,,,,左岸,1.8,34.73804298,136.1022802,,,
,岩根川,,,,,右岸,1.8,34.73757822,136.1017631,,,
,岩根川,,,,,左岸,1.9,34.73861405,136.1012116,,,
,岩根川,,,,,右岸,1.9,34.7379938,136.1010707,,,
,岩根川,,,,,左岸,2,34.73885746,136.1000304,,,
,岩根川,,,,,右岸,2,34.73823743,136.1001727,,,
,岩根川,,,,,左岸,2.1,34.73904202,136.0995483,,,
,岩根川,,,,,右岸,2.1,34.73874621,136.098873,,,
,岩根川,,,,,左岸,2.2,34.73968469,136.0987399,,,
,岩根川,,,,,右岸,2.2,34.73930655,136.0981279,,,
,岩根川,,,,,左岸,2.3,34.74024214,136.0977342,,,
,岩根川,,,,,右岸,2.3,34.73970304,136.0973368,,,
,岩根川,,,,,左岸,2.4,34.7405701,136.096871,,,
,岩根川,,,,,右岸,2.4,34.74010477,136.0963546,,,
