水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,川上川,,,,,左岸,0,34.62278902,136.2250614,,,
,川上川,,,,,右岸,0,34.62322425,136.2252033,,,
,川上川,,,,,左岸,0.1,34.62258528,136.226156,,,
,川上川,,,,,右岸,0.1,34.62303149,136.2262333,,,
,川上川,,,,,左岸,0.2,34.62226421,136.2270451,,,
,川上川,,,,,右岸,0.2,34.62265022,136.2273267,,,
,川上川,,,,,左岸,0.3,34.62205808,136.2282664,,,
,川上川,,,,,右岸,0.3,34.62250317,136.2281802,,,
,川上川,,,,,左岸,0.4,34.62216295,136.2291081,,,
,川上川,,,,,右岸,0.4,34.62261219,136.2290633,,,
,川上川,,,,,左岸,0.5,34.62140161,136.2295215,,,
,川上川,,,,,右岸,0.5,34.62179202,136.229794,,,
,川上川,,,,,左岸,0.6,34.62111314,136.2306621,,,
,川上川,,,,,右岸,0.6,34.62155994,136.2307342,,,
,川上川,,,,,左岸,0.7,34.62097594,136.231731,,,
,川上川,,,,,右岸,0.7,34.62142309,136.2317999,,,
,川上川,,,,,左岸,0.8,34.62057929,136.232498,,,
,川上川,,,,,右岸,0.8,34.62090266,136.2328779,,,
,川上川,,,,,左岸,0.9,34.61992851,136.2332581,,,
,川上川,,,,,右岸,0.9,34.62025697,136.2336315,,,
,川上川,,,,,左岸,1,34.61932366,136.2340557,,,
,川上川,,,,,右岸,1,34.61964409,136.2344392,,,
,川上川,,,,,左岸,1.1,34.61866991,136.2347835,,,
,川上川,,,,,右岸,1.1,34.61897283,136.2351873,,,
,川上川,,,,,左岸,1.2,34.61798279,136.2354338,,,
,川上川,,,,,右岸,1.2,34.61824042,136.2358812,,,
,川上川,,,,,左岸,1.3,34.61723212,136.2359968,,,
,川上川,,,,,右岸,1.3,34.61745999,136.2364673,,,
,川上川,,,,,左岸,1.4,34.61645898,136.2365492,,,
,川上川,,,,,右岸,1.4,34.61668084,136.2370238,,,
