水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,平田大川,,,,,左岸,0,35.07530652,136.1607756,,,
,平田大川,,,,,右岸,0,35.07569762,136.1605031,,,
,平田大川,,,,,左岸,0.1,35.07575349,136.1617263,,,
,平田大川,,,,,右岸,0.1,35.07614574,136.1614562,,,
,平田大川,,,,,左岸,0.2,35.07629147,136.1626459,,,
,平田大川,,,,,右岸,0.2,35.0766537,136.1623196,,,
,平田大川,,,,,左岸,0.3,35.07660742,136.1633618,,,
,平田大川,,,,,右岸,0.3,35.0770384,136.1635223,,,
,平田大川,,,,,左岸,0.4,35.07606179,136.1639256,,,
,平田大川,,,,,右岸,0.4,35.07630154,136.1643899,,,
,平田大川,,,,,左岸,0.5,35.07530051,136.1645337,,,
,平田大川,,,,,右岸,0.5,35.07555579,136.1649856,,,
,平田大川,,,,,左岸,0.6,35.07477382,136.1648881,,,
,平田大川,,,,,右岸,0.6,35.07498136,136.1653748,,,
,平田大川,,,,,左岸,0.7,35.07372739,136.165629,,,
,平田大川,,,,,右岸,0.7,35.07400429,136.1660617,,,
,平田大川,,,,,左岸,0.8,35.07300537,136.1662707,,,
,平田大川,,,,,右岸,0.8,35.0732708,136.1667138,,,
,平田大川,,,,,左岸,0.9,35.0722768,136.1669164,,,
,平田大川,,,,,右岸,0.9,35.07254222,136.1673596,,,
,平田大川,,,,,左岸,1,35.07154792,136.1675605,,,
,平田大川,,,,,右岸,1,35.07181242,136.1680044,,,
,平田大川,,,,,左岸,1.1,35.07082015,136.1682125,,,
,平田大川,,,,,右岸,1.1,35.07108859,136.1686529,,,
,平田大川,,,,,左岸,1.2,35.07011565,136.1688135,,,
,平田大川,,,,,右岸,1.2,35.07031654,136.1693043,,,
,平田大川,,,,,左岸,1.3,35.06924098,136.1691337,,,
,平田大川,,,,,右岸,1.3,35.06947757,136.1696004,,,
,平田大川,,,,,左岸,1.4,35.06848808,136.1700949,,,
,平田大川,,,,,右岸,1.4,35.06892313,136.1699516,,,
,平田大川,,,,,左岸,1.5,35.06898463,136.1711015,,,
,平田大川,,,,,右岸,1.5,35.06936844,136.1708141,,,
,平田大川,,,,,左岸,1.6,35.06866826,136.1714628,,,
,平田大川,,,,,右岸,1.6,35.0688451,136.1719671,,,
,平田大川,,,,,左岸,1.7,35.06786759,136.1720866,,,
,平田大川,,,,,右岸,1.7,35.06817048,136.1724926,,,
,平田大川,,,,,左岸,1.8,35.06725949,136.1726822,,,
,平田大川,,,,,右岸,1.8,35.06738494,136.1732088,,,
,平田大川,,,,,左岸,1.9,35.06645411,136.1732664,,,
,平田大川,,,,,右岸,1.9,35.06666685,136.1737497,,,
,平田大川,,,,,左岸,2,35.06577945,136.1738083,,,
,平田大川,,,,,右岸,2,35.06584241,136.1743512,,,
,平田大川,,,,,左岸,2.1,35.06593611,136.1748082,,,
,平田大川,,,,,右岸,2.1,35.06612371,136.1743098,,,
,平田大川,,,,,左岸,2.2,35.066564,136.1752942,,,
,平田大川,,,,,右岸,2.2,35.06694766,136.1750065,,,
