水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,年谷川,,,,,左岸,0,35.01682433,135.6007012,,,
,年谷川,,,,,右岸,0,35.01613183,135.6009459,,,
,年谷川,,,,,左岸,0.1,35.01657267,135.599649,,,
,年谷川,,,,,右岸,0.1,35.01588018,135.5998937,,,
,年谷川,,,,,左岸,0.2,35.01632101,135.5985968,,,
,年谷川,,,,,右岸,0.2,35.01562852,135.5988415,,,
,年谷川,,,,,左岸,0.3,35.0160746,135.5975455,,,
,年谷川,,,,,右岸,0.3,35.01538094,135.5977853,,,
,年谷川,,,,,左岸,0.4,35.01582804,135.5964916,,,
,年谷川,,,,,右岸,0.4,35.01513438,135.5967313,,,
,年谷川,,,,,左岸,0.5,35.01540996,135.595367,,,
,年谷川,,,,,右岸,0.5,35.0148137,135.5958601,,,
,年谷川,,,,,左岸,0.6,35.01486111,135.5944615,,,
,年谷川,,,,,右岸,0.6,35.01429365,135.5950025,,,
,年谷川,,,,,左岸,0.7,35.01410361,135.5936564,,,
,年谷川,,,,,右岸,0.7,35.01369161,135.5943758,,,
,年谷川,,,,,左岸,0.8,35.01332734,135.5930537,,,
,年谷川,,,,,右岸,0.8,35.01294866,135.5937997,,,
,年谷川,,,,,左岸,0.9,35.01241928,135.5926124,,,
,年谷川,,,,,右岸,0.9,35.01217982,135.5934392,,,
,年谷川,,,,,左岸,1,35.01151851,135.5923095,,,
,年谷川,,,,,右岸,1,35.01134407,135.59316,,,
,年谷川,,,,,左岸,1.1,35.01064372,135.5920446,,,
,年谷川,,,,,右岸,1.1,35.01046941,135.5928951,,,
,年谷川,,,,,左岸,1.2,35.0097965,135.5917391,,,
,年谷川,,,,,右岸,1.2,35.00958818,135.5925782,,,
,年谷川,,,,,左岸,1.3,35.00893301,135.5914616,,,
,年谷川,,,,,右岸,1.3,35.00870892,135.5922947,,,
,年谷川,,,,,左岸,1.4,35.00820963,135.5910643,,,
,年谷川,,,,,右岸,1.4,35.00780094,135.5917865,,,
,年谷川,,,,,左岸,1.5,35.00764585,135.590443,,,
,年谷川,,,,,右岸,1.5,35.0070465,135.5909305,,,
,年谷川,,,,,左岸,1.6,35.00713609,135.5895298,,,
,年谷川,,,,,右岸,1.6,35.00654419,135.5900305,,,
,年谷川,,,,,左岸,1.7,35.0066154,135.5886286,,,
,年谷川,,,,,右岸,1.7,35.00602876,135.5891384,,,
,年谷川,,,,,左岸,1.8,35.00609108,135.5877374,,,
,年谷川,,,,,右岸,1.8,35.00550445,135.5882472,,,
,年谷川,,,,,左岸,1.9,35.00557988,135.5868433,,,
,年谷川,,,,,右岸,1.9,35.00498679,135.587342,,,
,年谷川,,,,,左岸,2,35.00506007,135.5859437,,,
,年谷川,,,,,右岸,2,35.00447044,135.5864484,,,
,年谷川,,,,,左岸,2.1,35.00454717,135.5850492,,,
,年谷川,,,,,右岸,2.1,35.00395264,135.5855452,,,
,年谷川,,,,,左岸,2.2,35.00402266,135.584147,,,
,年谷川,,,,,右岸,2.2,35.00343673,135.584658,,,
,年谷川,,,,,左岸,2.3,35.00323761,135.58329,,,
,年谷川,,,,,右岸,2.3,35.00290013,135.5840646,,,
,年谷川,,,,,左岸,2.4,35.00223261,135.5830111,,,
,年谷川,,,,,右岸,2.4,35.00215901,135.583883,,,
,年谷川,,,,,左岸,2.5,35.00124062,135.5831807,,,
,年谷川,,,,,右岸,2.5,35.00137444,135.584042,,,
,年谷川,,,,,左岸,2.6,35.00066985,135.5833045,,,
,年谷川,,,,,右岸,2.6,35.00021742,135.583987,,,
,年谷川,,,,,左岸,2.7,35.00014821,135.5825286,,,
,年谷川,,,,,右岸,2.7,34.99958878,135.5830816,,,
,年谷川,,,,,左岸,2.8,34.99957933,135.5816787,,,
,年谷川,,,,,右岸,2.8,34.9990199,135.5822318,,,
,年谷川,,,,,左岸,2.9,34.99903626,135.5808307,,,
,年谷川,,,,,右岸,2.9,34.99845605,135.5813512,,,
,年谷川,,,,,左岸,3,34.99826019,135.5800267,,,
