水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,広野川,,,,,左岸,0,35.01414868,136.068948,,,
,広野川,,,,,右岸,0,35.01409944,136.0694926,,,
,広野川,,,,,左岸,0.1,35.0132526,136.0688283,,,
,広野川,,,,,右岸,0.1,35.01320336,136.0693729,,,
,広野川,,,,,左岸,0.2,35.01235746,136.0687058,,,
,広野川,,,,,右岸,0.2,35.01230689,136.0692502,,,
,広野川,,,,,左岸,0.3,35.01151325,136.0685728,,,
,広野川,,,,,右岸,0.3,35.01137042,136.0690924,,,
,広野川,,,,,左岸,0.4,35.01063678,136.0682634,,,
,広野川,,,,,右岸,0.4,35.01051567,136.0687911,,,
,広野川,,,,,左岸,0.5,35.00987966,136.0678558,,,
,広野川,,,,,右岸,0.5,35.00963902,136.0683191,,,
,広野川,,,,,左岸,0.6,35.00910926,136.0672732,,,
,広野川,,,,,右岸,0.6,35.00887875,136.067744,,,
,広野川,,,,,左岸,0.7,35.00820584,136.0668422,,,
,広野川,,,,,右岸,0.7,35.00812093,136.0673802,,,
,広野川,,,,,左岸,0.8,35.00732051,136.0666358,,,
,広野川,,,,,右岸,0.8,35.0072356,136.0671738,,,
,広野川,,,,,左岸,0.9,35.00643577,136.066429,,,
,広野川,,,,,右岸,0.9,35.00634982,136.0669668,,,
,広野川,,,,,左岸,1,35.00555083,136.0662201,,,
,広野川,,,,,右岸,1,35.00546489,136.0667579,,,
,広野川,,,,,左岸,1.1,35.00465489,136.0660094,,,
,広野川,,,,,右岸,1.1,35.00459085,136.0665516,,,
,広野川,,,,,左岸,1.2,35.00369281,136.0664499,,,
,広野川,,,,,右岸,1.2,35.00401789,136.0668293,,,
,広野川,,,,,左岸,1.3,35.00311555,136.06698,,,
,広野川,,,,,右岸,1.3,35.00314814,136.0675263,,,
,広野川,,,,,左岸,1.4,35.00237784,136.0668029,,,
,広野川,,,,,右岸,1.4,35.00220194,136.0673072,,,
,広野川,,,,,左岸,1.5,35.00142008,136.0666647,,,
,広野川,,,,,右岸,1.5,35.00137755,136.0672101,,,
,広野川,,,,,左岸,1.6,35.00065149,136.0663585,,,
,広野川,,,,,右岸,1.6,35.00044506,136.0668455,,,
,広野川,,,,,左岸,1.7,34.99998877,136.0657792,,,
,広野川,,,,,右岸,1.7,34.99966051,136.0661546,,,
,広野川,,,,,左岸,1.8,34.99924174,136.0654591,,,
,広野川,,,,,右岸,1.8,34.998925,136.0658488,,,
,広野川,,,,,左岸,1.9,34.99876774,136.0646035,,,
,広野川,,,,,右岸,1.9,34.99842386,136.0649576,,,
,広野川,,,,,左岸,2,34.99806979,136.0640964,,,
,広野川,,,,,右岸,2,34.99768884,136.0643892,,,
,広野川,,,,,左岸,2.1,34.99718891,136.0634358,,,
,広野川,,,,,右岸,2.1,34.99717432,136.0639833,,,
,広野川,,,,,左岸,2.2,34.99629422,136.0633836,,,
,広野川,,,,,右岸,2.2,34.99626828,136.0639304,,,
,広野川,,,,,左岸,2.3,34.99561202,136.0630324,,,
,広野川,,,,,右岸,2.3,34.99532961,136.0634593,,,
,広野川,,,,,左岸,2.4,34.99472737,136.0624204,,,
,広野川,,,,,右岸,2.4,34.99469498,136.0629668,,,
,広野川,,,,,左岸,2.5,34.99375568,136.0625091,,,
,広野川,,,,,右岸,2.5,34.99388162,136.063035,,,
,広野川,,,,,左岸,2.6,34.9928428,136.062652,,,
,広野川,,,,,右岸,2.6,34.99313439,136.0630697,,,
,広野川,,,,,左岸,2.7,34.99253856,136.0622696,,,
,広野川,,,,,右岸,2.7,34.99218642,136.0626115,,,
,広野川,,,,,左岸,2.8,34.9914455,136.0622413,,,
,広野川,,,,,右岸,2.8,34.9915029,136.0627845,,,
,広野川,,,,,左岸,2.9,34.99060878,136.0622255,,,
,広野川,,,,,右岸,2.9,34.99053996,136.0627668,,,
,広野川,,,,,左岸,3,34.98984908,136.0618003,,,
,広野川,,,,,右岸,3,34.98968293,136.0623095,,,
,広野川,,,,,左岸,3.1,34.9890079,136.0614529,,,
,広野川,,,,,右岸,3.1,34.98882481,136.0619534,,,
,広野川,,,,,左岸,3.2,34.98796667,136.0616403,,,
,広野川,,,,,右岸,3.2,34.98828833,136.062024,,,
,広野川,,,,,左岸,3.3,34.98750611,136.0614842,,,
,広野川,,,,,右岸,3.3,34.98721762,136.061905,,,
,広野川,,,,,左岸,3.4,34.98671821,136.0608,,,
,広野川,,,,,右岸,3.4,34.98655284,136.0613094,,,
