水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,庄下川,,,,,左岸,0,34.71436935,135.4183088,,,
,庄下川,,,,,右岸,0,34.71478897,135.4173425,,,
,庄下川,,,,,左岸,0.1,34.71559053,135.4181057,,,
,庄下川,,,,,右岸,0.1,34.71517048,135.4171397,,,
,庄下川,,,,,左岸,0.2,34.71609359,135.418136,,,
,庄下川,,,,,右岸,0.2,34.71638587,135.4171032,,,
,庄下川,,,,,左岸,0.3,34.71677582,135.4184191,,,
,庄下川,,,,,右岸,0.3,34.7170681,135.4173864,,,
,庄下川,,,,,左岸,0.4,34.71774188,135.4187998,,,
,庄下川,,,,,右岸,0.4,34.71798726,135.4177492,,,
,庄下川,,,,,左岸,0.5,34.71869607,135.4191267,,,
,庄下川,,,,,右岸,0.5,34.71894145,135.4180761,,,
,庄下川,,,,,左岸,0.6,34.71956541,135.4194233,,,
,庄下川,,,,,右岸,0.6,34.71980751,135.4183716,,,
,庄下川,,,,,左岸,0.7,34.72060745,135.4197752,,,
,庄下川,,,,,右岸,0.7,34.72084955,135.4187235,,,
,庄下川,,,,,左岸,0.8,34.72134261,135.4200061,,,
,庄下川,,,,,右岸,0.8,34.72150929,135.4189331,,,
,庄下川,,,,,左岸,0.9,34.72253272,135.4195319,,,
,庄下川,,,,,右岸,0.9,34.72193032,135.4187196,,,
,庄下川,,,,,左岸,1,34.72328478,135.4187605,,,
,庄下川,,,,,右岸,1,34.72296186,135.4177411,,,
,庄下川,,,,,左岸,1.1,34.72390814,135.4186474,,,
,庄下川,,,,,右岸,1.1,34.72392681,135.4175558,,,
,庄下川,,,,,左岸,1.2,34.7246736,135.4186557,,,
,庄下川,,,,,右岸,1.2,34.72460301,135.4175672,,,
,庄下川,,,,,左岸,1.3,34.72565504,135.4180801,,,
,庄下川,,,,,右岸,1.3,34.7250048,135.4173239,,,
,庄下川,,,,,左岸,1.4,34.72634186,135.4172138,,,
,庄下川,,,,,右岸,1.4,34.72569161,135.4164575,,,
,庄下川,,,,,左岸,1.5,34.72694822,135.416532,,,
,庄下川,,,,,右岸,1.5,34.72640487,135.4156608,,,
,庄下川,,,,,左岸,1.6,34.72763638,135.416251,,,
,庄下川,,,,,右岸,1.6,34.72739683,135.4151984,,,
,庄下川,,,,,左岸,1.7,34.72849943,135.4159867,,,
,庄下川,,,,,右岸,1.7,34.72828162,135.4149271,,,
,庄下川,,,,,左岸,1.8,34.72943421,135.4155592,,,
,庄下川,,,,,右岸,1.8,34.72902714,135.4145849,,,
,庄下川,,,,,左岸,1.9,34.73019932,135.4151736,,,
,庄下川,,,,,右岸,1.9,34.72992183,135.4141347,,,
,庄下川,,,,,左岸,2,34.73101889,135.4149336,,,
,庄下川,,,,,右岸,2,34.73085106,135.4138608,,,
,庄下川,,,,,左岸,2.1,34.73180016,135.4149419,,,
,庄下川,,,,,右岸,2.1,34.73186663,135.4138529,,,
,庄下川,,,,,左岸,2.2,34.73269292,135.4150324,,,
,庄下川,,,,,右岸,2.2,34.73277053,135.4139445,,,
,庄下川,,,,,左岸,2.3,34.73359106,135.4151264,,,
,庄下川,,,,,右岸,2.3,34.73366866,135.4140385,,,
,庄下川,,,,,左岸,2.4,34.73445179,135.4152158,,,
,庄下川,,,,,右岸,2.4,34.73460334,135.4141394,,,
,庄下川,,,,,左岸,2.5,34.73527342,135.4154348,,,
,庄下川,,,,,右岸,2.5,34.73553866,135.4143911,,,
,庄下川,,,,,左岸,2.6,34.73602995,135.4158571,,,
,庄下川,,,,,右岸,2.6,34.73642068,135.414873,,,
,庄下川,,,,,左岸,2.7,34.73698814,135.4162846,,,
,庄下川,,,,,右岸,2.7,34.73714401,135.415209,,,
,庄下川,,,,,左岸,2.8,34.73803782,135.4162081,,,
,庄下川,,,,,右岸,2.8,34.73787598,135.4151338,,,
,庄下川,,,,,左岸,2.9,34.73892466,135.416012,,,
,庄下川,,,,,右岸,2.9,34.73876282,135.4149377,,,
,庄下川,,,,,左岸,3,34.73995144,135.4153041,,,
,庄下川,,,,,右岸,3,34.73926074,135.4146023,,,
,庄下川,,,,,左岸,3.1,34.74048169,135.4147001,,,
,庄下川,,,,,右岸,3.1,34.74004654,135.4137437,,,
,庄下川,,,,,左岸,3.2,34.74132192,135.4141077,,,
,庄下川,,,,,右岸,3.2,34.74076812,135.413246,,,
,庄下川,,,,,左岸,3.3,34.74203324,135.4134369,,,
,庄下川,,,,,右岸,3.3,34.74147943,135.4125751,,,
,庄下川,,,,,左岸,3.4,34.74274455,135.4127659,,,
,庄下川,,,,,右岸,3.4,34.74219074,135.4119042,,,
,庄下川,,,,,左岸,3.5,34.74345034,135.4121355,,,
,庄下川,,,,,右岸,3.5,34.7429356,135.411239,,,
,庄下川,,,,,左岸,3.6,34.74419112,135.4117447,,,
,庄下川,,,,,右岸,3.6,34.74383899,135.4107394,,,
,庄下川,,,,,左岸,3.7,34.74498866,135.411489,,,
,庄下川,,,,,右岸,3.7,34.74477868,135.410427,,,
,庄下川,,,,,左岸,3.8,34.74590096,135.4110823,,,
,庄下川,,,,,右岸,3.8,34.74555576,135.4100734,,,
,庄下川,,,,,左岸,3.9,34.74677497,135.4105452,,,
,庄下川,,,,,右岸,3.9,34.74628431,135.409629,,,
,庄下川,,,,,左岸,4,34.74753632,135.4098713,,,
,庄下川,,,,,右岸,4,34.74697681,135.409015,,,
,庄下川,,,,,左岸,4.1,34.74821115,135.4089201,,,
,庄下川,,,,,右岸,4.1,34.74746466,135.4083078,,,
,庄下川,,,,,左岸,4.2,34.74856368,135.4077221,,,
,庄下川,,,,,右岸,4.2,34.74769238,135.4074419,,,
,庄下川,,,,,左岸,4.3,34.74868373,135.4068435,,,
,庄下川,,,,,右岸,4.3,34.74794519,135.4062172,,,
,庄下川,,,,,左岸,4.4,34.74902436,135.406308,,,
,庄下川,,,,,右岸,4.4,34.74884234,135.4052383,,,
,庄下川,,,,,左岸,4.5,34.74986799,135.4062104,,,
,庄下川,,,,,右岸,4.5,34.74979174,135.4051222,,,
,庄下川,,,,,左岸,4.6,34.75077166,135.4061047,,,
,庄下川,,,,,右岸,4.6,34.75068264,135.4050179,,,
,庄下川,,,,,左岸,4.7,34.75171751,135.4056769,,,
,庄下川,,,,,右岸,4.7,34.75147575,135.4050895,,,
,庄下川,,,,,左岸,4.8,34.75252802,135.4054444,,,
,庄下川,,,,,右岸,4.8,34.75228513,135.4043926,,,
,庄下川,,,,,左岸,4.9,34.75326679,135.4053191,,,
,庄下川,,,,,右岸,4.9,34.75333881,135.4046723,,,
,庄下川,,,,,左岸,5,34.75414048,135.4054963,,,
,庄下川,,,,,右岸,5,34.75424473,135.4048424,,,
,庄下川,,,,,左岸,5.1,34.75502712,135.4056981,,,
,庄下川,,,,,右岸,5.1,34.75512908,135.4050501,,,
,庄下川,,,,,左岸,5.2,34.75586969,135.4058933,,,
,庄下川,,,,,右岸,5.2,34.75605293,135.4052833,,,
,庄下川,,,,,左岸,5.3,34.75687954,135.405376,,,
,庄下川,,,,,右岸,5.3,34.75637242,135.4051501,,,
,庄下川,,,,,左岸,5.4,34.7572799,135.4046759,,,
,庄下川,,,,,右岸,5.4,34.75698953,135.4041259,,,
,庄下川,,,,,左岸,5.5,34.75803157,135.404518,,,
,庄下川,,,,,右岸,5.5,34.75799766,135.4038542,,,
,庄下川,,,,,左岸,5.6,34.75893171,135.4044954,,,
,庄下川,,,,,右岸,5.6,34.7588987,135.4038389,,,
,庄下川,,,,,左岸,5.7,34.75970569,135.4047822,,,
,庄下川,,,,,右岸,5.7,34.75985168,135.4041536,,,
,庄下川,,,,,左岸,5.8,34.76045116,135.4052041,,,
,庄下川,,,,,右岸,5.8,34.76072856,135.4046418,,,
,庄下川,,,,,左岸,5.9,34.76129538,135.4057153,,,
,庄下川,,,,,右岸,5.9,34.76149548,135.405101,,,
,庄下川,,,,,左岸,6,34.76206301,135.406125,,,
,庄下川,,,,,右岸,6,34.76236953,135.4055758,,,
,庄下川,,,,,左岸,6.1,34.76276856,135.4067664,,,
,庄下川,,,,,右岸,6.1,34.76310402,135.4062485,,,
,庄下川,,,,,左岸,6.2,34.76347627,135.407443,,,
,庄下川,,,,,右岸,6.2,34.76381022,135.4069274,,,
,庄下川,,,,,左岸,6.3,34.7641823,135.4081207,,,
,庄下川,,,,,右岸,6.3,34.76451692,135.4076072,,,
,庄下川,,,,,左岸,6.4,34.76489655,135.4087975,,,
,庄下川,,,,,右岸,6.4,34.76523104,135.4082635,,,
,庄下川,,,,,左岸,6.5,34.76562548,135.4094391,,,
,庄下川,,,,,右岸,6.5,34.76595451,135.4089169,,,
