水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,弥陀次郎川,,,,,左岸,0,34.92133052,135.7898383,,,
,弥陀次郎川,,,,,右岸,0,34.92160092,135.7898327,,,
,弥陀次郎川,,,,,左岸,0.1,34.92124297,135.7908586,,,
,弥陀次郎川,,,,,右岸,0.1,34.92149949,135.7909627,,,
,弥陀次郎川,,,,,左岸,0.2,34.92091361,135.7918557,,,
,弥陀次郎川,,,,,右岸,0.2,34.92115795,135.7919964,,,
,弥陀次郎川,,,,,左岸,0.3,34.92054626,135.7928778,,,
,弥陀次郎川,,,,,右岸,0.3,34.92080387,135.7929778,,,
,弥陀次郎川,,,,,左岸,0.4,34.92032158,135.7939529,,,
,弥陀次郎川,,,,,右岸,0.4,34.92058603,135.7940216,,,
,弥陀次郎川,,,,,左岸,0.5,34.92016005,135.7950128,,,
,弥陀次郎川,,,,,右岸,0.5,34.92041784,135.7951121,,,
,弥陀次郎川,,,,,左岸,0.6,34.91977318,135.7959533,,,
,弥陀次郎川,,,,,右岸,0.6,34.92000464,135.7961231,,,
,弥陀次郎川,,,,,左岸,0.7,34.9193355,135.7969214,,,
,弥陀次郎川,,,,,右岸,0.7,34.91957611,135.7970713,,,
,弥陀次郎川,,,,,左岸,0.8,34.91892749,135.7978442,,,
,弥陀次郎川,,,,,右岸,0.8,34.9191248,135.7980687,,,
,弥陀次郎川,,,,,左岸,0.9,34.91839819,135.7987168,,,
,弥陀次郎川,,,,,右岸,0.9,34.91860826,135.7989235,,,
,弥陀次郎川,,,,,左岸,1,34.91803448,135.7997489,,,
,弥陀次郎川,,,,,右岸,1,34.9182797,135.7998874,,,
,弥陀次郎川,,,,,左岸,1.1,34.91788194,135.8006827,,,
,弥陀次郎川,,,,,右岸,1.1,34.91790175,135.8010102,,,
,弥陀次郎川,,,,,左岸,1.2,34.91758375,135.8017648,,,
,弥陀次郎川,,,,,右岸,1.2,34.91784384,135.8018548,,,
,弥陀次郎川,,,,,左岸,1.3,34.91757544,135.8028478,,,
,弥陀次郎川,,,,,右岸,1.3,34.91784007,135.80278,,,
,弥陀次郎川,,,,,左岸,1.4,34.91771295,135.8038878,,,
,弥陀次郎川,,,,,右岸,1.4,34.91798332,135.8038956,,,
,弥陀次郎川,,,,,左岸,1.5,34.9181473,135.8049082,,,
,弥陀次郎川,,,,,右岸,1.5,34.91836424,135.8047122,,,
,弥陀次郎川,,,,,左岸,1.6,34.91823889,135.8058586,,,
,弥陀次郎川,,,,,右岸,1.6,34.9185085,135.8058329,,,
,弥陀次郎川,,,,,左岸,1.7,34.91838744,135.80697,,,
,弥陀次郎川,,,,,右岸,1.7,34.91862865,135.8068215,,,
,弥陀次郎川,,,,,左岸,1.8,34.9185452,135.8076817,,,
,弥陀次郎川,,,,,右岸,1.8,34.91870933,135.8079427,,,
