水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,御代川（柘植川合流）,,,,,左岸,0,34.81539239,136.2031503,,,
,御代川（柘植川合流）,,,,,右岸,0,34.81523052,136.2026403,,,
,御代川（柘植川合流）,,,,,左岸,0.1,34.81606695,136.2032468,,,
,御代川（柘植川合流）,,,,,右岸,0.1,34.81624442,136.2027444,,,
,御代川（柘植川合流）,,,,,左岸,0.2,34.81645699,136.2038701,,,
,御代川（柘植川合流）,,,,,右岸,0.2,34.8168893,136.2037154,,,
,御代川（柘植川合流）,,,,,左岸,0.3,34.81690382,136.2048436,,,
,御代川（柘植川合流）,,,,,右岸,0.3,34.81729997,136.2045829,,,
,御代川（柘植川合流）,,,,,左岸,0.4,34.81731747,136.2058229,,,
,御代川（柘植川合流）,,,,,右岸,0.4,34.81770728,136.2055485,,,
,御代川（柘植川合流）,,,,,左岸,0.5,34.81777216,136.206768,,,
,御代川（柘植川合流）,,,,,右岸,0.5,34.81816108,136.2064917,,,
,御代川（柘植川合流）,,,,,左岸,0.6,34.81822787,136.2077112,,,
,御代川（柘植川合流）,,,,,右岸,0.6,34.81861679,136.2074349,,,
,御代川（柘植川合流）,,,,,左岸,0.7,34.81921547,136.2078637,,,
,御代川（柘植川合流）,,,,,右岸,0.7,34.81907175,136.2073457,,,
,御代川（柘植川合流）,,,,,左岸,0.8,34.82006989,136.2075282,,,
,御代川（柘植川合流）,,,,,右岸,0.8,34.81993255,136.2070076,,,
