水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,御代川（領主谷川合流）,,,,,左岸,0,34.69953235,136.1702874,,,
,御代川（領主谷川合流）,,,,,右岸,0,34.69996022,136.1701157,,,
,御代川（領主谷川合流）,,,,,左岸,0.1,34.69985876,136.171344,,,
,御代川（領主谷川合流）,,,,,右岸,0.1,34.70026227,136.1711008,,,
,御代川（領主谷川合流）,,,,,左岸,0.2,34.70052032,136.1722369,,,
,御代川（領主谷川合流）,,,,,右岸,0.2,34.70079523,136.1718044,,,
,御代川（領主谷川合流）,,,,,左岸,0.3,34.70123475,136.1729026,,,
,御代川（領主谷川合流）,,,,,右岸,0.3,34.70150967,136.1724701,,,
,御代川（領主谷川合流）,,,,,左岸,0.4,34.70183092,136.1735588,,,
,御代川（領主谷川合流）,,,,,右岸,0.4,34.70222267,136.1732888,,,
,御代川（領主谷川合流）,,,,,左岸,0.5,34.70209421,136.1745215,,,
,御代川（領主谷川合流）,,,,,右岸,0.5,34.70253102,136.1743868,,,
,御代川（領主谷川合流）,,,,,左岸,0.6,34.70231848,136.1755799,,,
,御代川（領主谷川合流）,,,,,右岸,0.6,34.70275486,136.1754431,,,
,御代川（領主谷川合流）,,,,,左岸,0.7,34.70254432,136.1766367,,,
,御代川（領主谷川合流）,,,,,右岸,0.7,34.70298071,136.1764999,,,
,御代川（領主谷川合流）,,,,,左岸,0.8,34.70277935,136.1776948,,,
,御代川（領主谷川合流）,,,,,右岸,0.8,34.70321397,136.1775501,,,
,御代川（領主谷川合流）,,,,,左岸,0.9,34.70262413,136.1785777,,,
,御代川（領主谷川合流）,,,,,右岸,0.9,34.70304565,136.1787711,,,
,御代川（領主谷川合流）,,,,,左岸,1,34.70243575,136.1797261,,,
,御代川（領主谷川合流）,,,,,右岸,1,34.70288626,136.1797441,,,
,御代川（領主谷川合流）,,,,,左岸,1.1,34.70250897,136.1808986,,,
,御代川（領主谷川合流）,,,,,右岸,1.1,34.70293995,136.1807386,,,
,御代川（領主谷川合流）,,,,,左岸,1.2,34.70277311,136.1819423,,,
,御代川（領主谷川合流）,,,,,右岸,1.2,34.70320408,136.1817823,,,
,御代川（領主谷川合流）,,,,,左岸,1.3,34.70303723,136.182986,,,
,御代川（領主谷川合流）,,,,,右岸,1.3,34.70346821,136.1828261,,,
,御代川（領主谷川合流）,,,,,左岸,1.4,34.7033042,136.1840295,,,
,御代川（領主谷川合流）,,,,,右岸,1.4,34.70373475,136.1838679,,,
,御代川（領主谷川合流）,,,,,左岸,1.5,34.70357111,136.1850722,,,
,御代川（領主谷川合流）,,,,,右岸,1.5,34.70400166,136.1849106,,,
,御代川（領主谷川合流）,,,,,左岸,1.6,34.70383801,136.1861149,,,
,御代川（領主谷川合流）,,,,,右岸,1.6,34.70426856,136.1859533,,,
,御代川（領主谷川合流）,,,,,左岸,1.7,34.70458006,136.1869238,,,
,御代川（領主谷川合流）,,,,,右岸,1.7,34.7045864,136.186378,,,
,御代川（領主谷川合流）,,,,,左岸,1.8,34.70543942,136.1869607,,,
,御代川（領主谷川合流）,,,,,右岸,1.8,34.70552537,136.1864248,,,
,御代川（領主谷川合流）,,,,,左岸,1.9,34.70607293,136.1874757,,,
,御代川（領主谷川合流）,,,,,右岸,1.9,34.70636934,136.1870645,,,
,御代川（領主谷川合流）,,,,,左岸,2,34.70638531,136.1884764,,,
,御代川（領主谷川合流）,,,,,右岸,2,34.70660629,136.1880006,,,
,御代川（領主谷川合流）,,,,,左岸,2.1,34.7072937,136.1890178,,,
,御代川（領主谷川合流）,,,,,右岸,2.1,34.7072403,136.1884758,,,
,御代川（領主谷川合流）,,,,,左岸,2.2,34.70771856,136.1892358,,,
,御代川（領主谷川合流）,,,,,右岸,2.2,34.70805689,136.1888752,,,
,御代川（領主谷川合流）,,,,,左岸,2.3,34.70795558,136.1899373,,,
,御代川（領主谷川合流）,,,,,右岸,2.3,34.70836449,136.1901669,,,
,御代川（領主谷川合流）,,,,,左岸,2.4,34.70811512,136.1911829,,,
,御代川（領主谷川合流）,,,,,右岸,2.4,34.70854338,136.1910126,,,
,御代川（領主谷川合流）,,,,,左岸,2.5,34.70839912,136.1922244,,,
,御代川（領主谷川合流）,,,,,右岸,2.5,34.70882466,136.1920443,,,
,御代川（領主谷川合流）,,,,,左岸,2.6,34.70868472,136.1932198,,,
,御代川（領主谷川合流）,,,,,右岸,2.6,34.70912666,136.1931124,,,
