水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,御神田川,,,,,左岸,0,34.66175674,135.633152,,,
,御神田川,,,,,右岸,0,34.6622973,135.6331753,,,
,御神田川,,,,,左岸,0.1,34.6617298,135.6342498,,,
,御神田川,,,,,右岸,0.1,34.66227066,135.6342585,,,
,御神田川,,,,,左岸,0.2,34.66171132,135.6353359,,,
,御神田川,,,,,右岸,0.2,34.66225202,135.635354,,,
,御神田川,,,,,左岸,0.3,34.66167975,135.6364234,,,
,御神田川,,,,,右岸,0.3,34.66222029,135.6364473,,,
,御神田川,,,,,左岸,0.4,34.66164977,135.6375178,,,
,御神田川,,,,,右岸,0.4,34.66219052,135.6375338,,,
,御神田川,,,,,左岸,0.5,34.66161027,135.6385973,,,
,御神田川,,,,,右岸,0.5,34.66215033,135.638634,,,
