水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,思川,,,,,左岸,0,35.00562546,136.094855,,,
,思川,,,,,右岸,0,35.00607612,136.0948449,,,
,思川,,,,,左岸,0.1,35.00564033,136.0959311,,,
,思川,,,,,右岸,0.1,35.00609045,136.0959596,,,
,思川,,,,,左岸,0.2,35.00555522,136.0969831,,,
,思川,,,,,右岸,0.2,35.00599804,136.0970853,,,
,思川,,,,,左岸,0.3,35.00538418,136.0980573,,,
,思川,,,,,右岸,0.3,35.00582652,136.0981625,,,
,思川,,,,,左岸,0.4,35.00515354,136.0990404,,,
,思川,,,,,右岸,0.4,35.00555855,136.0992808,,,
,思川,,,,,左岸,0.5,35.00464199,136.099899,,,
,思川,,,,,右岸,0.5,35.0050224,136.1001928,,,
,思川,,,,,左岸,0.6,35.00418665,136.1008611,,,
,思川,,,,,右岸,0.6,35.00457934,136.10113,,,
,思川,,,,,左岸,0.7,35.00378711,136.1018933,,,
,思川,,,,,右岸,0.7,35.00421239,136.1020747,,,
,思川,,,,,左岸,0.8,35.00361301,136.1030232,,,
,思川,,,,,右岸,0.8,35.00405965,136.1030969,,,
,思川,,,,,左岸,0.9,35.00342542,136.104028,,,
,思川,,,,,右岸,0.9,35.00384729,136.1042208,,,
,思川,,,,,左岸,1,35.00309422,136.1050354,,,
,思川,,,,,右岸,1,35.00350965,136.105248,,,
,思川,,,,,左岸,1.1,35.00279317,136.10611,,,
,思川,,,,,右岸,1.1,35.00323013,136.1062443,,,
,思川,,,,,左岸,1.2,35.00258169,136.1071841,,,
,思川,,,,,右岸,1.2,35.00302206,136.1073009,,,
,思川,,,,,左岸,1.3,35.00237957,136.1082429,,,
,思川,,,,,右岸,1.3,35.00281673,136.1083763,,,
,思川,,,,,左岸,1.4,35.00207386,136.1092368,,,
,思川,,,,,右岸,1.4,35.00249386,136.1094356,,,
,思川,,,,,左岸,1.5,35.001684,136.1101896,,,
,思川,,,,,右岸,1.5,35.00208264,136.1104453,,,
,思川,,,,,左岸,1.6,35.0015067,136.1114094,,,
,思川,,,,,右岸,1.6,35.00195344,136.1113366,,,
,思川,,,,,左岸,1.7,35.00169732,136.1124834,,,
,思川,,,,,右岸,1.7,35.00214322,136.1124034,,,
,思川,,,,,左岸,1.8,35.0015954,136.1134177,,,
,思川,,,,,右岸,1.8,35.00202046,136.1135999,,,
,思川,,,,,左岸,1.9,35.0012955,136.1144508,,,
,思川,,,,,右岸,1.9,35.00172056,136.1146331,,,
,思川,,,,,左岸,2,35.00093459,136.1153981,,,
,思川,,,,,右岸,2,35.00132568,136.1156704,,,
,思川,,,,,左岸,2.1,35.00046305,136.1162204,,,
,思川,,,,,右岸,2.1,35.00076286,136.1166294,,,
,思川,,,,,左岸,2.2,34.99978044,136.1169159,,,
,思川,,,,,右岸,2.2,35.00006426,136.1173414,,,
,思川,,,,,左岸,2.3,34.99903011,136.1176338,,,
,思川,,,,,右岸,2.3,34.99940299,136.1179415,,,
,思川,,,,,左岸,2.4,34.9985826,136.1186296,,,
,思川,,,,,右岸,2.4,34.99898995,136.1188641,,,
,思川,,,,,左岸,2.5,34.99808326,136.1194646,,,
,思川,,,,,右岸,2.5,34.99843817,136.1198022,,,
,思川,,,,,左岸,2.6,34.99764308,136.1205597,,,
,思川,,,,,右岸,2.6,34.99809319,136.1205885,,,
,思川,,,,,左岸,2.7,34.99783546,136.1217272,,,
,思川,,,,,右岸,2.7,34.99826503,136.1215613,,,
,思川,,,,,左岸,2.8,34.99792279,136.1225956,,,
,思川,,,,,右岸,2.8,34.99833582,136.1228149,,,
,思川,,,,,左岸,2.9,34.99745519,136.1235429,,,
,思川,,,,,右岸,2.9,34.99788816,136.1236951,,,
,思川,,,,,左岸,3,34.99722078,136.1235268,,,
,思川,,,,,右岸,3,34.99695258,136.123967,,,
,思川,,,,,左岸,3.1,34.99646708,136.1228953,,,
,思川,,,,,右岸,3.1,34.99622266,136.1233555,,,
,思川,,,,,左岸,3.2,34.99537157,136.1227288,,,
,思川,,,,,右岸,3.2,34.9956509,136.1231587,,,
,思川,,,,,左岸,3.3,34.99473277,136.1234734,,,
,思川,,,,,右岸,3.3,34.99498821,136.1239247,,,
,思川,,,,,左岸,3.4,34.99397494,136.1240303,,,
,思川,,,,,右岸,3.4,34.99420408,136.124502,,,
,思川,,,,,左岸,3.5,34.99326095,136.1248028,,,
,思川,,,,,右岸,3.5,34.99358155,136.1251878,,,
,思川,,,,,左岸,3.6,34.99263622,136.1255999,,,
,思川,,,,,右岸,3.6,34.99296293,136.1259773,,,
,思川,,,,,左岸,3.7,34.99203365,136.1264389,,,
,思川,,,,,右岸,3.7,34.99238079,136.1267883,,,
,思川,,,,,左岸,3.8,34.99147297,136.1273141,,,
,思川,,,,,右岸,3.8,34.99183414,136.1276418,,,
,思川,,,,,左岸,3.9,34.99099903,136.1284097,,,
,思川,,,,,右岸,3.9,34.99144948,136.1284293,,,
,思川,,,,,左岸,4,34.99147202,136.1295173,,,
,思川,,,,,右岸,4,34.99181422,136.1291609,,,
,思川,,,,,左岸,4.1,34.99197593,136.1303291,,,
,思川,,,,,右岸,4.1,34.99238311,136.1300942,,,
,思川,,,,,左岸,4.2,34.99212285,136.131294,,,
,思川,,,,,右岸,4.2,34.99257307,136.1312676,,,
,思川,,,,,左岸,4.3,34.992155,136.1323836,,,
,思川,,,,,右岸,4.3,34.99260554,136.1323674,,,
,思川,,,,,左岸,4.4,34.9921293,136.1332894,,,
,思川,,,,,右岸,4.4,34.99249757,136.1336052,,,
,思川,,,,,左岸,4.5,34.99151108,136.1336315,,,
,思川,,,,,右岸,4.5,34.99157423,136.1341738,,,
,思川,,,,,左岸,4.6,34.99072161,136.1345383,,,
,思川,,,,,右岸,4.6,34.99112753,136.1347764,,,
,思川,,,,,左岸,4.7,34.99033331,136.1355081,,,
,思川,,,,,右岸,4.7,34.99072648,136.135776,,,
,思川,,,,,左岸,4.8,34.99000982,136.1366889,,,
,思川,,,,,右岸,4.8,34.99045974,136.1366558,,,
,思川,,,,,左岸,4.9,34.99045207,136.1377893,,,
,思川,,,,,右岸,4.9,34.99080825,136.1374536,,,
,思川,,,,,左岸,5,34.99084666,136.1386958,,,
,思川,,,,,右岸,5,34.99125505,136.138464,,,
,思川,,,,,左岸,5.1,34.99136237,136.1396458,,,
,思川,,,,,右岸,5.1,34.9917351,136.1393379,,,
,思川,,,,,左岸,5.2,34.99182023,136.1405398,,,
,思川,,,,,右岸,5.2,34.99222599,136.1403013,,,
,思川,,,,,左岸,5.3,34.99190642,136.1413886,,,
,思川,,,,,右岸,5.3,34.99235715,136.1413894,,,
,思川,,,,,左岸,5.4,34.9918755,136.1425842,,,
,思川,,,,,右岸,5.4,34.99232599,136.1426025,,,
,思川,,,,,左岸,5.5,34.99185116,136.143683,,,
,思川,,,,,右岸,5.5,34.99230181,136.1436937,,,
,思川,,,,,左岸,5.6,34.99183361,136.1447783,,,
,思川,,,,,右岸,5.6,34.99228426,136.1447889,,,
,思川,,,,,左岸,5.7,34.99193798,136.1460112,,,
