水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,愛宕谷川,,,,,左岸,0,35.0209225,135.5868729,,,
,愛宕谷川,,,,,右岸,0,35.02122576,135.5864811,,,
,愛宕谷川,,,,,左岸,0.1,35.02158123,135.587627,,,
,愛宕谷川,,,,,右岸,0.1,35.02188977,135.5872159,,,
,愛宕谷川,,,,,左岸,0.2,35.02224468,135.5883056,,,
,愛宕谷川,,,,,右岸,0.2,35.02253376,135.5880436,,,
,愛宕谷川,,,,,左岸,0.3,35.02263065,135.5890814,,,
,愛宕谷川,,,,,右岸,0.3,35.02297459,135.5889498,,,
,愛宕谷川,,,,,左岸,0.4,35.02283673,135.5902512,,,
,愛宕谷川,,,,,右岸,0.4,35.02318328,135.5901301,,,
,愛宕谷川,,,,,左岸,0.5,35.02298897,135.5912971,,,
,愛宕谷川,,,,,右岸,0.5,35.0233444,135.5912233,,,
,愛宕谷川,,,,,左岸,0.6,35.02349014,135.5923162,,,
,愛宕谷川,,,,,右岸,0.6,35.02378403,135.5920622,,,
,愛宕谷川,,,,,左岸,0.7,35.0239527,135.5931621,,,
,愛宕谷川,,,,,右岸,0.7,35.024299,135.5930399,,,
,愛宕谷川,,,,,左岸,0.8,35.02375964,135.5941991,,,
,愛宕谷川,,,,,右岸,0.8,35.02409707,135.5940446,,,
,愛宕谷川,,,,,左岸,0.9,35.02450036,135.5949708,,,
,愛宕谷川,,,,,右岸,0.9,35.02464927,135.5945716,,,
