水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,愛知川,,,,,左岸,0,35.21400054,136.1132911,,,
,愛知川,,,,,右岸,0,35.21730071,136.1155522,,,
,愛知川,,,,,左岸,0.1,35.21355875,136.1142486,,,
,愛知川,,,,,右岸,0.1,35.21685889,136.1165096,,,
,愛知川,,,,,左岸,0.2,35.21306466,136.1153349,,,
,愛知川,,,,,右岸,0.2,35.21647397,136.1173411,,,
,愛知川,,,,,左岸,0.3,35.21267266,136.116324,,,
,愛知川,,,,,右岸,0.3,35.21608195,136.1183302,,,
,愛知川,,,,,左岸,0.4,35.21222987,136.1174852,,,
,愛知川,,,,,右岸,0.4,35.21575865,136.1191568,,,
,愛知川,,,,,左岸,0.5,35.21190325,136.1185089,,,
,愛知川,,,,,右岸,0.5,35.21543201,136.1201806,,,
,愛知川,,,,,左岸,0.6,35.21154088,136.1197353,,,
,愛知川,,,,,右岸,0.6,35.2151779,136.1210169,,,
,愛知川,,,,,左岸,0.7,35.21129046,136.1207904,,,
,愛知川,,,,,右岸,0.7,35.21492747,136.1220721,,,
,愛知川,,,,,左岸,0.8,35.21099091,136.1221644,,,
,愛知川,,,,,右岸,0.8,35.21473948,136.1228119,,,
,愛知川,,,,,左岸,0.9,35.21086439,136.1232519,,,
,愛知川,,,,,右岸,0.9,35.21461296,136.1238994,,,
,愛知川,,,,,左岸,1,35.21073164,136.1246336,,,
,愛知川,,,,,右岸,1,35.21451736,136.124695,,,
,愛知川,,,,,左岸,1.1,35.21071965,136.1257319,,,
,愛知川,,,,,右岸,1.1,35.21450536,136.1257933,,,
,愛知川,,,,,左岸,1.2,35.21070764,136.1268302,,,
,愛知川,,,,,右岸,1.2,35.21449336,136.1268916,,,
,愛知川,,,,,左岸,1.3,35.21069563,136.1279284,,,
,愛知川,,,,,右岸,1.3,35.21448134,136.1279899,,,
,愛知川,,,,,左岸,1.4,35.2106836,136.1290267,,,
,愛知川,,,,,右岸,1.4,35.21446931,136.1290883,,,
,愛知川,,,,,左岸,1.5,35.21067157,136.130125,,,
,愛知川,,,,,右岸,1.5,35.21445728,136.1301866,,,
,愛知川,,,,,左岸,1.6,35.21065253,136.1312002,,,
,愛知川,,,,,右岸,1.6,35.21443755,136.1313076,,,
,愛知川,,,,,左岸,1.7,35.21060969,136.1319711,,,
,愛知川,,,,,右岸,1.7,35.21434523,136.1327222,,,
,愛知川,,,,,左岸,1.8,35.21046221,136.1327742,,,
,愛知川,,,,,右岸,1.8,35.21409852,136.1340588,,,
,愛知川,,,,,左岸,1.9,35.21026749,136.133246,,,
,愛知川,,,,,右岸,1.9,35.21353997,136.1355659,,,
,愛知川,,,,,左岸,2,35.2097633,136.1339439,,,
,愛知川,,,,,右岸,2,35.21255576,136.137059,,,
,愛知川,,,,,左岸,2.1,35.2093372,136.134511,,,
,愛知川,,,,,右岸,2.1,35.21212965,136.1376261,,,
,愛知川,,,,,左岸,2.2,35.20888172,136.1348993,,,
,愛知川,,,,,右岸,2.2,35.21116178,136.1385821,,,
,愛知川,,,,,左岸,2.3,35.2080947,136.1356799,,,
,愛知川,,,,,右岸,2.3,35.2105522,136.1391891,,,
,愛知川,,,,,左岸,2.4,35.20740146,136.1364017,,,
,愛知川,,,,,右岸,2.4,35.20987475,136.1398943,,,
,愛知川,,,,,左岸,2.5,35.2065578,136.137311,,,
,愛知川,,,,,右岸,2.5,35.20935406,136.1404209,,,
,愛知川,,,,,左岸,2.6,35.20586486,136.1382511,,,
,愛知川,,,,,右岸,2.6,35.20883692,136.1411087,,,
,愛知川,,,,,左岸,2.7,35.205131,136.1396554,,,
,愛知川,,,,,右岸,2.7,35.2085906,136.1415293,,,
,愛知川,,,,,左岸,2.8,35.20475279,136.1409649,,,
,愛知川,,,,,右岸,2.8,35.20837891,136.1422914,,,
,愛知川,,,,,左岸,2.9,35.20462549,136.142631,,,
,愛知川,,,,,右岸,2.9,35.20840853,136.1428149,,,
,愛知川,,,,,左岸,3,35.20436851,136.1439084,,,
,愛知川,,,,,右岸,3,35.20815197,136.1437547,,,
,愛知川,,,,,左岸,3.1,35.20466996,136.144995,,,
,愛知川,,,,,右岸,3.1,35.20845391,136.1448414,,,
,愛知川,,,,,左岸,3.2,35.20469997,136.1460927,,,
,愛知川,,,,,右岸,3.2,35.20848393,136.1459391,,,
,愛知川,,,,,左岸,3.3,35.20472998,136.1471904,,,
,愛知川,,,,,右岸,3.3,35.20851393,136.1470369,,,
,愛知川,,,,,左岸,3.4,35.20473907,136.148131,,,
,愛知川,,,,,右岸,3.4,35.20852283,136.1482916,,,
,愛知川,,,,,左岸,3.5,35.20468721,136.1488451,,,
,愛知川,,,,,右岸,3.5,35.20839862,136.1497566,,,
,愛知川,,,,,左岸,3.6,35.20453294,136.1494696,,,
,愛知川,,,,,右岸,3.6,35.20803402,136.1512253,,,
,愛知川,,,,,左岸,3.7,35.20417251,136.1506218,,,
,愛知川,,,,,右岸,3.7,35.20775204,136.1521245,,,
,愛知川,,,,,左岸,3.8,35.20387886,136.1516602,,,
,愛知川,,,,,右岸,3.8,35.20745837,136.1531629,,,
,愛知川,,,,,左岸,3.9,35.20360545,136.1530974,,,
,愛知川,,,,,右岸,3.9,35.20733902,136.1538628,,,
,愛知川,,,,,左岸,4,35.20352842,136.1545485,,,
,愛知川,,,,,右岸,4,35.20731424,136.1545992,,,
,愛知川,,,,,左岸,4.1,35.20351979,136.1557373,,,
,愛知川,,,,,右岸,4.1,35.20730433,136.1556069,,,
,愛知川,,,,,左岸,4.2,35.20354527,136.1568351,,,
,愛知川,,,,,右岸,4.2,35.20732981,136.1567047,,,
,愛知川,,,,,左岸,4.3,35.20357074,136.1579329,,,
,愛知川,,,,,右岸,4.3,35.20735528,136.1578026,,,
,愛知川,,,,,左岸,4.4,35.2035962,136.1590308,,,
,愛知川,,,,,右岸,4.4,35.20738074,136.1589005,,,
,愛知川,,,,,左岸,4.5,35.20366827,136.1602536,,,
,愛知川,,,,,右岸,4.5,35.20744106,136.1598678,,,
,愛知川,,,,,左岸,4.6,35.20374367,136.161348,,,
,愛知川,,,,,右岸,4.6,35.20751645,136.1609622,,,
,愛知川,,,,,左岸,4.7,35.20381905,136.1624425,,,
,愛知川,,,,,右岸,4.7,35.20759184,136.1620567,,,
,愛知川,,,,,左岸,4.8,35.20381156,136.1633028,,,
,愛知川,,,,,右岸,4.8,35.20759691,136.1633913,,,
,愛知川,,,,,左岸,4.9,35.2037369,136.1642112,,,
,愛知川,,,,,右岸,4.9,35.20750422,136.1646695,,,
,愛知川,,,,,左岸,5,35.20366257,136.1648128,,,
,愛知川,,,,,右岸,5,35.20726553,136.1662299,,,
,愛知川,,,,,左岸,5.1,35.20351068,136.1653638,,,
,愛知川,,,,,右岸,5.1,35.20676734,136.1677164,,,
,愛知川,,,,,左岸,5.2,35.20305095,136.1663085,,,
,愛知川,,,,,右岸,5.2,35.20630759,136.1686611,,,
,愛知川,,,,,左岸,5.3,35.20275046,136.1668128,,,
,愛知川,,,,,右岸,5.3,35.20554865,136.16992,,,
,愛知川,,,,,左岸,5.4,35.20236087,136.1673729,,,
,愛知川,,,,,右岸,5.4,35.20472096,136.1709797,,,
,愛知川,,,,,左岸,5.5,35.20165601,136.1680575,,,
,愛知川,,,,,右岸,5.5,35.20401608,136.1716643,,,
,愛知川,,,,,左岸,5.6,35.20094328,136.1687576,,,
,愛知川,,,,,右岸,5.6,35.20332536,136.1723429,,,
,愛知川,,,,,左岸,5.7,35.20024263,136.1694486,,,
,愛知川,,,,,右岸,5.7,35.20262469,136.1730339,,,
,愛知川,,,,,左岸,5.8,35.19954198,136.1701396,,,
,愛知川,,,,,右岸,5.8,35.20192402,136.1737248,,,
,愛知川,,,,,左岸,5.9,35.19884132,136.1708306,,,
,愛知川,,,,,右岸,5.9,35.20122334,136.1744158,,,
,愛知川,,,,,左岸,6,35.19817237,136.171458,,,
,愛知川,,,,,右岸,6,35.20046444,136.1751291,,,
,愛知川,,,,,左岸,6.1,35.1974549,136.1721228,,,
,愛知川,,,,,右岸,6.1,35.19974695,136.175794,,,
,愛知川,,,,,左岸,6.2,35.19673742,136.1727877,,,
,愛知川,,,,,右岸,6.2,35.19902945,136.1764588,,,
,愛知川,,,,,左岸,6.3,35.19601995,136.1734525,,,
,愛知川,,,,,右岸,6.3,35.19831196,136.1771236,,,
,愛知川,,,,,左岸,6.4,35.19519817,136.1743401,,,
,愛知川,,,,,右岸,6.4,35.19779204,136.1776999,,,
,愛知川,,,,,左岸,6.5,35.19436275,136.1753434,,,
,愛知川,,,,,右岸,6.5,35.19732587,136.1782144,,,
,愛知川,,,,,左岸,6.6,35.19380164,136.1762028,,,
,愛知川,,,,,右岸,6.6,35.19676474,136.1790739,,,
,愛知川,,,,,左岸,6.7,35.19321092,136.1772424,,,
,愛知川,,,,,右岸,6.7,35.19633619,136.1798458,,,
,愛知川,,,,,左岸,6.8,35.19264822,136.1784167,,,
,愛知川,,,,,右岸,6.8,35.19599661,136.1805693,,,
,愛知川,,,,,左岸,6.9,35.19222749,136.1793878,,,
,愛知川,,,,,右岸,6.9,35.19557587,136.1815405,,,
,愛知川,,,,,左岸,7,35.19180677,136.180359,,,
,愛知川,,,,,右岸,7,35.19515513,136.1825117,,,
,愛知川,,,,,左岸,7.1,35.19138603,136.1813302,,,
,愛知川,,,,,右岸,7.1,35.19473437,136.1834829,,,
,愛知川,,,,,左岸,7.2,35.19090724,136.1826086,,,
,愛知川,,,,,右岸,7.2,35.19446208,136.1841957,,,
,愛知川,,,,,左岸,7.3,35.19059705,136.1836396,,,
,愛知川,,,,,右岸,7.3,35.19415187,136.1852268,,,
,愛知川,,,,,左岸,7.4,35.1902816,136.1847129,,,
,愛知川,,,,,右岸,7.4,35.1938595,136.1862211,,,
,愛知川,,,,,左岸,7.5,35.18998682,136.1857506,,,
,愛知川,,,,,右岸,7.5,35.19356471,136.1872588,,,
,愛知川,,,,,左岸,7.6,35.18969203,136.1867883,,,
,愛知川,,,,,右岸,7.6,35.19326991,136.1882966,,,
,愛知川,,,,,左岸,7.7,35.18939939,136.1876666,,,
,愛知川,,,,,右岸,7.7,35.19288932,136.1894547,,,
,愛知川,,,,,左岸,7.8,35.1890358,136.1887255,,,
,愛知川,,,,,右岸,7.8,35.19255655,136.1904216,,,
,愛知川,,,,,左岸,7.9,35.1887043,136.1897466,,,
,愛知川,,,,,右岸,7.9,35.19222503,136.1914427,,,
,愛知川,,,,,左岸,8,35.18840138,136.1905586,,,
,愛知川,,,,,右岸,8,35.19178447,136.1926291,,,
,愛知川,,,,,左岸,8.1,35.18822629,136.1908908,,,
,愛知川,,,,,右岸,8.1,35.19095354,136.1940897,,,
,愛知川,,,,,左岸,8.2,35.18766229,136.1915777,,,
,愛知川,,,,,右岸,8.2,35.19024182,136.1949536,,,
,愛知川,,,,,左岸,8.3,35.1872984,136.1920423,,,
,愛知川,,,,,右岸,8.3,35.18927846,136.1959732,,,
,愛知川,,,,,左岸,8.4,35.18653008,136.1926166,,,
,愛知川,,,,,右岸,8.4,35.18851012,136.1965474,,,
,愛知川,,,,,左岸,8.5,35.18611327,136.192874,,,
,愛知川,,,,,右岸,8.5,35.18731668,136.1972466,,,
,愛知川,,,,,左岸,8.6,35.18525858,136.1932231,,,
,愛知川,,,,,右岸,8.6,35.18646198,136.1975956,,,
,愛知川,,,,,左岸,8.7,35.18440389,136.1935721,,,
,愛知川,,,,,右岸,8.7,35.18560728,136.1979446,,,
,愛知川,,,,,左岸,8.8,35.18385664,136.1936922,,,
,愛知川,,,,,右岸,8.8,35.18439348,136.1982572,,,
,愛知川,,,,,左岸,8.9,35.18313898,136.1937597,,,
,愛知川,,,,,右岸,8.9,35.18331599,136.1983662,,,
,愛知川,,,,,左岸,9,35.18223852,136.1938111,,,
,愛知川,,,,,右岸,9,35.18241553,136.1984176,,,
,愛知川,,,,,左岸,9.1,35.18135259,136.1937439,,,
,愛知川,,,,,右岸,9.1,35.18149663,136.1984614,,,
,愛知川,,,,,左岸,9.2,35.18044987,136.1937224,,,
,愛知川,,,,,右岸,9.2,35.18059581,136.1985022,,,
,愛知川,,,,,左岸,9.3,35.1795441,136.1936014,,,
,愛知川,,,,,右岸,9.3,35.17969499,136.198543,,,
,愛知川,,,,,左岸,9.4,35.17843261,136.193485,,,
,愛知川,,,,,右岸,9.4,35.1789634,136.1986006,,,
,愛知川,,,,,左岸,9.5,35.17758975,136.1937116,,,
,愛知川,,,,,右岸,9.5,35.17803423,136.1987431,,,
,愛知川,,,,,左岸,9.6,35.17673295,136.1942758,,,
,愛知川,,,,,右岸,9.6,35.17713795,136.1988605,,,
,愛知川,,,,,左岸,9.7,35.175884,136.1943873,,,
,愛知川,,,,,右岸,9.7,35.17619429,136.198983,,,
,愛知川,,,,,左岸,9.8,35.17498559,136.1944773,,,
,愛知川,,,,,右岸,9.8,35.17529587,136.1990729,,,
,愛知川,,,,,左岸,9.9,35.17408718,136.1945673,,,
,愛知川,,,,,右岸,9.9,35.17439746,136.1991629,,,
,愛知川,,,,,左岸,10,35.17318877,136.1946573,,,
,愛知川,,,,,右岸,10,35.17349905,136.1992528,,,
,愛知川,,,,,左岸,10.1,35.17229036,136.1947473,,,
,愛知川,,,,,右岸,10.1,35.17260063,136.1993428,,,
,愛知川,,,,,左岸,10.2,35.17137035,136.1945175,,,
,愛知川,,,,,右岸,10.2,35.17170222,136.1994327,,,
,愛知川,,,,,左岸,10.3,35.1705405,136.1945608,,,
,愛知川,,,,,右岸,10.3,35.17075146,136.1997725,,,
,愛知川,,,,,左岸,10.4,35.16912616,136.1950222,,,
,愛知川,,,,,右岸,10.4,35.16990877,136.2000535,,,
,愛知川,,,,,左岸,10.5,35.16850618,136.1951653,,,
,愛知川,,,,,右岸,10.5,35.16921085,136.1996955,,,
,愛知川,,,,,左岸,10.6,35.16723431,136.1955873,,,
,愛知川,,,,,右岸,10.6,35.16874495,136.199815,,,
,愛知川,,,,,左岸,10.7,35.16640774,136.1960253,,,
,愛知川,,,,,右岸,10.7,35.16791836,136.200253,,,
,愛知川,,,,,左岸,10.8,35.16555916,136.196486,,,
,愛知川,,,,,右岸,10.8,35.16712034,136.2006864,,,
,愛知川,,,,,左岸,10.9,35.16473793,136.1969387,,,
,愛知川,,,,,右岸,10.9,35.16629909,136.201139,,,
,愛知川,,,,,左岸,11,35.1639167,136.1973913,,,
,愛知川,,,,,右岸,11,35.16547784,136.2015916,,,
,愛知川,,,,,左岸,11.1,35.16299164,136.1979312,,,
,愛知川,,,,,右岸,11.1,35.16477662,136.2019971,,,
,愛知川,,,,,左岸,11.2,35.16195818,136.198604,,,
,愛知川,,,,,右岸,11.2,35.16374314,136.2026699,,,
,愛知川,,,,,左岸,11.3,35.16140171,136.1989663,,,
,愛知川,,,,,右岸,11.3,35.16318665,136.2030321,,,
,愛知川,,,,,左岸,11.4,35.16060673,136.1994838,,,
,愛知川,,,,,右岸,11.4,35.16239166,136.2035496,,,
,愛知川,,,,,左岸,11.5,35.15981176,136.2000013,,,
,愛知川,,,,,右岸,11.5,35.16159667,136.2040671,,,
,愛知川,,,,,左岸,11.6,35.15908248,136.2004212,,,
,愛知川,,,,,右岸,11.6,35.16069816,136.2045906,,,
,愛知川,,,,,左岸,11.7,35.15826724,136.2008897,,,
,愛知川,,,,,右岸,11.7,35.15988291,136.205059,,,
,愛知川,,,,,左岸,11.8,35.15754094,136.2012987,,,
,愛知川,,,,,右岸,11.8,35.15897161,136.2055671,,,
,愛知川,,,,,左岸,11.9,35.15670634,136.2017135,,,
,愛知川,,,,,右岸,11.9,35.15813699,136.2059818,,,
,愛知川,,,,,左岸,12,35.15609389,136.2019529,,,
,愛知川,,,,,右岸,12,35.15703818,136.2064173,,,
,愛知川,,,,,左岸,12.1,35.15557819,136.2020981,,,
,愛知川,,,,,右岸,12.1,35.15579275,136.2067007,,,
,愛知川,,,,,左岸,12.2,35.15467819,136.2021603,,,
,愛知川,,,,,右岸,12.2,35.15489275,136.2067629,,,
,愛知川,,,,,左岸,12.3,35.15394135,136.2021836,,,
,愛知川,,,,,右岸,12.3,35.15382879,136.2067914,,,
,愛知川,,,,,左岸,12.4,35.1530403,136.202151,,,
,愛知川,,,,,右岸,12.4,35.15292774,136.2067588,,,
,愛知川,,,,,左岸,12.5,35.15213925,136.2021183,,,
,愛知川,,,,,右岸,12.5,35.15202669,136.2067261,,,
,愛知川,,,,,左岸,12.6,35.1512382,136.2020857,,,
,愛知川,,,,,右岸,12.6,35.15112564,136.2066935,,,
,愛知川,,,,,左岸,12.7,35.15033715,136.2020531,,,
,愛知川,,,,,右岸,12.7,35.1502246,136.2066608,,,
,愛知川,,,,,左岸,12.8,35.1494308,136.2022378,,,
,愛知川,,,,,右岸,12.8,35.14931828,136.2068436,,,
,愛知川,,,,,左岸,12.9,35.14852719,136.20231,,,
,愛知川,,,,,右岸,12.9,35.14841442,136.2069261,,,
,愛知川,,,,,左岸,13,35.147634,136.2019553,,,
,愛知川,,,,,右岸,13,35.14752145,136.2065628,,,
,愛知川,,,,,左岸,13.1,35.14673295,136.2019227,,,
,愛知川,,,,,右岸,13.1,35.1466204,136.2065302,,,
,愛知川,,,,,左岸,13.2,35.1458319,136.2018901,,,
,愛知川,,,,,右岸,13.2,35.14571935,136.2064975,,,
,愛知川,,,,,左岸,13.3,35.14472362,136.2019367,,,
,愛知川,,,,,右岸,13.3,35.14502857,136.2065311,,,
,愛知川,,,,,左岸,13.4,35.14382511,136.2020251,,,
,愛知川,,,,,右岸,13.4,35.14413005,136.2066195,,,
,愛知川,,,,,左岸,13.5,35.14292659,136.2021135,,,
,愛知川,,,,,右岸,13.5,35.14323153,136.2067078,,,
,愛知川,,,,,左岸,13.6,35.14197111,136.202233,,,
