水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,打上川,,,,,左岸,0,34.76664224,135.6351223,,,
,打上川,,,,,右岸,0,34.76683426,135.6356165,,,
,打上川,,,,,左岸,0.1,34.76582664,135.6355877,,,
,打上川,,,,,右岸,0.1,34.76601866,135.6360819,,,
,打上川,,,,,左岸,0.2,34.7650895,135.6367016,,,
,打上川,,,,,右岸,0.2,34.76553292,135.6366035,,,
,打上川,,,,,左岸,0.3,34.76524024,135.6375875,,,
,打上川,,,,,右岸,0.3,34.76567128,135.6374277,,,
,打上川,,,,,左岸,0.4,34.76546904,135.638563,,,
,打上川,,,,,右岸,0.4,34.76591897,135.6385301,,,
,打上川,,,,,左岸,0.5,34.76562593,135.6397252,,,
,打上川,,,,,右岸,0.5,34.76603854,135.6395053,,,
,打上川,,,,,左岸,0.6,34.76588395,135.6409319,,,
,打上川,,,,,右岸,0.6,34.76632635,135.6408273,,,
,打上川,,,,,左岸,0.7,34.76617191,135.6417991,,,
,打上川,,,,,右岸,0.7,34.76658398,135.6415778,,,
,打上川,,,,,左岸,0.8,34.76600209,135.6422336,,,
,打上川,,,,,右岸,0.8,34.76610864,135.6427643,,,
,打上川,,,,,左岸,0.9,34.76510321,135.6423358,,,
,打上川,,,,,右岸,0.9,34.76524727,135.6428534,,,
,打上川,,,,,左岸,1,34.76429544,135.6429307,,,
,打上川,,,,,右岸,1,34.76453173,135.6433959,,,
,打上川,,,,,左岸,1.1,34.76352851,135.6434589,,,
,打上川,,,,,右岸,1.1,34.76373152,135.6439465,,,
,打上川,,,,,左岸,1.2,34.76281644,135.644362,,,
,打上川,,,,,右岸,1.2,34.76322171,135.6446011,,,
,打上川,,,,,左岸,1.3,34.76245253,135.645315,,,
,打上川,,,,,右岸,1.3,34.76282373,135.6456249,,,
,打上川,,,,,左岸,1.4,34.76191175,135.6461403,,,
,打上川,,,,,右岸,1.4,34.76224461,135.6465085,,,
,打上川,,,,,左岸,1.5,34.76121121,135.6469401,,,
,打上川,,,,,右岸,1.5,34.76163248,135.6471344,,,
,打上川,,,,,左岸,1.6,34.76144611,135.648021,,,
,打上川,,,,,右岸,1.6,34.76189667,135.6480367,,,
,打上川,,,,,左岸,1.7,34.76119285,135.6485269,,,
,打上川,,,,,右岸,1.7,34.76155891,135.6488456,,,
,打上川,,,,,左岸,1.8,34.76042065,135.6497179,,,
,打上川,,,,,右岸,1.8,34.76085978,135.6498412,,,
,打上川,,,,,左岸,1.9,34.7605566,135.6509095,,,
,打上川,,,,,右岸,1.9,34.7609955,135.6507851,,,
,打上川,,,,,左岸,2,34.76099031,135.6520188,,,
,打上川,,,,,右岸,2,34.76128736,135.651608,,,
,打上川,,,,,左岸,2.1,34.76160088,135.6526834,,,
,打上川,,,,,右岸,2.1,34.76198315,135.652394,,,
,打上川,,,,,左岸,2.2,34.76183603,135.6534619,,,
,打上川,,,,,右岸,2.2,34.76226286,135.6536375,,,
,打上川,,,,,左岸,2.3,34.76135642,135.6541003,,,
,打上川,,,,,右岸,2.3,34.76159545,135.6545634,,,
,打上川,,,,,左岸,2.4,34.76067775,135.6549542,,,
,打上川,,,,,右岸,2.4,34.76103633,135.6552852,,,
,打上川,,,,,左岸,2.5,34.76044917,135.6561077,,,
,打上川,,,,,右岸,2.5,34.76089121,135.6562146,,,
,打上川,,,,,左岸,2.6,34.76011429,135.6569753,,,
,打上川,,,,,右岸,2.6,34.76047741,135.6572989,,,
,打上川,,,,,左岸,2.7,34.76020181,135.6581666,,,
,打上川,,,,,右岸,2.7,34.76065186,135.6581968,,,
