水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,打滝川,,,,,左岸,0,34.75693217,135.9349424,,,
,打滝川,,,,,右岸,0,34.75666086,135.9355094,,,
,打滝川,,,,,左岸,0.1,34.75605648,135.9343718,,,
,打滝川,,,,,右岸,0.1,34.75603752,135.9350267,,,
,打滝川,,,,,左岸,0.2,34.75507574,135.9348896,,,
,打滝川,,,,,右岸,0.2,34.75531789,135.9354757,,,
,打滝川,,,,,左岸,0.3,34.75471746,135.9352301,,,
,打滝川,,,,,右岸,0.3,34.75451523,135.935838,,,
,打滝川,,,,,左岸,0.4,34.75365686,135.9351054,,,
,打滝川,,,,,右岸,0.4,34.75382824,135.935727,,,
,打滝川,,,,,左岸,0.5,34.75285307,135.9359005,,,
,打滝川,,,,,右岸,0.5,34.75330608,135.9362586,,,
,打滝川,,,,,左岸,0.6,34.75224269,135.9364414,,,
,打滝川,,,,,右岸,0.6,34.75250778,135.9370127,,,
,打滝川,,,,,左岸,0.7,34.75147862,135.9368488,,,
,打滝川,,,,,右岸,0.7,34.75162633,135.9374793,,,
,打滝川,,,,,左岸,0.8,34.7506825,135.9371268,,,
,打滝川,,,,,右岸,0.8,34.75111903,135.9379029,,,
,打滝川,,,,,左岸,0.9,34.74992588,135.9379659,,,
,打滝川,,,,,右岸,0.9,34.75011612,135.9385794,,,
,打滝川,,,,,左岸,1,34.74920641,135.9376723,,,
,打滝川,,,,,右岸,1,34.74912468,135.9385113,,,
,打滝川,,,,,左岸,1.1,34.74835839,135.9380394,,,
,打滝川,,,,,右岸,1.1,34.74876548,135.9385833,,,
,打滝川,,,,,左岸,1.2,34.74754637,135.9390468,,,
,打滝川,,,,,右岸,1.2,34.74789374,135.9395491,,,
,打滝川,,,,,左岸,1.3,34.74668193,135.9396285,,,
,打滝川,,,,,右岸,1.3,34.74716718,135.9403952,,,
,打滝川,,,,,左岸,1.4,34.74601763,135.9398869,,,
,打滝川,,,,,右岸,1.4,34.74631212,135.9406641,,,
,打滝川,,,,,左岸,1.5,34.74535454,135.9403945,,,
,打滝川,,,,,右岸,1.5,34.74572869,135.9410234,,,
,打滝川,,,,,左岸,1.6,34.74484969,135.9417032,,,
,打滝川,,,,,右岸,1.6,34.74532899,135.9420069,,,
,打滝川,,,,,左岸,1.7,34.74428713,135.9429022,,,
,打滝川,,,,,右岸,1.7,34.74481565,135.9430416,,,
,打滝川,,,,,左岸,1.8,34.74444261,135.9439458,,,
,打滝川,,,,,右岸,1.8,34.74493002,135.9436616,,,
,打滝川,,,,,左岸,1.9,34.74455212,135.9447167,,,
,打滝川,,,,,右岸,1.9,34.74505946,135.944944,,,
,打滝川,,,,,左岸,2,34.74455138,135.9459965,,,
,打滝川,,,,,右岸,2,34.7450744,135.9458294,,,
,打滝川,,,,,左岸,2.1,34.74420992,135.946801,,,
,打滝川,,,,,右岸,2.1,34.7447431,135.9469114,,,
,打滝川,,,,,左岸,2.2,34.74408255,135.9479061,,,
,打滝川,,,,,右岸,2.2,34.74462099,135.9479686,,,
,打滝川,,,,,左岸,2.3,34.74393561,135.9489679,,,
,打滝川,,,,,右岸,2.3,34.74447112,135.9490602,,,
,打滝川,,,,,左岸,2.4,34.74394577,135.9498898,,,
,打滝川,,,,,右岸,2.4,34.74438996,135.9502638,,,
,打滝川,,,,,左岸,2.5,34.7437646,135.9496272,,,
,打滝川,,,,,右岸,2.5,34.74344962,135.9505443,,,
,打滝川,,,,,左岸,2.6,34.74262549,135.9497948,,,
,打滝川,,,,,右岸,2.6,34.7424944,135.9504306,,,
,打滝川,,,,,左岸,2.7,34.74162719,135.9504431,,,
,打滝川,,,,,右岸,2.7,34.74213252,135.9506768,,,
,打滝川,,,,,左岸,2.8,34.74110693,135.9506099,,,
,打滝川,,,,,右岸,2.8,34.74107901,135.9512643,,,
,打滝川,,,,,左岸,2.9,34.7402307,135.9505097,,,
,打滝川,,,,,右岸,2.9,34.74016164,135.9511596,,,
,打滝川,,,,,左岸,3,34.7392095,135.9504904,,,
,打滝川,,,,,右岸,3,34.73940469,135.9511015,,,
,打滝川,,,,,左岸,3.1,34.73850804,135.9504138,,,
,打滝川,,,,,右岸,3.1,34.73836211,135.9510447,,,
,打滝川,,,,,左岸,3.2,34.73743073,135.9504954,,,
,打滝川,,,,,右岸,3.2,34.73770672,135.9510589,,,
,打滝川,,,,,左岸,3.3,34.73686892,135.9512891,,,
,打滝川,,,,,右岸,3.3,34.7370979,135.9518828,,,
,打滝川,,,,,左岸,3.4,34.73640579,135.9512001,,,
,打滝川,,,,,右岸,3.4,34.73598645,135.951614,,,
,打滝川,,,,,左岸,3.5,34.73535728,135.9507165,,,
,打滝川,,,,,右岸,3.5,34.73551786,135.9513422,,,
,打滝川,,,,,左岸,3.6,34.73468524,135.9511613,,,
,打滝川,,,,,右岸,3.6,34.73463653,135.9518139,,,
,打滝川,,,,,左岸,3.7,34.73402082,135.952313,,,
,打滝川,,,,,右岸,3.7,34.73455878,135.9522446,,,
,打滝川,,,,,左岸,3.8,34.73386145,135.95264,,,
,打滝川,,,,,右岸,3.8,34.73381459,135.9532928,,,
,打滝川,,,,,左岸,3.9,34.73302989,135.9521841,,,
,打滝川,,,,,右岸,3.9,34.73315094,135.9528227,,,
,打滝川,,,,,左岸,4,34.73236169,135.9520935,,,
,打滝川,,,,,右岸,4,34.73210999,135.9526735,,,
,打滝川,,,,,左岸,4.1,34.73122352,135.952181,,,
,打滝川,,,,,右岸,4.1,34.73156821,135.952686,,,
,打滝川,,,,,左岸,4.2,34.73079691,135.9529938,,,
