水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,政所川,,,,,左岸,0,35.36265061,136.3930081,,,
,政所川,,,,,右岸,0,35.36291842,136.3925656,,,
,政所川,,,,,左岸,0.1,35.36324953,136.3936794,,,
,政所川,,,,,右岸,0.1,35.36362962,136.3933837,,,
,政所川,,,,,左岸,0.2,35.36357033,136.394713,,,
,政所川,,,,,右岸,0.2,35.36394192,136.3944016,,,
,政所川,,,,,左岸,0.3,35.36393215,136.3954706,,,
,政所川,,,,,右岸,0.3,35.36438121,136.3954236,,,
,政所川,,,,,左岸,0.4,35.36479149,136.3962638,,,
,政所川,,,,,右岸,0.4,35.36479329,136.3957136,,,
,政所川,,,,,左岸,0.5,35.36524368,136.3965881,,,
,政所川,,,,,右岸,0.5,35.36567573,136.3964315,,,
,政所川,,,,,左岸,0.6,35.36585331,136.3975677,,,
,政所川,,,,,右岸,0.6,35.36607849,136.3970911,,,
,政所川,,,,,左岸,0.7,35.36614971,136.3982783,,,
,政所川,,,,,右岸,0.7,35.36659953,136.3982439,,,
,政所川,,,,,左岸,0.8,35.36669466,136.3993326,,,
,政所川,,,,,右岸,0.8,35.36702193,136.3989543,,,
,政所川,,,,,左岸,0.9,35.3670452,136.4000192,,,
,政所川,,,,,右岸,0.9,35.3674947,136.4000593,,,
,政所川,,,,,左岸,1,35.36767796,136.4010462,,,
,政所川,,,,,右岸,1,35.36797175,136.4006289,,,
,政所川,,,,,左岸,1.1,35.36868279,136.4015396,,,
,政所川,,,,,右岸,1.1,35.36847648,136.4010504,,,
,政所川,,,,,左岸,1.2,35.36937552,136.4006581,,,
,政所川,,,,,右岸,1.2,35.36901137,136.4003338,,,
,政所川,,,,,左岸,1.3,35.36992289,136.4005588,,,
,政所川,,,,,右岸,1.3,35.36979844,136.4000299,,,
,政所川,,,,,左岸,1.4,35.37081533,136.4004996,,,
,政所川,,,,,右岸,1.4,35.37095463,136.3999763,,,
,政所川,,,,,左岸,1.5,35.37182413,136.4002817,,,
,政所川,,,,,右岸,1.5,35.37156432,136.3998321,,,
,政所川,,,,,左岸,1.6,35.37253779,136.3996117,,,
,政所川,,,,,右岸,1.6,35.3722773,136.3991626,,,
,政所川,,,,,左岸,1.7,35.37330497,136.3995707,,,
,政所川,,,,,右岸,1.7,35.37323941,136.3990263,,,
,政所川,,,,,左岸,1.8,35.37411025,136.3997335,,,
,政所川,,,,,右岸,1.8,35.37420488,136.3991955,,,
,政所川,,,,,左岸,1.9,35.3749435,136.399681,,,
,政所川,,,,,右岸,1.9,35.37508015,136.3991566,,,
,政所川,,,,,左岸,2,35.37588368,136.3999889,,,
,政所川,,,,,右岸,2,35.37604873,136.3994768,,,
,政所川,,,,,左岸,2.1,35.37681715,136.4001037,,,
,政所川,,,,,右岸,2.1,35.37657384,136.3996405,,,
,政所川,,,,,左岸,2.2,35.37734093,136.3998545,,,
,政所川,,,,,右岸,2.2,35.37762081,136.3994231,,,
,政所川,,,,,左岸,2.3,35.37832263,136.4002292,,,
,政所川,,,,,右岸,2.3,35.37818815,136.3997039,,,
,政所川,,,,,左岸,2.4,35.37908608,136.4001367,,,
,政所川,,,,,右岸,2.4,35.37918563,136.3996,,,
,政所川,,,,,左岸,2.5,35.3797181,136.3997018,,,
,政所川,,,,,右岸,2.5,35.37994064,136.3992232,,,
,政所川,,,,,左岸,2.6,35.38053854,136.4004526,,,
,政所川,,,,,右岸,2.6,35.3803962,136.3999304,,,
,政所川,,,,,左岸,2.7,35.38090932,136.4007579,,,
,政所川,,,,,右岸,2.7,35.38129248,136.4004681,,,
,政所川,,,,,左岸,2.8,35.38180847,136.4014964,,,
,政所川,,,,,右岸,2.8,35.38183931,136.4009474,,,
,政所川,,,,,左岸,2.9,35.38201696,136.4022731,,,
,政所川,,,,,右岸,2.9,35.38240812,136.4019997,,,
,政所川,,,,,左岸,3,35.38287808,136.4028938,,,
,政所川,,,,,右岸,3,35.38308732,136.4024063,,,
