水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,新川（恩智川合流）,,,,,左岸,0,34.67963859,135.633626,,,
,新川（恩智川合流）,,,,,右岸,0,34.6799984,135.6336549,,,
,新川（恩智川合流）,,,,,左岸,0.1,34.67957942,135.6347175,,,
,新川（恩智川合流）,,,,,右岸,0.1,34.67993949,135.6347413,,,
,新川（恩智川合流）,,,,,左岸,0.2,34.67953108,135.6358079,,,
,新川（恩智川合流）,,,,,右岸,0.2,34.67989121,135.6358303,,,
,新川（恩智川合流）,,,,,左岸,0.3,34.67949036,135.6369037,,,
,新川（恩智川合流）,,,,,右岸,0.3,34.67985084,135.6369148,,,
,新川（恩智川合流）,,,,,左岸,0.4,34.67947059,135.6379978,,,
,新川（恩智川合流）,,,,,右岸,0.4,34.67983117,135.6380027,,,
,新川（恩智川合流）,,,,,左岸,0.5,34.6794547,135.6390841,,,
,新川（恩智川合流）,,,,,右岸,0.5,34.6798151,135.6390986,,,
,新川（恩智川合流）,,,,,左岸,0.6,34.67916208,135.6395781,,,
,新川（恩智川合流）,,,,,右岸,0.6,34.67917672,135.6400143,,,
,新川（恩智川合流）,,,,,左岸,0.7,34.67826423,135.6396523,,,
,新川（恩智川合流）,,,,,右岸,0.7,34.67827659,135.6400886,,,
,新川（恩智川合流）,,,,,左岸,0.8,34.6773387,135.6396887,,,
,新川（恩智川合流）,,,,,右岸,0.8,34.67740066,135.6401187,,,
