水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,新川（木津川合流）,,,,,左岸,0,34.75989982,135.874061,,,
,新川（木津川合流）,,,,,右岸,0,34.76022053,135.8745888,,,
,新川（木津川合流）,,,,,左岸,0.1,34.75919968,135.8746871,,,
,新川（木津川合流）,,,,,右岸,0.1,34.75946989,135.8752549,,,
,新川（木津川合流）,,,,,左岸,0.2,34.75852656,135.8748845,,,
,新川（木津川合流）,,,,,右岸,0.2,34.75841389,135.8755255,,,
,新川（木津川合流）,,,,,左岸,0.3,34.7575341,135.874809,,,
,新川（木津川合流）,,,,,右岸,0.3,34.75762114,135.8754559,,,
,新川（木津川合流）,,,,,左岸,0.4,34.75669184,135.8750277,,,
,新川（木津川合流）,,,,,右岸,0.4,34.75670109,135.875683,,,
,新川（木津川合流）,,,,,左岸,0.5,34.75572902,135.8750232,,,
,新川（木津川合流）,,,,,右岸,0.5,34.75587611,135.8756539,,,
,新川（木津川合流）,,,,,左岸,0.6,34.75488371,135.8753776,,,
,新川（木津川合流）,,,,,右岸,0.6,34.75501979,135.8760119,,,
,新川（木津川合流）,,,,,左岸,0.7,34.75409009,135.8754254,,,
,新川（木津川合流）,,,,,右岸,0.7,34.75402982,135.8760767,,,
,新川（木津川合流）,,,,,左岸,0.8,34.7534007,135.8752668,,,
,新川（木津川合流）,,,,,右岸,0.8,34.75300573,135.8757145,,,
,新川（木津川合流）,,,,,左岸,0.9,34.7530724,135.8746133,,,
,新川（木津川合流）,,,,,右岸,0.9,34.75254009,135.8744969,,,
,新川（木津川合流）,,,,,左岸,1,34.75308629,135.8733471,,,
,新川（木津川合流）,,,,,右岸,1,34.75262892,135.873697,,,
,新川（木津川合流）,,,,,左岸,1.1,34.75218838,135.8726307,,,
,新川（木津川合流）,,,,,右岸,1.1,34.75204519,135.8732627,,,
,新川（木津川合流）,,,,,左岸,1.2,34.75123564,135.8725351,,,
,新川（木津川合流）,,,,,右岸,1.2,34.75120632,135.8731894,,,
,新川（木津川合流）,,,,,左岸,1.3,34.75036033,135.8723738,,,
,新川（木津川合流）,,,,,右岸,1.3,34.75030806,135.873026,,,
,新川（木津川合流）,,,,,左岸,1.4,34.74944642,135.8723132,,,
,新川（木津川合流）,,,,,右岸,1.4,34.74942177,135.8729678,,,
,新川（木津川合流）,,,,,左岸,1.5,34.74845928,135.8728458,,,
,新川（木津川合流）,,,,,右岸,1.5,34.74886102,135.8732847,,,
,新川（木津川合流）,,,,,左岸,1.6,34.74833449,135.8742647,,,
,新川（木津川合流）,,,,,右岸,1.6,34.74882278,135.8739828,,,
,新川（木津川合流）,,,,,左岸,1.7,34.74782976,135.8740641,,,
,新川（木津川合流）,,,,,右岸,1.7,34.74782508,135.8747194,,,
,新川（木津川合流）,,,,,左岸,1.8,34.74700271,135.873388,,,
,新川（木津川合流）,,,,,右岸,1.8,34.74687764,135.8740256,,,
,新川（木津川合流）,,,,,左岸,1.9,34.74633453,135.8735586,,,
,新川（木津川合流）,,,,,右岸,1.9,34.74629947,135.87385,,,
,新川（木津川合流）,,,,,左岸,2,34.74573256,135.8743462,,,
,新川（木津川合流）,,,,,右岸,2,34.74591934,135.8746406,,,
,新川（木津川合流）,,,,,左岸,2.1,34.74493724,135.8746358,,,
,新川（木津川合流）,,,,,右岸,2.1,34.74504471,135.8749471,,,
,新川（木津川合流）,,,,,左岸,2.2,34.7443915,135.8755715,,,
,新川（木津川合流）,,,,,右岸,2.2,34.74470533,135.8755953,,,
,新川（木津川合流）,,,,,左岸,2.3,34.74381873,135.8757489,,,
,新川（木津川合流）,,,,,右岸,2.3,34.74375408,135.8760852,,,
,新川（木津川合流）,,,,,左岸,2.4,34.74295712,135.8756276,,,
,新川（木津川合流）,,,,,右岸,2.4,34.74282884,135.8759805,,,
,新川（木津川合流）,,,,,左岸,2.5,34.74201403,135.875484,,,
,新川（木津川合流）,,,,,右岸,2.5,34.74201435,135.8757987,,,
,新川（木津川合流）,,,,,左岸,2.6,34.74112445,135.8754982,,,
,新川（木津川合流）,,,,,右岸,2.6,34.74124983,135.8757679,,,
,新川（木津川合流）,,,,,左岸,2.7,34.74017408,135.8757916,,,
,新川（木津川合流）,,,,,右岸,2.7,34.74031773,135.8760496,,,
,新川（木津川合流）,,,,,左岸,2.8,34.73942318,135.8764186,,,
,新川（木津川合流）,,,,,右岸,2.8,34.73962766,135.8767236,,,
,新川（木津川合流）,,,,,左岸,2.9,34.73897266,135.876044,,,
,新川（木津川合流）,,,,,右岸,2.9,34.73864914,135.8765692,,,
,新川（木津川合流）,,,,,左岸,3,34.7380162,135.8763574,,,
,新川（木津川合流）,,,,,右岸,3,34.73855656,135.8763278,,,
,新川（木津川合流）,,,,,左岸,3.1,34.73755067,135.8767813,,,
,新川（木津川合流）,,,,,右岸,3.1,34.73744416,135.8770942,,,
,新川（木津川合流）,,,,,左岸,3.2,34.73691796,135.8765096,,,
,新川（木津川合流）,,,,,右岸,3.2,34.73695888,135.8768292,,,
,新川（木津川合流）,,,,,左岸,3.3,34.73620281,135.8761324,,,
,新川（木津川合流）,,,,,右岸,3.3,34.73609682,135.8764545,,,
,新川（木津川合流）,,,,,左岸,3.4,34.73540356,135.8762365,,,
,新川（木津川合流）,,,,,右岸,3.4,34.73539543,135.876522,,,
,新川（木津川合流）,,,,,左岸,3.5,34.73449552,135.8764456,,,
,新川（木津川合流）,,,,,右岸,3.5,34.73463519,135.8767753,,,
,新川（木津川合流）,,,,,左岸,3.6,34.7336572,135.8764456,,,
,新川（木津川合流）,,,,,右岸,3.6,34.73369435,135.8767417,,,
,新川（木津川合流）,,,,,左岸,3.7,34.73293977,135.876966,,,
,新川（木津川合流）,,,,,右岸,3.7,34.73310447,135.8772171,,,
,新川（木津川合流）,,,,,左岸,3.8,34.73279646,135.8782642,,,
,新川（木津川合流）,,,,,右岸,3.8,34.73306887,135.878062,,,
,新川（木津川合流）,,,,,左岸,3.9,34.73273259,135.8791383,,,
,新川（木津川合流）,,,,,右岸,3.9,34.73304686,135.8792526,,,
,新川（木津川合流）,,,,,左岸,4,34.73194632,135.8793459,,,
,新川（木津川合流）,,,,,右岸,4,34.73232086,135.8798186,,,
,新川（木津川合流）,,,,,左岸,4.1,34.73159484,135.8804529,,,
,新川（木津川合流）,,,,,右岸,4.1,34.73187067,135.8806285,,,
,新川（木津川合流）,,,,,左岸,4.2,34.73120724,135.8811499,,,
,新川（木津川合流）,,,,,右岸,4.2,34.73125691,135.8814964,,,
,新川（木津川合流）,,,,,左岸,4.3,34.73042378,135.8809393,,,
,新川（木津川合流）,,,,,右岸,4.3,34.73026752,135.8815666,,,
,新川（木津川合流）,,,,,左岸,4.4,34.72973006,135.880438,,,
,新川（木津川合流）,,,,,右岸,4.4,34.7294217,135.8809763,,,
,新川（木津川合流）,,,,,左岸,4.5,34.72874886,135.8803901,,,
