水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,日光寺川,,,,,左岸,0,35.33125271,136.3057907,,,
,日光寺川,,,,,右岸,0,35.33166821,136.3060038,,,
,日光寺川,,,,,左岸,0.1,35.33088184,136.3067911,,,
,日光寺川,,,,,右岸,0.1,35.33129617,136.3070076,,,
,日光寺川,,,,,左岸,0.2,35.3305438,136.3078425,,,
,日光寺川,,,,,右岸,0.2,35.33097515,136.308002,,,
,日光寺川,,,,,左岸,0.3,35.33030635,136.3089454,,,
,日光寺川,,,,,右岸,0.3,35.3307526,136.3090225,,,
,日光寺川,,,,,左岸,0.4,35.33031045,136.3100034,,,
,日光寺川,,,,,右岸,0.4,35.33075785,136.3099368,,,
,日光寺川,,,,,左岸,0.5,35.33054629,136.3112192,,,
,日光寺川,,,,,右岸,0.5,35.3309809,136.3110735,,,
,日光寺川,,,,,左岸,0.6,35.33089412,136.3123222,,,
,日光寺川,,,,,右岸,0.6,35.33126875,136.3120165,,,
,日光寺川,,,,,左岸,0.7,35.33144594,136.3131636,,,
,日光寺川,,,,,右岸,0.7,35.33178644,136.3128032,,,
,日光寺川,,,,,左岸,0.8,35.33212531,136.3140198,,,
,日光寺川,,,,,右岸,0.8,35.33242213,136.313606,,,
,日光寺川,,,,,左岸,0.9,35.33310222,136.3143454,,,
,日光寺川,,,,,右岸,0.9,35.33317419,136.3138024,,,
,日光寺川,,,,,左岸,1,35.33399206,136.3145211,,,
,日光寺川,,,,,右岸,1,35.33406404,136.3139781,,,
,日光寺川,,,,,左岸,1.1,35.33488191,136.3146967,,,
,日光寺川,,,,,右岸,1.1,35.33495389,136.3141538,,,
,日光寺川,,,,,左岸,1.2,35.33577176,136.3148724,,,
,日光寺川,,,,,右岸,1.2,35.33584373,136.3143294,,,
,日光寺川,,,,,左岸,1.3,35.33592056,136.3154494,,,
,日光寺川,,,,,右岸,1.3,35.33637095,136.3154287,,,
,日光寺川,,,,,左岸,1.4,35.33604539,136.3166262,,,
,日光寺川,,,,,右岸,1.4,35.33646532,136.3164265,,,
,日光寺川,,,,,左岸,1.5,35.33660099,136.3176645,,,
,日光寺川,,,,,右岸,1.5,35.33686559,136.3172192,,,
,日光寺川,,,,,左岸,1.6,35.33744502,136.3181932,,,
,日光寺川,,,,,右岸,1.6,35.33759203,136.3176733,,,
