水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,旧淀川,,,,,左岸,0,34.65450262,135.4291874,,,
,旧淀川,,,,,右岸,0,34.659014,135.425625,,,
,旧淀川,,,,,左岸,0.1,34.65527365,135.4298813,,,
,旧淀川,,,,,右岸,0.1,34.65919994,135.4267809,,,
,旧淀川,,,,,左岸,0.2,34.65581087,135.4307597,,,
,旧淀川,,,,,右岸,0.2,34.65970366,135.4276858,,,
,旧淀川,,,,,左岸,0.3,34.65639881,135.4316136,,,
,旧淀川,,,,,右岸,0.3,34.66012738,135.4286373,,,
,旧淀川,,,,,左岸,0.4,34.65689851,135.4325217,,,
,旧淀川,,,,,右岸,0.4,34.66058646,135.4295778,,,
,旧淀川,,,,,左岸,0.5,34.65721663,135.4323407,,,
,旧淀川,,,,,右岸,0.5,34.66096648,135.4318827,,,
,旧淀川,,,,,左岸,0.6,34.65769556,135.4334451,,,
,旧淀川,,,,,右岸,0.6,34.66124408,135.4328349,,,
,旧淀川,,,,,左岸,0.7,34.65613199,135.4348159,,,
,旧淀川,,,,,右岸,0.7,34.66156732,135.4338813,,,
,旧淀川,,,,,左岸,0.8,34.65692943,135.4380352,,,
,旧淀川,,,,,右岸,0.8,34.66218281,135.4349129,,,
,旧淀川,,,,,左岸,0.9,34.65824151,135.439265,,,
,旧淀川,,,,,右岸,0.9,34.66228711,135.4352851,,,
,旧淀川,,,,,左岸,1,34.65958067,135.4398297,,,
,旧淀川,,,,,右岸,1,34.66265839,135.4357204,,,
,旧淀川,,,,,左岸,1.1,34.66015875,135.4405465,,,
,旧淀川,,,,,右岸,1.1,34.66337371,135.4365514,,,
,旧淀川,,,,,左岸,1.2,34.66051451,135.4416681,,,
,旧淀川,,,,,右岸,1.2,34.66407705,135.4372412,,,
,旧淀川,,,,,左岸,1.3,34.66061861,135.4436947,,,
,旧淀川,,,,,右岸,1.3,34.66491896,135.4372449,,,
,旧淀川,,,,,左岸,1.4,34.66114768,135.4446385,,,
,旧淀川,,,,,右岸,1.4,34.66593778,135.4374542,,,
,旧淀川,,,,,左岸,1.5,34.66244443,135.4450085,,,
,旧淀川,,,,,右岸,1.5,34.66644519,135.4377869,,,
,旧淀川,,,,,左岸,1.6,34.6632932,135.4454356,,,
,旧淀川,,,,,右岸,1.6,34.66683231,135.4390474,,,
,旧淀川,,,,,左岸,1.7,34.66418314,135.4457884,,,
,旧淀川,,,,,右岸,1.7,34.66747936,135.4398387,,,
,旧淀川,,,,,左岸,1.8,34.66491691,135.4464231,,,
,旧淀川,,,,,右岸,1.8,34.66820669,135.440485,,,
,旧淀川,,,,,左岸,1.9,34.66567313,135.4470173,,,
,旧淀川,,,,,右岸,1.9,34.66900138,135.4410097,,,
,旧淀川,,,,,左岸,2,34.66644534,135.4475826,,,
,旧淀川,,,,,右岸,2,34.66975695,135.4416051,,,
,旧淀川,,,,,左岸,2.1,34.66697056,135.4482985,,,
,旧淀川,,,,,右岸,2.1,34.67066875,135.4422088,,,
,旧淀川,,,,,左岸,2.2,34.6676294,135.4490559,,,
,旧淀川,,,,,右岸,2.2,34.67134903,135.442931,,,
,旧淀川,,,,,左岸,2.3,34.66817019,135.4501175,,,
,旧淀川,,,,,右岸,2.3,34.67216201,135.4433374,,,
,旧淀川,,,,,左岸,2.4,34.66856195,135.4513937,,,
,旧淀川,,,,,右岸,2.4,34.67289406,135.4439276,,,
,旧淀川,,,,,左岸,2.5,34.66870465,135.4512195,,,
,旧淀川,,,,,右岸,2.5,34.67375665,135.4455383,,,
,旧淀川,,,,,左岸,2.6,34.66890199,135.4524869,,,
,旧淀川,,,,,右岸,2.6,34.6742253,135.4465007,,,
,旧淀川,,,,,左岸,2.7,34.67117703,135.4511871,,,
,旧淀川,,,,,右岸,2.7,34.6749938,135.4479779,,,
,旧淀川,,,,,左岸,2.8,34.67142205,135.4515794,,,
,旧淀川,,,,,右岸,2.8,34.67535117,135.4492057,,,
,旧淀川,,,,,左岸,2.9,34.67200283,135.4524481,,,
,旧淀川,,,,,右岸,2.9,34.67565164,135.4502438,,,
,旧淀川,,,,,左岸,3,34.6722046,135.4533412,,,
,旧淀川,,,,,右岸,3,34.67599708,135.4514447,,,
,旧淀川,,,,,左岸,3.1,34.67243002,135.4544091,,,
,旧淀川,,,,,右岸,3.1,34.6763719,135.4524379,,,
,旧淀川,,,,,左岸,3.2,34.67285222,135.4553855,,,
,旧淀川,,,,,右岸,3.2,34.67671454,135.4534409,,,
,旧淀川,,,,,左岸,3.3,34.67333931,135.4564417,,,
,旧淀川,,,,,右岸,3.3,34.6770179,135.4543536,,,
,旧淀川,,,,,左岸,3.4,34.6746679,135.4568248,,,
,旧淀川,,,,,右岸,3.4,34.67621559,135.4560598,,,
,旧淀川,,,,,左岸,3.5,34.67504906,135.4578151,,,
,旧淀川,,,,,右岸,3.5,34.67662533,135.457036,,,
,旧淀川,,,,,左岸,3.6,34.67539538,135.458844,,,
,旧淀川,,,,,右岸,3.6,34.67700771,135.458008,,,
,旧淀川,,,,,左岸,3.7,34.675395,135.4600314,,,
,旧淀川,,,,,右岸,3.7,34.67757729,135.4588998,,,
,旧淀川,,,,,左岸,3.8,34.67589283,135.4609109,,,
,旧淀川,,,,,右岸,3.8,34.67792566,135.4599493,,,
,旧淀川,,,,,左岸,3.9,34.67603652,135.4620145,,,
,旧淀川,,,,,右岸,3.9,34.67855551,135.460823,,,
,旧淀川,,,,,左岸,4,34.67636199,135.4630286,,,
,旧淀川,,,,,右岸,4,34.67888299,135.4618433,,,
,旧淀川,,,,,左岸,4.1,34.67670532,135.4640819,,,
,旧淀川,,,,,右岸,4.1,34.67920091,135.4628202,,,
,旧淀川,,,,,左岸,4.2,34.67705273,135.4650888,,,
,旧淀川,,,,,右岸,4.2,34.67954832,135.4638272,,,
,旧淀川,,,,,左岸,4.3,34.67740012,135.4660958,,,
,旧淀川,,,,,右岸,4.3,34.67989573,135.4648342,,,
,旧淀川,,,,,左岸,4.4,34.67773103,135.4670858,,,
,旧淀川,,,,,右岸,4.4,34.68024123,135.4658673,,,
,旧淀川,,,,,左岸,4.5,34.67806654,135.4680986,,,
,旧淀川,,,,,右岸,4.5,34.68057675,135.4668802,,,
,旧淀川,,,,,左岸,4.6,34.67840204,135.4691115,,,
,旧淀川,,,,,右岸,4.6,34.68091226,135.4678931,,,
,旧淀川,,,,,左岸,4.7,34.67872148,135.4700898,,,
,旧淀川,,,,,右岸,4.7,34.6812551,135.4689446,,,
,旧淀川,,,,,左岸,4.8,34.67903682,135.4711121,,,
,旧淀川,,,,,右岸,4.8,34.68157045,135.469967,,,
,旧淀川,,,,,左岸,4.9,34.67924026,135.4716899,,,
,旧淀川,,,,,右岸,4.9,34.68193777,135.471455,,,
,旧淀川,,,,,左岸,5,34.6794579,135.4732413,,,
,旧淀川,,,,,右岸,5,34.681977,135.47205,,,
,旧淀川,,,,,左岸,5.1,34.67980887,135.4742867,,,
,旧淀川,,,,,右岸,5.1,34.68230491,135.4730264,,,
,旧淀川,,,,,左岸,5.2,34.68015592,135.4752939,,,
,旧淀川,,,,,右岸,5.2,34.68265197,135.4740336,,,
,旧淀川,,,,,左岸,5.3,34.68050295,135.4763011,,,
,旧淀川,,,,,右岸,5.3,34.68299902,135.4750408,,,
,旧淀川,,,,,左岸,5.4,34.68084998,135.4773083,,,
,旧淀川,,,,,右岸,5.4,34.68334606,135.476048,,,
,旧淀川,,,,,左岸,5.5,34.681197,135.4783155,,,
,旧淀川,,,,,右岸,5.5,34.68369309,135.4770552,,,
