水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,昆陽川,,,,,左岸,0,34.73933521,135.4158877,,,
,昆陽川,,,,,右岸,0,34.73951372,135.4152692,,,
,昆陽川,,,,,左岸,0.1,34.73988782,135.4163793,,,
,昆陽川,,,,,右岸,0.1,34.74035129,135.4160415,,,
,昆陽川,,,,,左岸,0.2,34.74018979,135.4173337,,,
,昆陽川,,,,,右岸,0.2,34.74069979,135.4171155,,,
,昆陽川,,,,,左岸,0.3,34.74048678,135.418363,,,
,昆陽川,,,,,右岸,0.3,34.74099774,135.418148,,,
,昆陽川,,,,,左岸,0.4,34.74082991,135.4194006,,,
,昆陽川,,,,,右岸,0.4,34.74132515,135.4191371,,,
,昆陽川,,,,,左岸,0.5,34.74121004,135.4204035,,,
,昆陽川,,,,,右岸,0.5,34.74169719,135.4201188,,,
,昆陽川,,,,,左岸,0.6,34.74143853,135.4213689,,,
,昆陽川,,,,,右岸,0.6,34.7419691,135.4212415,,,
,昆陽川,,,,,左岸,0.7,34.74149815,135.4223941,,,
,昆陽川,,,,,右岸,0.7,34.74203902,135.4223886,,,
,昆陽川,,,,,左岸,0.8,34.74217792,135.4234359,,,
,昆陽川,,,,,右岸,0.8,34.74260569,135.4230348,,,
,昆陽川,,,,,左岸,0.9,34.74240365,135.4242113,,,
,昆陽川,,,,,右岸,0.9,34.74293367,135.4240806,,,
,昆陽川,,,,,左岸,1,34.7425608,135.4252632,,,
,昆陽川,,,,,右岸,1,34.743097,135.425177,,,
,昆陽川,,,,,左岸,1.1,34.74279538,135.4261992,,,
,昆陽川,,,,,右岸,1.1,34.74315908,135.4257141,,,
,昆陽川,,,,,左岸,1.2,34.74412769,135.4264634,,,
,昆陽川,,,,,右岸,1.2,34.74407947,135.4258108,,,
,昆陽川,,,,,左岸,1.3,34.74503886,135.426348,,,
,昆陽川,,,,,右岸,1.3,34.74496099,135.4256995,,,
,昆陽川,,,,,左岸,1.4,34.74593106,135.4261781,,,
,昆陽川,,,,,右岸,1.4,34.74584961,135.4255303,,,
,昆陽川,,,,,左岸,1.5,34.74682226,135.4260136,,,
,昆陽川,,,,,右岸,1.5,34.74674081,135.4253658,,,
,昆陽川,,,,,左岸,1.6,34.74772092,135.4258328,,,
,昆陽川,,,,,右岸,1.6,34.74762049,135.4251889,,,
,昆陽川,,,,,左岸,1.7,34.74884628,135.4252791,,,
,昆陽川,,,,,右岸,1.7,34.74847724,135.4248001,,,
,昆陽川,,,,,左岸,1.8,34.74934116,135.4247698,,,
,昆陽川,,,,,右岸,1.8,34.74908269,135.4241942,,,
,昆陽川,,,,,左岸,1.9,34.75009761,135.4248458,,,
,昆陽川,,,,,右岸,1.9,34.75012602,135.4241914,,,
,昆陽川,,,,,左岸,2,34.75074214,135.4240447,,,
,昆陽川,,,,,右岸,2,34.7502692,135.4237267,,,
,昆陽川,,,,,左岸,2.1,34.7513973,135.4241562,,,
,昆陽川,,,,,右岸,2.1,34.7513962,135.4235009,,,
,昆陽川,,,,,左岸,2.2,34.75229355,135.4241598,,,
,昆陽川,,,,,右岸,2.2,34.75230283,135.4235046,,,
,昆陽川,,,,,左岸,2.3,34.75308545,135.4240655,,,
,昆陽川,,,,,右岸,2.3,34.7529377,135.4234351,,,
,昆陽川,,,,,左岸,2.4,34.7540153,135.423585,,,
,昆陽川,,,,,右岸,2.4,34.75385631,135.4229586,,,
,昆陽川,,,,,左岸,2.5,34.7546743,135.4231953,,,
,昆陽川,,,,,右岸,2.5,34.75433124,135.4226886,,,
,昆陽川,,,,,左岸,2.6,34.75544301,135.4219861,,,
,昆陽川,,,,,右岸,2.6,34.75493192,135.4222006,,,
,昆陽川,,,,,左岸,2.7,34.75551145,135.4210734,,,
,昆陽川,,,,,右岸,2.7,34.75497652,135.4209764,,,
,昆陽川,,,,,左岸,2.8,34.75591082,135.4204972,,,
,昆陽川,,,,,右岸,2.8,34.7554505,135.4201531,,,
,昆陽川,,,,,左岸,2.9,34.75640698,135.4195457,,,
,昆陽川,,,,,右岸,2.9,34.75601191,135.4190981,,,
,昆陽川,,,,,左岸,3,34.75711006,135.4187828,,,
,昆陽川,,,,,右岸,3,34.756573,135.418705,,,
