水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,最明寺川,,,,,左岸,0,34.81594057,135.4147429,,,
,最明寺川,,,,,右岸,0,34.81523514,135.4142506,,,
,最明寺川,,,,,左岸,0.1,34.81608097,135.4134195,,,
,最明寺川,,,,,右岸,0.1,34.81545154,135.4134239,,,
,最明寺川,,,,,左岸,0.2,34.81604199,135.4123967,,,
,最明寺川,,,,,右岸,0.2,34.81551137,135.4122695,,,
,最明寺川,,,,,左岸,0.3,34.8163289,135.4115451,,,
,最明寺川,,,,,右岸,0.3,34.81591443,135.4111237,,,
,最明寺川,,,,,左岸,0.4,34.81692131,135.410958,,,
,最明寺川,,,,,右岸,0.4,34.81670849,135.4103551,,,
,最明寺川,,,,,左岸,0.5,34.81768224,135.4107901,,,
,最明寺川,,,,,右岸,0.5,34.81770206,135.4101347,,,
,最明寺川,,,,,左岸,0.6,34.81875601,135.4109401,,,
,最明寺川,,,,,右岸,0.6,34.81877362,135.4102846,,,
,最明寺川,,,,,左岸,0.7,34.81952625,135.4109082,,,
,最明寺川,,,,,右岸,0.7,34.81944287,135.4102602,,,
,最明寺川,,,,,左岸,0.8,34.82044694,135.4106552,,,
,最明寺川,,,,,右岸,0.8,34.82027768,135.4100323,,,
,最明寺川,,,,,左岸,0.9,34.82157201,135.4101637,,,
,最明寺川,,,,,右岸,0.9,34.82135603,135.4095624,,,
,最明寺川,,,,,左岸,1,34.82233145,135.4096776,,,
,最明寺川,,,,,右岸,1,34.82202878,135.409134,,,
,最明寺川,,,,,左岸,1.1,34.82289738,135.409395,,,
,最明寺川,,,,,右岸,1.1,34.82278496,135.4087534,,,
,最明寺川,,,,,左岸,1.2,34.82383841,135.4087013,,,
,最明寺川,,,,,右岸,1.2,34.82333742,135.4084541,,,
,最明寺川,,,,,左岸,1.3,34.8235917,135.4073864,,,
,最明寺川,,,,,右岸,1.3,34.82311417,135.4076944,,,
,最明寺川,,,,,左岸,1.4,34.82307062,135.4064218,,,
,最明寺川,,,,,右岸,1.4,34.82265129,135.4068361,,,
,最明寺川,,,,,左岸,1.5,34.8225655,135.4055955,,,
,最明寺川,,,,,右岸,1.5,34.82209079,135.4059099,,,
,最明寺川,,,,,左岸,1.6,34.82227168,135.4046617,,,
,最明寺川,,,,,右岸,1.6,34.82174501,135.4048111,,,
,最明寺川,,,,,左岸,1.7,34.82200624,135.4036237,,,
,最明寺川,,,,,右岸,1.7,34.82147788,135.403764,,,
,最明寺川,,,,,左岸,1.8,34.82172928,135.4025728,,,
,最明寺川,,,,,右岸,1.8,34.82120534,135.4027356,,,
,最明寺川,,,,,左岸,1.9,34.82182517,135.4016567,,,
,最明寺川,,,,,右岸,1.9,34.82129267,135.4015417,,,
,最明寺川,,,,,左岸,2,34.82182715,135.400473,,,
,最明寺川,,,,,右岸,2,34.82129007,135.4005506,,,
,最明寺川,,,,,左岸,2.1,34.82152097,135.3993355,,,
,最明寺川,,,,,右岸,2.1,34.82103296,135.3996183,,,
,最明寺川,,,,,左岸,2.2,34.82090821,135.3983711,,,
,最明寺川,,,,,右岸,2.2,34.8205619,135.3988749,,,
,最明寺川,,,,,左岸,2.3,34.82048966,135.3976524,,,
,最明寺川,,,,,右岸,2.3,34.81997102,135.3978385,,,
,最明寺川,,,,,左岸,2.4,34.82039658,135.3965523,,,
,最明寺川,,,,,右岸,2.4,34.81989019,135.3967827,,,
,最明寺川,,,,,左岸,2.5,34.82029551,135.3957081,,,
,最明寺川,,,,,右岸,2.5,34.81977652,135.3955234,,,
,最明寺川,,,,,左岸,2.6,34.82033058,135.3944768,,,
,最明寺川,,,,,右岸,2.6,34.81980085,135.3946093,,,
,最明寺川,,,,,左岸,2.7,34.82037506,135.3936923,,,
,最明寺川,,,,,右岸,2.7,34.8199285,135.3933223,,,
,最明寺川,,,,,左岸,2.8,34.82090263,135.3927279,,,
,最明寺川,,,,,右岸,2.8,34.8204005,135.3924841,,,
,最明寺川,,,,,左岸,2.9,34.82101871,135.3915269,,,
,最明寺川,,,,,右岸,2.9,34.82047784,135.3915309,,,
,最明寺川,,,,,左岸,3,34.82125704,135.3906926,,,
,最明寺川,,,,,右岸,3,34.82079607,135.3903495,,,
,最明寺川,,,,,左岸,3.1,34.82175995,135.3898023,,,
,最明寺川,,,,,右岸,3.1,34.82131031,135.3894378,,,
,最明寺川,,,,,左岸,3.2,34.82159464,135.3882701,,,
,最明寺川,,,,,右岸,3.2,34.8210988,135.3885322,,,
,最明寺川,,,,,左岸,3.3,34.82173669,135.3879532,,,
,最明寺川,,,,,右岸,3.3,34.82138219,135.3874578,,,
,最明寺川,,,,,左岸,3.4,34.82240157,135.3871543,,,
,最明寺川,,,,,右岸,3.4,34.82199628,135.38672,,,
,最明寺川,,,,,左岸,3.5,34.8227966,135.3866336,,,
,最明寺川,,,,,右岸,3.5,34.82289303,135.3859882,,,
,最明寺川,,,,,左岸,3.6,34.82372401,135.3869375,,,
,最明寺川,,,,,右岸,3.6,34.82362071,135.3862936,,,
