水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,木野川,,,,,左岸,0,34.9466332,135.4485975,,,
,木野川,,,,,右岸,0,34.94707082,135.4482114,,,
,木野川,,,,,左岸,0.1,34.94752889,135.4492032,,,
,木野川,,,,,右岸,0.1,34.94770085,135.4485804,,,
,木野川,,,,,左岸,0.2,34.94792721,135.4497184,,,
,木野川,,,,,右岸,0.2,34.94845494,135.4495745,,,
,木野川,,,,,左岸,0.3,34.94801519,135.4508532,,,
,木野川,,,,,右岸,0.3,34.94850635,135.450578,,,
,木野川,,,,,左岸,0.4,34.94875135,135.4517118,,,
,木野川,,,,,右岸,0.4,34.94907964,135.4511898,,,
,木野川,,,,,左岸,0.5,34.94948769,135.4523562,,,
,木野川,,,,,右岸,0.5,34.94980615,135.4518252,,,
,木野川,,,,,左岸,0.6,34.95021982,135.4530001,,,
,木野川,,,,,右岸,0.6,34.95053421,135.4524656,,,
,木野川,,,,,左岸,0.7,34.95095074,135.4536363,,,
,木野川,,,,,右岸,0.7,34.95126869,135.4531049,,,
,木野川,,,,,左岸,0.8,34.95168092,135.4542799,,,
,木野川,,,,,右岸,0.8,34.9519977,135.4537474,,,
,木野川,,,,,左岸,0.9,34.9524512,135.4549313,,,
,木野川,,,,,右岸,0.9,34.952704,135.4543506,,,
,木野川,,,,,左岸,1,34.95334491,135.4553344,,,
,木野川,,,,,右岸,1,34.95349599,135.4547037,,,
,木野川,,,,,左岸,1.1,34.9542096,135.45564,,,
,木野川,,,,,右岸,1.1,34.95436242,135.4550099,,,
,木野川,,,,,左岸,1.2,34.95507183,135.4559512,,,
,木野川,,,,,右岸,1.2,34.95522842,135.4553223,,,
,木野川,,,,,左岸,1.3,34.95584851,135.4563344,,,
,木野川,,,,,右岸,1.3,34.9561143,135.4557623,,,
,木野川,,,,,左岸,1.4,34.95647008,135.4569904,,,
,木野川,,,,,右岸,1.4,34.95685302,135.4565265,,,
,木野川,,,,,左岸,1.5,34.95709842,135.4577659,,,
,木野川,,,,,右岸,1.5,34.95748925,135.4573117,,,
,木野川,,,,,左岸,1.6,34.95772769,135.4585561,,,
,木野川,,,,,右岸,1.6,34.95811336,135.4580955,,,
,木野川,,,,,左岸,1.7,34.95835046,135.4593391,,,
,木野川,,,,,右岸,1.7,34.95874325,135.4588874,,,
,木野川,,,,,左岸,1.8,34.95906132,135.459718,,,
,木野川,,,,,右岸,1.8,34.95958236,135.4595417,,,
