水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,杉川,,,,,左岸,0,35.04750194,136.2784932,,,
,杉川,,,,,右岸,0,35.04760094,136.2779585,,,
,杉川,,,,,左岸,0.1,35.04790694,136.2790163,,,
,杉川,,,,,右岸,0.1,35.04834999,136.2789156,,,
,杉川,,,,,左岸,0.2,35.04835189,136.2800992,,,
,杉川,,,,,右岸,0.2,35.04865207,136.2796903,,,
,杉川,,,,,左岸,0.3,35.04876181,136.280844,,,
,杉川,,,,,右岸,0.3,35.04920567,136.2807487,,,
,杉川,,,,,左岸,0.4,35.04911341,136.2818266,,,
,杉川,,,,,右岸,0.4,35.04955412,136.2817117,,,
,杉川,,,,,左岸,0.5,35.04940449,136.2829251,,,
,杉川,,,,,右岸,0.5,35.04981427,136.2826968,,,
,杉川,,,,,左岸,0.6,35.04958835,136.2840137,,,
,杉川,,,,,右岸,0.6,35.04986693,136.2835828,,,
,杉川,,,,,左岸,0.7,35.04962956,136.284764,,,
,杉川,,,,,右岸,0.7,35.05007925,136.2848013,,,
,杉川,,,,,左岸,0.8,35.04962686,136.2858555,,,
,杉川,,,,,右岸,0.8,35.05006818,136.2857441,,,
,杉川,,,,,左岸,0.9,35.05029157,136.2865895,,,
,杉川,,,,,右岸,0.9,35.05020719,136.2860511,,,
,杉川,,,,,左岸,1,35.05112582,136.287006,,,
,杉川,,,,,右岸,1,35.0511683,136.2864603,,,
,杉川,,,,,左岸,1.1,35.05200846,136.2873944,,,
,杉川,,,,,右岸,1.1,35.05228795,136.2869644,,,
,杉川,,,,,左岸,1.2,35.05234962,136.2880406,,,
,杉川,,,,,右岸,1.2,35.0527401,136.2877669,,,
,杉川,,,,,左岸,1.3,35.05248417,136.2890136,,,
,杉川,,,,,右岸,1.3,35.0529313,136.2889445,,,
