水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,東川,,,,,左岸,0,35.43067968,136.2636749,,,
,東川,,,,,右岸,0,35.43114418,136.2633364,,,
,東川,,,,,左岸,0.1,35.43081229,136.2645605,,,
,東川,,,,,右岸,0.1,35.43135304,136.2645726,,,
,東川,,,,,左岸,0.2,35.43070222,136.2655677,,,
,東川,,,,,右岸,0.2,35.43122416,136.2657409,,,
,東川,,,,,左岸,0.3,35.43042675,136.2665483,,,
,東川,,,,,右岸,0.3,35.43091277,136.2668382,,,
,東川,,,,,左岸,0.4,35.42986602,136.267184,,,
,東川,,,,,右岸,0.4,35.43018394,136.2677186,,,
,東川,,,,,左岸,0.5,35.42917513,136.2680764,,,
,東川,,,,,右岸,0.5,35.42964398,136.2684058,,,
,東川,,,,,左岸,0.6,35.42912586,136.2693747,,,
,東川,,,,,右岸,0.6,35.42965958,136.2692678,,,
,東川,,,,,左岸,0.7,35.4290914,136.2703097,,,
,東川,,,,,右岸,0.7,35.4296075,136.2705073,,,
,東川,,,,,左岸,0.8,35.42870153,136.2712231,,,
,東川,,,,,右岸,0.8,35.42917283,136.2715472,,,
,東川,,,,,左岸,0.9,35.42826484,136.2718644,,,
,東川,,,,,右岸,0.9,35.4284425,136.2724885,,,
,東川,,,,,左岸,1,35.4274166,136.2721689,,,
,東川,,,,,右岸,1,35.42756184,136.2728054,,,
,東川,,,,,左岸,1.1,35.42647876,136.2725595,,,
,東川,,,,,右岸,1.1,35.42679566,136.273095,,,
,東川,,,,,左岸,1.2,35.42612392,136.2738852,,,
,東川,,,,,右岸,1.2,35.4266479,136.2737215,,,
,東川,,,,,左岸,1.3,35.42634726,136.2749522,,,
,東川,,,,,右岸,1.3,35.42687124,136.2747885,,,
,東川,,,,,左岸,1.4,35.42658357,136.2760209,,,
,東川,,,,,右岸,1.4,35.42710511,136.275846,,,
,東川,,,,,左岸,1.5,35.42678557,136.2770613,,,
,東川,,,,,右岸,1.5,35.42731825,136.276947,,,
,東川,,,,,左岸,1.6,35.42705275,136.2783761,,,
,東川,,,,,右岸,1.6,35.42757276,136.2781945,,,
,東川,,,,,左岸,1.7,35.42724627,136.2792217,,,
,東川,,,,,右岸,1.7,35.42776761,136.2790459,,,
,東川,,,,,左岸,1.8,35.42748611,136.2802833,,,
,東川,,,,,右岸,1.8,35.42800745,136.2801075,,,
,東川,,,,,左岸,1.9,35.42772593,136.2813449,,,
,東川,,,,,右岸,1.9,35.42824728,136.2811691,,,
,東川,,,,,左岸,2,35.42796525,136.2824058,,,
,東川,,,,,右岸,2,35.42848694,136.2822315,,,
,東川,,,,,左岸,2.1,35.42820299,136.2834681,,,
,東川,,,,,右岸,2.1,35.42872469,136.2832938,,,
,東川,,,,,左岸,2.2,35.42844073,136.2845304,,,
,東川,,,,,右岸,2.2,35.42896242,136.2843562,,,
,東川,,,,,左岸,2.3,35.42867834,136.2855924,,,
,東川,,,,,右岸,2.3,35.42920018,136.2854188,,,
,東川,,,,,左岸,2.4,35.42891519,136.2866551,,,
,東川,,,,,右岸,2.4,35.42943703,136.2864814,,,
,東川,,,,,左岸,2.5,35.42915204,136.2877177,,,
,東川,,,,,右岸,2.5,35.42967387,136.2875441,,,
,東川,,,,,左岸,2.6,35.42938887,136.2887803,,,
,東川,,,,,右岸,2.6,35.42991071,136.2886067,,,
