水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,東檜尾川,,,,,左岸,0,34.87174234,135.6256544,,,
,東檜尾川,,,,,右岸,0,34.87195155,135.625298,,,
,東檜尾川,,,,,左岸,0.1,34.8727148,135.6260008,,,
,東檜尾川,,,,,右岸,0.1,34.87266325,135.6255678,,,
,東檜尾川,,,,,左岸,0.2,34.87352834,135.6257348,,,
,東檜尾川,,,,,右岸,0.2,34.87356682,135.6252997,,,
,東檜尾川,,,,,左岸,0.3,34.87440326,135.6252677,,,
,東檜尾川,,,,,右岸,0.3,34.87421462,135.6248948,,,
,東檜尾川,,,,,左岸,0.4,34.87504756,135.6255365,,,
,東檜尾川,,,,,右岸,0.4,34.87526284,135.6251855,,,
,東檜尾川,,,,,左岸,0.5,34.87596797,135.6259601,,,
,東檜尾川,,,,,右岸,0.5,34.87596124,135.6255226,,,
,東檜尾川,,,,,左岸,0.6,34.87682804,135.6256486,,,
,東檜尾川,,,,,右岸,0.6,34.87681976,135.6252112,,,
,東檜尾川,,,,,左岸,0.7,34.87747743,135.6260671,,,
,東檜尾川,,,,,右岸,0.7,34.87770275,135.6257255,,,
