水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,東高倉川,,,,,左岸,0,34.78017267,136.1018601,,,
,東高倉川,,,,,右岸,0,34.78006107,136.1011073,,,
,東高倉川,,,,,左岸,0.1,34.78105634,136.1016871,,,
,東高倉川,,,,,右岸,0.1,34.78095727,136.1009317,,,
,東高倉川,,,,,左岸,0.2,34.78189282,136.1016016,,,
,東高倉川,,,,,右岸,0.2,34.78191257,136.1008371,,,
,東高倉川,,,,,左岸,0.3,34.78248091,136.1016199,,,
,東高倉川,,,,,右岸,0.3,34.78303963,136.1012643,,,
,東高倉川,,,,,左岸,0.4,34.78254568,136.1024823,,,
,東高倉川,,,,,右岸,0.4,34.78317482,136.1025417,,,
,東高倉川,,,,,左岸,0.5,34.78227596,136.1032726,,,
,東高倉川,,,,,右岸,0.5,34.78277086,136.1037472,,,
,東高倉川,,,,,左岸,0.6,34.78157971,136.1039742,,,
,東高倉川,,,,,右岸,0.6,34.78209175,136.1044212,,,
,東高倉川,,,,,左岸,0.7,34.78176199,136.1055331,,,
,東高倉川,,,,,右岸,0.7,34.78219985,136.1049823,,,
,東高倉川,,,,,左岸,0.8,34.78253163,136.1059598,,,
,東高倉川,,,,,右岸,0.8,34.78290778,136.1053456,,,
,東高倉川,,,,,左岸,0.9,34.78301641,136.1066847,,,
,東高倉川,,,,,右岸,0.9,34.78355717,136.1062905,,,
,東高倉川,,,,,左岸,1,34.78338072,136.107599,,,
,東高倉川,,,,,右岸,1,34.78397504,136.1073418,,,
,東高倉川,,,,,左岸,1.1,34.7835603,136.1085683,,,
,東高倉川,,,,,右岸,1.1,34.78418863,136.1084974,,,
,東高倉川,,,,,左岸,1.2,34.7839078,136.1098593,,,
,東高倉川,,,,,右岸,1.2,34.78428698,136.1092479,,,
,東高倉川,,,,,左岸,1.3,34.785012,136.1100423,,,
,東高倉川,,,,,右岸,1.3,34.78493833,136.1092826,,,
,東高倉川,,,,,左岸,1.4,34.78590292,136.1099259,,,
,東高倉川,,,,,右岸,1.4,34.78583997,136.1091648,,,
,東高倉川,,,,,左岸,1.5,34.78661306,136.1099401,,,
,東高倉川,,,,,右岸,1.5,34.78690135,136.1092597,,,
,東高倉川,,,,,左岸,1.6,34.78740564,136.1104868,,,
,東高倉川,,,,,右岸,1.6,34.78749315,136.1097293,,,
