水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,柿田川,,,,,左岸,0,34.9509096,136.1520175,,,
,柿田川,,,,,右岸,0,34.95126599,136.1523527,,,
,柿田川,,,,,左岸,0.1,34.95035769,136.1528832,,,
,柿田川,,,,,右岸,0.1,34.95071408,136.1532184,,,
,柿田川,,,,,左岸,0.2,34.95068634,136.1540623,,,
,柿田川,,,,,右岸,0.2,34.95100241,136.153672,,,
,柿田川,,,,,左岸,0.3,34.95098802,136.154683,,,
,柿田川,,,,,右岸,0.3,34.95142019,136.1548385,,,
,柿田川,,,,,左岸,0.4,34.95078319,136.1555229,,,
,柿田川,,,,,右岸,0.4,34.95121537,136.1556783,,,
,柿田川,,,,,左岸,0.5,34.95084294,136.1566043,,,
,柿田川,,,,,右岸,0.5,34.95124103,136.1568611,,,
,柿田川,,,,,左岸,0.6,34.95041663,136.1576053,,,
,柿田川,,,,,右岸,0.6,34.95083707,136.1578026,,,
,柿田川,,,,,左岸,0.7,34.95004323,136.1585276,,,
,柿田川,,,,,右岸,0.7,34.95042054,136.1588271,,,
,柿田川,,,,,左岸,0.8,34.949544,136.1594307,,,
,柿田川,,,,,右岸,0.8,34.94991481,136.1597419,,,
,柿田川,,,,,左岸,0.9,34.94903227,136.1603295,,,
,柿田川,,,,,右岸,0.9,34.94940112,136.1606441,,,
,柿田川,,,,,左岸,1,34.94851839,136.1612643,,,
,柿田川,,,,,右岸,1,34.94891418,136.1615262,,,
,柿田川,,,,,左岸,1.1,34.94793436,136.1618663,,,
,柿田川,,,,,右岸,1.1,34.94816851,136.1623341,,,
,柿田川,,,,,左岸,1.2,34.94715591,136.1624399,,,
,柿田川,,,,,右岸,1.2,34.94740532,136.1628959,,,
,柿田川,,,,,左岸,1.3,34.9464512,136.1633121,,,
,柿田川,,,,,右岸,1.3,34.94686256,136.1635359,,,
