水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,椎原川,,,,,左岸,0,34.8326087,135.9516805,,,
,椎原川,,,,,右岸,0,34.8326552,135.951334,,,
,椎原川,,,,,左岸,0.1,34.83324983,135.9519716,,,
,椎原川,,,,,右岸,0.1,34.83338572,135.9515665,,,
,椎原川,,,,,左岸,0.2,34.83391696,135.9528127,,,
,椎原川,,,,,右岸,0.2,34.83417182,135.9525033,,,
,椎原川,,,,,左岸,0.3,34.8346429,135.9535362,,,
,椎原川,,,,,右岸,0.3,34.83483451,135.9531657,,,
,椎原川,,,,,左岸,0.4,34.83534525,135.9540249,,,
,椎原川,,,,,右岸,0.4,34.83565577,135.9538026,,,
,椎原川,,,,,左岸,0.5,34.83594083,135.9549437,,,
,椎原川,,,,,右岸,0.5,34.83611688,135.954562,,,
,椎原川,,,,,左岸,0.6,34.83674707,135.95552,,,
,椎原川,,,,,右岸,0.6,34.83683765,135.9550967,,,
,椎原川,,,,,左岸,0.7,34.83776222,135.9553399,,,
,椎原川,,,,,右岸,0.7,34.83749338,135.9550484,,,
,椎原川,,,,,左岸,0.8,34.83806134,135.9546466,,,
,椎原川,,,,,右岸,0.8,34.83785507,135.9542879,,,
,椎原川,,,,,左岸,0.9,34.83895051,135.9542572,,,
,椎原川,,,,,右岸,0.9,34.83907535,135.9538468,,,
,椎原川,,,,,左岸,1,34.8390818,135.9549827,,,
,椎原川,,,,,右岸,1,34.83944172,135.9549557,,,
,椎原川,,,,,左岸,1.1,34.83987699,135.9554497,,,
,椎原川,,,,,右岸,1.1,34.84012173,135.9551285,,,
,椎原川,,,,,左岸,1.2,34.84076748,135.9553374,,,
,椎原川,,,,,右岸,1.2,34.84046979,135.9550905,,,
,椎原川,,,,,左岸,1.3,34.84135625,135.9554078,,,
,椎原川,,,,,右岸,1.3,34.84157576,135.9550608,,,
,椎原川,,,,,左岸,1.4,34.84216557,135.9561403,,,
,椎原川,,,,,右岸,1.4,34.84210149,135.9557099,,,
