水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,正雀川,,,,,左岸,0,34.77114408,135.5498668,,,
,正雀川,,,,,右岸,0,34.77095322,135.5494961,,,
,正雀川,,,,,左岸,0.1,34.77190699,135.5492821,,,
,正雀川,,,,,右岸,0.1,34.77171407,135.5489129,,,
,正雀川,,,,,左岸,0.2,34.77266306,135.54868,,,
,正雀川,,,,,右岸,0.2,34.77246466,135.5483151,,,
,正雀川,,,,,左岸,0.3,34.77341573,135.5480763,,,
,正雀川,,,,,右岸,0.3,34.77321551,135.5477129,,,
,正雀川,,,,,左岸,0.4,34.77415843,135.5474444,,,
,正雀川,,,,,右岸,0.4,34.77394823,135.5470893,,,
,正雀川,,,,,左岸,0.5,34.77713608,135.5449935,,,
,正雀川,,,,,右岸,0.5,34.77693265,135.5446327,,,
,正雀川,,,,,左岸,0.6,34.77788014,135.5443799,,,
,正雀川,,,,,右岸,0.6,34.77767914,135.544017,,,
,正雀川,,,,,左岸,0.7,34.7784849,135.5438793,,,
,正雀川,,,,,右岸,0.7,34.77826555,135.5435324,,,
,正雀川,,,,,左岸,0.8,34.78086603,135.5419517,,,
,正雀川,,,,,右岸,0.8,34.78068127,135.5415764,,,
,正雀川,,,,,左岸,0.9,34.78163855,135.5413616,,,
,正雀川,,,,,右岸,0.9,34.78143357,135.5410021,,,
,正雀川,,,,,左岸,1,34.78240817,135.5407927,,,
,正雀川,,,,,右岸,1,34.78220218,135.540434,,,
,正雀川,,,,,左岸,1.1,34.78315315,135.5401831,,,
,正雀川,,,,,右岸,1.1,34.78295148,135.5398208,,,
,正雀川,,,,,左岸,1.2,34.78390152,135.5395782,,,
,正雀川,,,,,右岸,1.2,34.78370308,135.5392133,,,
,正雀川,,,,,左岸,1.3,34.78464916,135.5389051,,,
,正雀川,,,,,右岸,1.3,34.78439913,135.5385902,,,
,正雀川,,,,,左岸,1.4,34.78540428,135.5381335,,,
,正雀川,,,,,右岸,1.4,34.78504644,135.5380796,,,
,正雀川,,,,,左岸,1.5,34.78549351,135.5372913,,,
,正雀川,,,,,右岸,1.5,34.78532712,135.5369035,,,
,正雀川,,,,,左岸,1.6,34.78596859,135.5367042,,,
,正雀川,,,,,右岸,1.6,34.78580771,135.536313,,,
,正雀川,,,,,左岸,1.7,34.7864841,135.5356069,,,
,正雀川,,,,,右岸,1.7,34.7861315,135.5356984,,,
,正雀川,,,,,左岸,1.8,34.78641286,135.5345957,,,
,正雀川,,,,,右岸,1.8,34.78605475,135.5345445,,,
,正雀川,,,,,左岸,1.9,34.78610725,135.5334872,,,
,正雀川,,,,,右岸,1.9,34.785769,135.5336387,,,
,正雀川,,,,,左岸,2,34.78581203,135.532609,,,
,正雀川,,,,,右岸,2,34.78546689,135.5324824,,,
,正雀川,,,,,左岸,2.1,34.78651922,135.5322805,,,
,正雀川,,,,,右岸,2.1,34.7863847,135.531875,,,
,正雀川,,,,,左岸,2.2,34.78737371,135.5317128,,,
,正雀川,,,,,右岸,2.2,34.78709152,135.5314407,,,
,正雀川,,,,,左岸,2.3,34.78795074,135.5308332,,,
,正雀川,,,,,右岸,2.3,34.78763928,135.5306129,,,
,正雀川,,,,,左岸,2.4,34.78834123,135.5298264,,,
,正雀川,,,,,右岸,2.4,34.78801417,135.5296423,,,
,正雀川,,,,,左岸,2.5,34.78877575,135.5289314,,,
,正雀川,,,,,右岸,2.5,34.78848973,135.5286653,,,
,正雀川,,,,,左岸,2.6,34.78922033,135.5279521,,,
,正雀川,,,,,右岸,2.6,34.78890908,135.5277314,,,
,正雀川,,,,,左岸,2.7,34.78968037,135.5270151,,,
,正雀川,,,,,右岸,2.7,34.78937111,135.5267903,,,
,正雀川,,,,,左岸,2.8,34.79016188,135.5260219,,,
,正雀川,,,,,右岸,2.8,34.78981338,135.5259097,,,
