水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,江蝉川,,,,,左岸,0,34.73148455,135.6301118,,,
,江蝉川,,,,,右岸,0,34.73145732,135.6294575,,,
,江蝉川,,,,,左岸,0.1,34.73238491,135.6300569,,,
,江蝉川,,,,,右岸,0.1,34.73235767,135.6294025,,,
,江蝉川,,,,,左岸,0.2,34.73319523,135.6300074,,,
,江蝉川,,,,,右岸,0.2,34.73316799,135.629353,,,
,江蝉川,,,,,左岸,0.3,34.7337907,135.6298083,,,
,江蝉川,,,,,右岸,0.3,34.7343315,135.6297954,,,
,江蝉川,,,,,左岸,0.4,34.73413005,135.6311066,,,
,江蝉川,,,,,右岸,0.4,34.73423507,135.6304638,,,
,江蝉川,,,,,左岸,0.5,34.73505049,135.6312645,,,
,江蝉川,,,,,右岸,0.5,34.73509844,135.6306119,,,
,江蝉川,,,,,左岸,0.6,34.73583399,135.6313399,,,
,江蝉川,,,,,右岸,0.6,34.73610063,135.6307698,,,
,江蝉川,,,,,左岸,0.7,34.73568251,135.6321086,,,
,江蝉川,,,,,右岸,0.7,34.73622304,135.6321329,,,
,江蝉川,,,,,左岸,0.8,34.73567484,135.6332091,,,
,江蝉川,,,,,右岸,0.8,34.73621571,135.6332162,,,
