水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,池田川,,,,,左岸,0,34.91622046,136.1843583,,,
,池田川,,,,,右岸,0,34.91652226,136.1847647,,,
,池田川,,,,,左岸,0.1,34.91549404,136.18457,,,
,池田川,,,,,右岸,0.1,34.91555378,136.1851123,,,
,池田川,,,,,左岸,0.2,34.91470457,136.1851065,,,
,池田川,,,,,右岸,0.2,34.91481754,136.1856363,,,
,池田川,,,,,左岸,0.3,34.91386423,136.1850887,,,
,池田川,,,,,右岸,0.3,34.91385604,136.1856358,,,
,池田川,,,,,左岸,0.4,34.91293818,136.1852547,,,
,池田川,,,,,右岸,0.4,34.9130011,136.1857965,,,
,池田川,,,,,左岸,0.5,34.91202316,136.1857313,,,
,池田川,,,,,右岸,0.5,34.91228447,136.1861771,,,
,池田川,,,,,左岸,0.6,34.91118292,136.1867974,,,
,池田川,,,,,右岸,0.6,34.9115107,136.187173,,,
