水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,河合川,,,,,左岸,0,34.80790839,136.1729537,,,
,河合川,,,,,右岸,0,34.80828815,136.1722104,,,
,河合川,,,,,左岸,0.1,34.80878534,136.1734981,,,
,河合川,,,,,右岸,0.1,34.8090052,136.1726654,,,
,河合川,,,,,左岸,0.2,34.80962721,136.1738319,,,
,河合川,,,,,右岸,0.2,34.80987665,136.1730114,,,
,河合川,,,,,左岸,0.3,34.81032128,136.1743447,,,
,河合川,,,,,右岸,0.3,34.81072502,136.1736201,,,
,河合川,,,,,左岸,0.4,34.81117028,136.1749391,,,
,河合川,,,,,右岸,0.4,34.81143113,136.1741239,,,
,河合川,,,,,左岸,0.5,34.81217462,136.1751811,,,
,河合川,,,,,右岸,0.5,34.81217588,136.1743066,,,
,河合川,,,,,左岸,0.6,34.81308204,136.1751662,,,
,河合川,,,,,右岸,0.6,34.81307127,136.1742918,,,
,河合川,,,,,左岸,0.7,34.81395441,136.1751888,,,
,河合川,,,,,右岸,0.7,34.8140001,136.1743161,,,
,河合川,,,,,左岸,0.8,34.81481548,136.1752947,,,
,河合川,,,,,右岸,0.8,34.81493216,136.1744318,,,
,河合川,,,,,左岸,0.9,34.81572847,136.1754612,,,
,河合川,,,,,右岸,0.9,34.81580148,136.1745912,,,
,河合川,,,,,左岸,1,34.81664093,136.1755384,,,
,河合川,,,,,右岸,1,34.81668718,136.1746658,,,
,河合川,,,,,左岸,1.1,34.81695,136.1758344,,,
,河合川,,,,,右岸,1.1,34.81765744,136.1756644,,,
,河合川,,,,,左岸,1.2,34.81700338,136.1768494,,,
,河合川,,,,,右岸,1.2,34.81772431,136.1768252,,,
,河合川,,,,,左岸,1.3,34.81738885,136.1781023,,,
,河合川,,,,,右岸,1.3,34.81797201,136.1775877,,,
,河合川,,,,,左岸,1.4,34.81797898,136.1789834,,,
,河合川,,,,,右岸,1.4,34.8185173,136.1784014,,,
,河合川,,,,,左岸,1.5,34.81911172,136.1795135,,,
,河合川,,,,,右岸,1.5,34.81899225,136.1786511,,,
,河合川,,,,,左岸,1.6,34.82011832,136.1788687,,,
,河合川,,,,,右岸,1.6,34.81955596,136.1783212,,,
,河合川,,,,,左岸,1.7,34.8206625,136.1777848,,,
,河合川,,,,,右岸,1.7,34.82003592,136.1773517,,,
,河合川,,,,,左岸,1.8,34.82102041,136.1769073,,,
