水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,泉川,,,,,左岸,0,34.98275117,136.1269163,,,
,泉川,,,,,右岸,0,34.9831987,136.1268511,,,
,泉川,,,,,左岸,0.1,34.98285632,136.1280007,,,
,泉川,,,,,右岸,0.1,34.98330448,136.1279423,,,
,泉川,,,,,左岸,0.2,34.98277055,136.128991,,,
,泉川,,,,,右岸,0.2,34.98320879,136.129119,,,
,泉川,,,,,左岸,0.3,34.98235891,136.1298531,,,
,泉川,,,,,右岸,0.3,34.98273664,136.1301519,,,
,泉川,,,,,左岸,0.4,34.98188143,136.1307937,,,
,泉川,,,,,右岸,0.4,34.98226792,136.1310755,,,
,泉川,,,,,左岸,0.5,34.98140761,136.1317177,,,
,泉川,,,,,右岸,0.5,34.98178839,136.1320108,,,
,泉川,,,,,左岸,0.6,34.98095941,136.132728,,,
,泉川,,,,,右岸,0.6,34.98138147,136.1329202,,,
,泉川,,,,,左岸,0.7,34.98067677,136.1337866,,,
,泉川,,,,,右岸,0.7,34.98110838,136.1339444,,,
,泉川,,,,,左岸,0.8,34.98041545,136.1348322,,,
,泉川,,,,,右岸,0.8,34.98084585,136.1349948,,,
,泉川,,,,,左岸,0.9,34.98006569,136.1358101,,,
,泉川,,,,,右岸,0.9,34.98047951,136.1360272,,,
,泉川,,,,,左岸,1,34.97970308,136.1368025,,,
,泉川,,,,,右岸,1,34.98011059,136.1370366,,,
,泉川,,,,,左岸,1.1,34.97932212,136.13775,,,
,泉川,,,,,右岸,1.1,34.97969681,136.1380544,,,
,泉川,,,,,左岸,1.2,34.9788034,136.1386298,,,
,泉川,,,,,右岸,1.2,34.97916602,136.1389551,,,
,泉川,,,,,左岸,1.3,34.97826798,136.139511,,,
,泉川,,,,,右岸,1.3,34.9786306,136.1398362,,,
,泉川,,,,,左岸,1.4,34.97774041,136.1404209,,,
,泉川,,,,,右岸,1.4,34.97811991,136.1407164,,,
,泉川,,,,,左岸,1.5,34.97735504,136.141346,,,
,泉川,,,,,右岸,1.5,34.9777749,136.1415452,,,
,泉川,,,,,左岸,1.6,34.97718081,136.1426287,,,
,泉川,,,,,右岸,1.6,34.97763154,136.1426295,,,
,泉川,,,,,左岸,1.7,34.97719075,136.1437172,,,
,泉川,,,,,右岸,1.7,34.97764134,136.1437312,,,
,泉川,,,,,左岸,1.8,34.97717269,136.1448119,,,
,泉川,,,,,右岸,1.8,34.97762327,136.1448264,,,
,泉川,,,,,左岸,1.9,34.97695348,136.1457621,,,
,泉川,,,,,右岸,1.9,34.97736693,136.1459802,,,
,泉川,,,,,左岸,2,34.97650782,136.1466073,,,
,泉川,,,,,右岸,2,34.97684457,136.1469713,,,
,泉川,,,,,左岸,2.1,34.97590989,136.1474586,,,
,泉川,,,,,右岸,2.1,34.97627168,136.1477852,,,
,泉川,,,,,左岸,2.2,34.97537603,136.1483501,,,
,泉川,,,,,右岸,2.2,34.9757449,136.1486648,,,
,泉川,,,,,左岸,2.3,34.97485582,136.1492336,,,
,泉川,,,,,右岸,2.3,34.97521607,136.1495627,,,
,泉川,,,,,左岸,2.4,34.97432765,136.1501265,,,
,泉川,,,,,右岸,2.4,34.97469245,136.1504481,,,
,泉川,,,,,左岸,2.5,34.97380064,136.1510192,,,
,泉川,,,,,右岸,2.5,34.97416865,136.1513353,,,
,泉川,,,,,左岸,2.6,34.97326508,136.1518958,,,
,泉川,,,,,右岸,2.6,34.97363283,136.1522125,,,
,泉川,,,,,左岸,2.7,34.97273961,136.1527829,,,
,泉川,,,,,右岸,2.7,34.97310519,136.1531032,,,
,泉川,,,,,左岸,2.8,34.97225339,136.1535836,,,
,泉川,,,,,右岸,2.8,34.97250283,136.1540397,,,
,泉川,,,,,左岸,2.9,34.97169938,136.1545878,,,
,泉川,,,,,右岸,2.9,34.97208583,136.1548696,,,
,泉川,,,,,左岸,3,34.97124827,136.1555287,,,
,泉川,,,,,右岸,3,34.97163027,136.1558193,,,
,泉川,,,,,左岸,3.1,34.97074574,136.1564139,,,
,泉川,,,,,右岸,3.1,34.97110943,136.1567374,,,
