水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,法竜川,,,,,左岸,0,35.08381882,135.9483704,,,
,法竜川,,,,,右岸,0,35.08420722,135.9479125,,,
,法竜川,,,,,左岸,0.1,35.08444618,135.949158,,,
,法竜川,,,,,右岸,0.1,35.08483459,135.9487,,,
,法竜川,,,,,左岸,0.2,35.08519987,135.9501032,,,
,法竜川,,,,,右岸,0.2,35.08558727,135.949644,,,
,法竜川,,,,,左岸,0.3,35.08570314,135.9507316,,,
,法竜川,,,,,右岸,0.3,35.08609054,135.9502724,,,
,法竜川,,,,,左岸,0.4,35.08632993,135.9515156,,,
,法竜川,,,,,右岸,0.4,35.08672077,135.9510607,,,
,法竜川,,,,,左岸,0.5,35.08695307,135.9523081,,,
,法竜川,,,,,右岸,0.5,35.08734391,135.9518532,,,
,法竜川,,,,,左岸,0.6,35.08757831,135.9531019,,,
,法竜川,,,,,右岸,0.6,35.08796604,135.9526431,,,
,法竜川,,,,,左岸,0.7,35.08820683,135.9538881,,,
,法竜川,,,,,右岸,0.7,35.08859456,135.9534293,,,
,法竜川,,,,,左岸,0.8,35.08883595,135.954674,,,
,法竜川,,,,,右岸,0.8,35.08922334,135.9542148,,,
,法竜川,,,,,左岸,0.9,35.0894617,135.9554595,,,
,法竜川,,,,,右岸,0.9,35.0898523,135.9550044,,,
,法竜川,,,,,左岸,1,35.09008526,135.9562516,,,
,法竜川,,,,,右岸,1,35.09047586,135.9557964,,,
,法竜川,,,,,左岸,1.1,35.09070881,135.9570436,,,
,法竜川,,,,,右岸,1.1,35.09109941,135.9565884,,,
,法竜川,,,,,左岸,1.2,35.09133582,135.9578336,,,
,法竜川,,,,,右岸,1.2,35.09172483,135.9573764,,,
,法竜川,,,,,左岸,1.3,35.09196212,135.9586224,,,
,法竜川,,,,,右岸,1.3,35.09235114,135.9581652,,,
,法竜川,,,,,左岸,1.4,35.09254191,135.9593685,,,
,法竜川,,,,,右岸,1.4,35.09300134,135.9590213,,,
,法竜川,,,,,左岸,1.5,35.09292367,135.9602044,,,
,法竜川,,,,,右岸,1.5,35.09340735,135.9599098,,,
,法竜川,,,,,左岸,1.6,35.09314326,135.961278,,,
,法竜川,,,,,右岸,1.6,35.09367643,135.9611673,,,
,法竜川,,,,,左岸,1.7,35.09316974,135.9621893,,,
,法竜川,,,,,右岸,1.7,35.09370988,135.9622237,,,
,法竜川,,,,,左岸,1.8,35.09292952,135.963219,,,
,法竜川,,,,,右岸,1.8,35.09341501,135.9635091,,,
,法竜川,,,,,左岸,1.9,35.09251548,135.9641626,,,
,法竜川,,,,,右岸,1.9,35.09298039,135.9644989,,,
,法竜川,,,,,左岸,2,35.09205442,135.9651103,,,
,法竜川,,,,,右岸,2,35.09252306,135.9654388,,,
,法竜川,,,,,左岸,2.1,35.09160433,135.9660606,,,
,法竜川,,,,,右岸,2.1,35.09207296,135.9663891,,,
,法竜川,,,,,左岸,2.2,35.09115427,135.96701,,,
,法竜川,,,,,右岸,2.2,35.09162231,135.9673398,,,
,法竜川,,,,,左岸,2.3,35.09070247,135.9679591,,,
,法竜川,,,,,右岸,2.3,35.09117051,135.9682889,,,
,法竜川,,,,,左岸,2.4,35.09025245,135.9689121,,,
,法竜川,,,,,右岸,2.4,35.09072239,135.9692379,,,
,法竜川,,,,,左岸,2.5,35.08980398,135.9698546,,,
,法竜川,,,,,右岸,2.5,35.09026756,135.9701936,,,
,法竜川,,,,,左岸,2.6,35.08933956,135.9707945,,,
,法竜川,,,,,右岸,2.6,35.08980313,135.9711336,,,
,法竜川,,,,,左岸,2.7,35.08888576,135.9717495,,,
,法竜川,,,,,右岸,2.7,35.08935466,135.9720775,,,
,法竜川,,,,,左岸,2.8,35.08844795,135.9727365,,,
,法竜川,,,,,右岸,2.8,35.08893635,135.9730193,,,
,法竜川,,,,,左岸,2.9,35.08811448,135.9737842,,,
,法竜川,,,,,右岸,2.9,35.08862031,135.9740172,,,
,法竜川,,,,,左岸,3,35.08780265,135.9748076,,,
,法竜川,,,,,右岸,3,35.08830549,135.97505,,,
,法竜川,,,,,左岸,3.1,35.08748452,135.9757761,,,
,法竜川,,,,,右岸,3.1,35.08794839,135.9761146,,,
,法竜川,,,,,左岸,3.2,35.08727129,135.9770186,,,
,法竜川,,,,,右岸,3.2,35.08780164,135.9768894,,,
,法竜川,,,,,左岸,3.3,35.08741544,135.9780118,,,
,法竜川,,,,,右岸,3.3,35.08795527,135.9780527,,,
,法竜川,,,,,左岸,3.4,35.08701913,135.9787921,,,
,法竜川,,,,,右岸,3.4,35.08746461,135.9791653,,,
,法竜川,,,,,左岸,3.5,35.08650211,135.9797085,,,
,法竜川,,,,,右岸,3.5,35.08696098,135.9800569,,,
,法竜川,,,,,左岸,3.6,35.08647176,135.9811408,,,
,法竜川,,,,,右岸,3.6,35.08667031,135.9807518,,,
,法竜川,,,,,左岸,3.7,35.08709145,135.9815824,,,
,法竜川,,,,,右岸,3.7,35.08728559,135.9812166,,,
,法竜川,,,,,左岸,3.8,35.08784007,135.9821937,,,
,法竜川,,,,,右岸,3.8,35.08803411,135.9818281,,,
,法竜川,,,,,左岸,3.9,35.08860405,135.9827753,,,
,法竜川,,,,,右岸,3.9,35.08880076,135.9824061,,,
,法竜川,,,,,左岸,4,35.08936126,135.9833704,,,
,法竜川,,,,,右岸,4,35.08956228,135.9829931,,,
,法竜川,,,,,左岸,4.1,35.09012763,135.9839536,,,
,法竜川,,,,,右岸,4.1,35.09030641,135.9836076,,,
,法竜川,,,,,左岸,4.2,35.09087937,135.9845534,,,
,法竜川,,,,,右岸,4.2,35.09107989,135.9841773,,,
,法竜川,,,,,左岸,4.3,35.09095164,135.9850636,,,
,法竜川,,,,,右岸,4.3,35.09125485,135.9853059,,,
,法竜川,,,,,左岸,4.4,35.09046179,135.9859781,,,
,法竜川,,,,,右岸,4.4,35.09076636,135.986234,,,
,法竜川,,,,,左岸,4.5,35.08995844,135.986893,,,
,法竜川,,,,,右岸,4.5,35.09026338,135.9871388,,,
,法竜川,,,,,左岸,4.6,35.08944618,135.9877876,,,
,法竜川,,,,,右岸,4.6,35.08974788,135.9880464,,,
,法竜川,,,,,左岸,4.7,35.08894221,135.9887012,,,
,法竜川,,,,,右岸,4.7,35.08922252,135.9889337,,,
,法竜川,,,,,左岸,4.8,35.08845345,135.9896256,,,
,法竜川,,,,,右岸,4.8,35.0887348,135.9898537,,,
,法竜川,,,,,左岸,4.9,35.08794551,135.9905287,,,
,法竜川,,,,,右岸,4.9,35.08824908,135.9907815,,,
,法竜川,,,,,左岸,5,35.08743981,135.9914395,,,
,法竜川,,,,,右岸,5,35.08773021,135.991675,,,
,法竜川,,,,,左岸,5.1,35.08693572,135.9923488,,,
,法竜川,,,,,右岸,5.1,35.08723269,135.9925896,,,
,法竜川,,,,,左岸,5.2,35.08642395,135.9932504,,,
,法竜川,,,,,右岸,5.2,35.08671419,135.9934883,,,
,法竜川,,,,,左岸,5.3,35.08591654,135.9941568,,,
,法竜川,,,,,右岸,5.3,35.0862445,135.9944257,,,
