水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,法貴谷川,,,,,左岸,0,35.0024054,135.5453214,,,
,法貴谷川,,,,,右岸,0,35.00248159,135.5456367,,,
,法貴谷川,,,,,左岸,0.1,35.0015428,135.5456209,,,
,法貴谷川,,,,,右岸,0.1,35.00161078,135.545939,,,
,法貴谷川,,,,,左岸,0.2,35.00068373,135.5457017,,,
,法貴谷川,,,,,右岸,0.2,35.00068254,135.5460304,,,
,法貴谷川,,,,,左岸,0.3,34.99978445,135.5456885,,,
,法貴谷川,,,,,右岸,0.3,34.99977909,135.5460171,,,
,法貴谷川,,,,,左岸,0.4,34.99888004,135.5456835,,,
,法貴谷川,,,,,右岸,0.4,34.9988807,135.5460122,,,
,法貴谷川,,,,,左岸,0.5,34.99798277,135.5456654,,,
,法貴谷川,,,,,右岸,0.5,34.99797549,135.5459939,,,
,法貴谷川,,,,,左岸,0.6,34.99707402,135.5456734,,,
,法貴谷川,,,,,右岸,0.6,34.99708208,135.5460019,,,
,法貴谷川,,,,,左岸,0.7,34.9966756,135.5452066,,,
,法貴谷川,,,,,右岸,0.7,34.99640701,135.5452449,,,
,法貴谷川,,,,,左岸,0.8,34.99644428,135.54417,,,
,法貴谷川,,,,,右岸,0.8,34.99617393,135.5441781,,,
,法貴谷川,,,,,左岸,0.9,34.99644714,135.5430422,,,
,法貴谷川,,,,,右岸,0.9,34.99618391,135.5431176,,,
,法貴谷川,,,,,左岸,1,34.9955109,135.542669,,,
,法貴谷川,,,,,右岸,1,34.99551514,135.5429976,,,
,法貴谷川,,,,,左岸,1.1,34.99480872,135.5424879,,,
,法貴谷川,,,,,右岸,1.1,34.9945844,135.5426714,,,
,法貴谷川,,,,,左岸,1.2,34.99431203,135.5415821,,,
,法貴谷川,,,,,右岸,1.2,34.99408156,135.5417541,,,
,法貴谷川,,,,,左岸,1.3,34.99341589,135.5412099,,,
,法貴谷川,,,,,右岸,1.3,34.99341231,135.5415385,,,
,法貴谷川,,,,,左岸,1.4,34.99263622,135.5409935,,,
,法貴谷川,,,,,右岸,1.4,34.99247939,135.5412612,,,
,法貴谷川,,,,,左岸,1.5,34.9921423,135.5401311,,,
,法貴谷川,,,,,右岸,1.5,34.99197804,135.5403921,,,
,法貴谷川,,,,,左岸,1.6,34.99161056,135.5393515,,,
,法貴谷川,,,,,右岸,1.6,34.9913733,135.5395092,,,
,法貴谷川,,,,,左岸,1.7,34.99113743,135.5383666,,,
,法貴谷川,,,,,右岸,1.7,34.99101221,135.5386579,,,
,法貴谷川,,,,,左岸,1.8,34.99057,135.5377262,,,
,法貴谷川,,,,,右岸,1.8,34.99032755,135.5378718,,,
,法貴谷川,,,,,左岸,1.9,34.98992002,135.536896,,,
,法貴谷川,,,,,右岸,1.9,34.98986821,135.5372185,,,
,法貴谷川,,,,,左岸,2,34.98918974,135.5363449,,,
,法貴谷川,,,,,右岸,2,34.98912951,135.5366652,,,
