水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,田根川,,,,,左岸,0,35.44567592,136.3001025,,,
,田根川,,,,,右岸,0,35.44589483,136.2994981,,,
,田根川,,,,,左岸,0.1,35.44666387,136.300371,,,
,田根川,,,,,右岸,0.1,35.44664649,136.2997105,,,
,田根川,,,,,左岸,0.2,35.44757752,136.3001944,,,
,田根川,,,,,右岸,0.2,35.44751101,136.2995384,,,
,田根川,,,,,左岸,0.3,35.44839176,136.3002164,,,
,田根川,,,,,右岸,0.3,35.44848605,136.2995655,,,
,田根川,,,,,左岸,0.4,35.44914506,136.3005755,,,
,田根川,,,,,右岸,0.4,35.44940611,136.2999967,,,
,田根川,,,,,左岸,0.5,35.44978931,136.3011963,,,
,田根川,,,,,右岸,0.5,35.45017513,136.3007331,,,
,田根川,,,,,左岸,0.6,35.450421,136.3019821,,,
,田根川,,,,,右岸,0.6,35.45080682,136.301519,,,
,田根川,,,,,左岸,0.7,35.45103526,136.3027787,,,
,田根川,,,,,右岸,0.7,35.45142907,136.3023257,,,
,田根川,,,,,左岸,0.8,35.45186981,136.3035199,,,
,田根川,,,,,右岸,0.8,35.45201739,136.3028841,,,
,田根川,,,,,左岸,0.9,35.45289823,136.3034058,,,
,田根川,,,,,右岸,0.9,35.45275323,136.302769,,,
,田根川,,,,,左岸,1,35.45376365,136.3031189,,,
,田根川,,,,,右岸,1,35.4536277,136.3024792,,,
,田根川,,,,,左岸,1.1,35.4546361,136.302842,,,
,田根川,,,,,右岸,1.1,35.45450015,136.3022022,,,
,田根川,,,,,左岸,1.2,35.45550856,136.3025651,,,
,田根川,,,,,右岸,1.2,35.4553726,136.3019253,,,
,田根川,,,,,左岸,1.3,35.45638101,136.3022882,,,
,田根川,,,,,右岸,1.3,35.45624505,136.3016484,,,
,田根川,,,,,左岸,1.4,35.45722495,136.3015047,,,
,田根川,,,,,右岸,1.4,35.45677107,136.3011453,,,
,田根川,,,,,左岸,1.5,35.45771514,136.3005802,,,
,田根川,,,,,右岸,1.5,35.45726126,136.3002207,,,
,田根川,,,,,左岸,1.6,35.45820608,136.2996589,,,
,田根川,,,,,右岸,1.6,35.45775418,136.2992957,,,
