水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,石田川（琵琶湖合流）,,,,,左岸,0,35.40763405,136.0466533,,,
,石田川（琵琶湖合流）,,,,,右岸,0,35.40655602,136.0458519,,,
,石田川（琵琶湖合流）,,,,,左岸,0.1,35.40810268,136.0457127,,,
,石田川（琵琶湖合流）,,,,,右岸,0.1,35.40702465,136.0449114,,,
,石田川（琵琶湖合流）,,,,,左岸,0.2,35.40857,136.044766,,,
,石田川（琵琶湖合流）,,,,,右岸,0.2,35.40748816,136.0439723,,,
,石田川（琵琶湖合流）,,,,,左岸,0.3,35.40903412,136.0438221,,,
,石田川（琵琶湖合流）,,,,,右岸,0.3,35.40795227,136.0430284,,,
,石田川（琵琶湖合流）,,,,,左岸,0.4,35.40950301,136.0429054,,,
,石田川（琵琶湖合流）,,,,,右岸,0.4,35.40843844,136.0420776,,,
,石田川（琵琶湖合流）,,,,,左岸,0.5,35.40998708,136.0419766,,,
,石田川（琵琶湖合流）,,,,,右岸,0.5,35.40892251,136.0411488,,,
,石田川（琵琶湖合流）,,,,,左岸,0.6,35.41048075,136.0412226,,,
,石田川（琵琶湖合流）,,,,,右岸,0.6,35.40954914,136.0401828,,,
,石田川（琵琶湖合流）,,,,,左岸,0.7,35.41111086,136.0404891,,,
,石田川（琵琶湖合流）,,,,,右岸,0.7,35.4102221,136.0393948,,,
,石田川（琵琶湖合流）,,,,,左岸,0.8,35.41175081,136.0397137,,,
,石田川（琵琶湖合流）,,,,,右岸,0.8,35.41086205,136.0386193,,,
,石田川（琵琶湖合流）,,,,,左岸,0.9,35.41239077,136.0389383,,,
,石田川（琵琶湖合流）,,,,,右岸,0.9,35.411502,136.0378439,,,
,石田川（琵琶湖合流）,,,,,左岸,1,35.41301506,136.0380184,,,
,石田川（琵琶湖合流）,,,,,右岸,1,35.41202272,136.037066,,,
,石田川（琵琶湖合流）,,,,,左岸,1.1,35.41356053,136.0369626,,,
,石田川（琵琶湖合流）,,,,,右岸,1.1,35.41243753,136.0362593,,,
,石田川（琵琶湖合流）,,,,,左岸,1.2,35.41388951,136.0361787,,,
,石田川（琵琶湖合流）,,,,,右岸,1.2,35.4127665,136.0354755,,,
,石田川（琵琶湖合流）,,,,,左岸,1.3,35.41442103,136.0351125,,,
,石田川（琵琶湖合流）,,,,,右岸,1.3,35.41335659,136.0342844,,,
,石田川（琵琶湖合流）,,,,,左岸,1.4,35.41489758,136.0341328,,,
,石田川（琵琶湖合流）,,,,,右岸,1.4,35.41380037,136.0333712,,,
,石田川（琵琶湖合流）,,,,,左岸,1.5,35.41523844,136.0328544,,,
,石田川（琵琶湖合流）,,,,,右岸,1.5,35.41399906,136.032564,,,
,石田川（琵琶湖合流）,,,,,左岸,1.6,35.41533259,136.0316291,,,
,石田川（琵琶湖合流）,,,,,右岸,1.6,35.41407077,136.0316047,,,
