水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,砂走川,,,,,左岸,0,34.93358494,136.1612521,,,
,砂走川,,,,,右岸,0,34.93403545,136.1612344,,,
,砂走川,,,,,左岸,0.1,34.93353818,136.1622878,,,
,砂走川,,,,,右岸,0.1,34.93398306,136.1623758,,,
,砂走川,,,,,左岸,0.2,34.93347409,136.1634061,,,
,砂走川,,,,,右岸,0.2,34.93392396,136.1634401,,,
,砂走川,,,,,左岸,0.3,34.9333295,136.1642779,,,
,砂走川,,,,,右岸,0.3,34.93374883,136.1644786,,,
,砂走川,,,,,左岸,0.4,34.93325744,136.1657576,,,
,砂走川,,,,,右岸,0.4,34.93362367,136.1654386,,,
,砂走川,,,,,左岸,0.5,34.93381806,136.1665165,,,
,砂走川,,,,,右岸,0.5,34.93414785,136.1661434,,,
,砂走川,,,,,左岸,0.6,34.93441353,136.1672977,,,
,砂走川,,,,,右岸,0.6,34.93477457,136.16697,,,
,砂走川,,,,,左岸,0.7,34.93416557,136.1679637,,,
,砂走川,,,,,右岸,0.7,34.93455654,136.168236,,,
,砂走川,,,,,左岸,0.8,34.93412496,136.1692162,,,
,砂走川,,,,,右岸,0.8,34.93449284,136.1688999,,,
,砂走川,,,,,左岸,0.9,34.93458264,136.1701812,,,
,砂走川,,,,,右岸,0.9,34.93491695,136.1698141,,,
,砂走川,,,,,左岸,1,34.93521913,136.171004,,,
,砂走川,,,,,右岸,1,34.93550783,136.1705837,,,
,砂走川,,,,,左岸,1.1,34.93534515,136.171494,,,
,砂走川,,,,,右岸,1.1,34.93570756,136.1718194,,,
,砂走川,,,,,左岸,1.2,34.9351157,136.1725004,,,
,砂走川,,,,,右岸,1.2,34.93544262,136.1728772,,,
,砂走川,,,,,左岸,1.3,34.9345614,136.1733295,,,
,砂走川,,,,,右岸,1.3,34.93492919,136.1736459,,,
,砂走川,,,,,左岸,1.4,34.93403326,136.1740035,,,
,砂走川,,,,,右岸,1.4,34.93423306,136.1744941,,,
,砂走川,,,,,左岸,1.5,34.93356102,136.1751275,,,
,砂走川,,,,,右岸,1.5,34.93400742,136.1752032,,,
,砂走川,,,,,左岸,1.6,34.93343298,136.1761641,,,
,砂走川,,,,,右岸,1.6,34.93387908,136.1762425,,,
