水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,磯尾川,,,,,左岸,0,34.92785874,136.1640947,,,
,磯尾川,,,,,右岸,0,34.92816787,136.164493,,,
,磯尾川,,,,,左岸,0.1,34.92734803,136.1643248,,,
,磯尾川,,,,,右岸,0.1,34.92717626,136.1648307,,,
,磯尾川,,,,,左岸,0.2,34.92632879,136.1641662,,,
,磯尾川,,,,,右岸,0.2,34.92650652,136.1646691,,,
,磯尾川,,,,,左岸,0.3,34.92558227,136.1644036,,,
,磯尾川,,,,,右岸,0.3,34.92552064,136.1649457,,,
,磯尾川,,,,,左岸,0.4,34.92460742,136.1648969,,,
,磯尾川,,,,,右岸,0.4,34.92501745,136.1651242,,,
,磯尾川,,,,,左岸,0.5,34.92421155,136.164749,,,
,磯尾川,,,,,右岸,0.5,34.92395881,136.1652021,,,
,磯尾川,,,,,左岸,0.6,34.92352493,136.164044,,,
,磯尾川,,,,,右岸,0.6,34.92327429,136.1644989,,,
,磯尾川,,,,,左岸,0.7,34.92246738,136.163951,,,
,磯尾川,,,,,右岸,0.7,34.92268813,136.1644282,,,
,磯尾川,,,,,左岸,0.8,34.92180186,136.1642688,,,
,磯尾川,,,,,右岸,0.8,34.92171143,136.1648049,,,
,磯尾川,,,,,左岸,0.9,34.92140842,136.1635244,,,
,磯尾川,,,,,右岸,0.9,34.92106044,136.1638722,,,
,磯尾川,,,,,左岸,1,34.92037907,136.1632232,,,
,磯尾川,,,,,右岸,1,34.92041505,136.1637687,,,
,磯尾川,,,,,左岸,1.1,34.91945427,136.1635916,,,
,磯尾川,,,,,右岸,1.1,34.9196411,136.1640896,,,
,磯尾川,,,,,左岸,1.2,34.91870326,136.1637327,,,
,磯尾川,,,,,右岸,1.2,34.91864473,136.1642753,,,
,磯尾川,,,,,左岸,1.3,34.91780941,136.1635905,,,
,磯尾川,,,,,右岸,1.3,34.91775088,136.1641331,,,
,磯尾川,,,,,左岸,1.4,34.91686778,136.1633886,,,
,磯尾川,,,,,右岸,1.4,34.91695166,136.1639262,,,
,磯尾川,,,,,左岸,1.5,34.91596668,136.1634622,,,
,磯尾川,,,,,右岸,1.5,34.91610852,136.1639816,,,
,磯尾川,,,,,左岸,1.6,34.91513914,136.1632893,,,
,磯尾川,,,,,右岸,1.6,34.91519359,136.1638325,,,
,磯尾川,,,,,左岸,1.7,34.91420861,136.1634834,,,
,磯尾川,,,,,右岸,1.7,34.91435026,136.1640029,,,
,磯尾川,,,,,左岸,1.8,34.91358686,136.163709,,,
,磯尾川,,,,,右岸,1.8,34.91327057,136.1640989,,,
,磯尾川,,,,,左岸,1.9,34.91277321,136.1635484,,,
,磯尾川,,,,,右岸,1.9,34.91247584,136.1639596,,,
,磯尾川,,,,,左岸,2,34.911833,136.1634268,,,
,磯尾川,,,,,右岸,2,34.91209514,136.1638719,,,
,磯尾川,,,,,左岸,2.1,34.9113832,136.1637077,,,
,磯尾川,,,,,右岸,2.1,34.91127729,136.1642396,,,
,磯尾川,,,,,左岸,2.2,34.91036926,136.1632462,,,
,磯尾川,,,,,右岸,2.2,34.91027721,136.1637818,,,
,磯尾川,,,,,左岸,2.3,34.90960103,136.1637386,,,
,磯尾川,,,,,右岸,2.3,34.90960988,136.1642857,,,
,磯尾川,,,,,左岸,2.4,34.90865344,136.1639464,,,
,磯尾川,,,,,右岸,2.4,34.90882015,136.1644548,,,
,磯尾川,,,,,左岸,2.5,34.90809472,136.1645937,,,
,磯尾川,,,,,右岸,2.5,34.90811236,136.1651405,,,
,磯尾川,,,,,左岸,2.6,34.90721629,136.1643693,,,
,磯尾川,,,,,右岸,2.6,34.90746108,136.1648287,,,
