水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,総谷川,,,,,左岸,0,35.30439997,136.3469965,,,
,総谷川,,,,,右岸,0,35.30408862,136.3473941,,,
,総谷川,,,,,左岸,0.1,35.30367077,136.3462393,,,
,総谷川,,,,,右岸,0.1,35.30345436,136.3467216,,,
,総谷川,,,,,左岸,0.2,35.30259777,136.3466415,,,
,総谷川,,,,,右岸,0.2,35.30296136,136.3469664,,,
,総谷川,,,,,左岸,0.3,35.3022627,136.3473068,,,
,総谷川,,,,,右岸,0.3,35.30218993,136.3478494,,,
,総谷川,,,,,左岸,0.4,35.30211725,136.3467248,,,
,総谷川,,,,,右岸,0.4,35.30166706,136.3467512,,,
,総谷川,,,,,左岸,0.5,35.30203262,136.3455638,,,
,総谷川,,,,,右岸,0.5,35.30160099,136.345722,,,
,総谷川,,,,,左岸,0.6,35.3019155,136.3444309,,,
,総谷川,,,,,右岸,0.6,35.30153757,136.3447305,,,
,総谷川,,,,,左岸,0.7,35.30196041,136.3439281,,,
,総谷川,,,,,右岸,0.7,35.30164519,136.3435352,,,
,総谷川,,,,,左岸,0.8,35.30202951,136.3426381,,,
,総谷川,,,,,右岸,0.8,35.30161416,136.3428515,,,
,総谷川,,,,,左岸,0.9,35.30127083,136.341897,,,
,総谷川,,,,,右岸,0.9,35.30095878,136.3422937,,,
,総谷川,,,,,左岸,1,35.30104212,136.3410524,,,
,総谷川,,,,,右岸,1,35.30060633,136.3411927,,,
,総谷川,,,,,左岸,1.1,35.30085166,136.3400623,,,
,総谷川,,,,,右岸,1.1,35.30040102,136.3400719,,,
,総谷川,,,,,左岸,1.2,35.30058307,136.3388458,,,
,総谷川,,,,,右岸,1.2,35.30025342,136.3392207,,,
,総谷川,,,,,左岸,1.3,35.29951117,136.3385524,,,
,総谷川,,,,,右岸,1.3,35.29971216,136.3390445,,,
,総谷川,,,,,左岸,1.4,35.29880952,136.3393088,,,
,総谷川,,,,,右岸,1.4,35.29907528,136.3397528,,,
,総谷川,,,,,左岸,1.5,35.2981883,136.3394091,,,
,総谷川,,,,,右岸,1.5,35.29806822,136.339939,,,
,総谷川,,,,,左岸,1.6,35.29726016,136.3401656,,,
,総谷川,,,,,右岸,1.6,35.2976955,136.340308,,,
,総谷川,,,,,左岸,1.7,35.29706162,136.340905,,,
,総谷川,,,,,右岸,1.7,35.29712167,136.3414498,,,
,総谷川,,,,,左岸,1.8,35.29624424,136.3410931,,,
,総谷川,,,,,右岸,1.8,35.29618539,136.3416382,,,
,総谷川,,,,,左岸,1.9,35.29517316,136.3412018,,,
,総谷川,,,,,右岸,1.9,35.29549549,136.3415861,,,
,総谷川,,,,,左岸,2,35.2952737,136.3425542,,,
,総谷川,,,,,右岸,2,35.29560791,136.3421853,,,
,総谷川,,,,,左岸,2.1,35.29533293,136.3430887,,,
,総谷川,,,,,右岸,2.1,35.29561541,136.3435171,,,
,総谷川,,,,,左岸,2.2,35.29472828,136.3440848,,,
,総谷川,,,,,右岸,2.2,35.2951673,136.3442091,,,
,総谷川,,,,,左岸,2.3,35.29434839,136.3449477,,,
,総谷川,,,,,右岸,2.3,35.29471424,136.3452688,,,
