水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,芹川,,,,,左岸,0,35.27385189,136.2354745,,,
,芹川,,,,,右岸,0,35.27494215,136.2364497,,,
,芹川,,,,,左岸,0.1,35.27331871,136.2363608,,,
,芹川,,,,,右岸,0.1,35.27440897,136.237336,,,
,芹川,,,,,左岸,0.2,35.27278553,136.2372471,,,
,芹川,,,,,右岸,0.2,35.27387578,136.2382223,,,
,芹川,,,,,左岸,0.3,35.27225942,136.2381641,,,
,芹川,,,,,右岸,0.3,35.27336875,136.2391069,,,
,芹川,,,,,左岸,0.4,35.27174413,136.2390635,,,
,芹川,,,,,右岸,0.4,35.27285151,136.2400096,,,
,芹川,,,,,左岸,0.5,35.27122687,136.2399637,,,
,芹川,,,,,右岸,0.5,35.27233424,136.2409098,,,
,芹川,,,,,左岸,0.6,35.2707096,136.2408639,,,
,芹川,,,,,右岸,0.6,35.27181696,136.24181,,,
,芹川,,,,,左岸,0.7,35.27019232,136.2417641,,,
,芹川,,,,,右岸,0.7,35.27129968,136.2427102,,,
,芹川,,,,,左岸,0.8,35.26982584,136.2424065,,,
,芹川,,,,,右岸,0.8,35.27094547,136.2433309,,,
,芹川,,,,,左岸,0.9,35.26967422,136.2426796,,,
,芹川,,,,,右岸,0.9,35.27079385,136.243604,,,
,芹川,,,,,左岸,1,35.26916882,136.2435897,,,
,芹川,,,,,右岸,1,35.27028845,136.2445141,,,
,芹川,,,,,左岸,1.1,35.26866342,136.2444999,,,
,芹川,,,,,右岸,1.1,35.26978304,136.2454243,,,
,芹川,,,,,左岸,1.2,35.26815654,136.2453921,,,
,芹川,,,,,右岸,1.2,35.26926335,136.2463391,,,
,芹川,,,,,左岸,1.3,35.26784586,136.2459319,,,
,芹川,,,,,右岸,1.3,35.26895266,136.2468789,,,
,芹川,,,,,左岸,1.4,35.26763874,136.2462918,,,
,芹川,,,,,右岸,1.4,35.26874554,136.2472388,,,
,芹川,,,,,左岸,1.5,35.26712093,136.2471914,,,
,芹川,,,,,右岸,1.5,35.26822772,136.2481385,,,
