水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,草野川,,,,,左岸,0,35.41562129,136.2910978,,,
,草野川,,,,,右岸,0,35.41704369,136.2901442,,,
,草野川,,,,,左岸,0.1,35.41623885,136.292178,,,
,草野川,,,,,右岸,0.1,35.41745326,136.2908636,,,
,草野川,,,,,左岸,0.2,35.41742059,136.2930235,,,
,草野川,,,,,右岸,0.2,35.41781876,136.2911021,,,
,草野川,,,,,左岸,0.3,35.41850554,136.2932173,,,
,草野川,,,,,右岸,0.3,35.41851034,136.2912352,,,
,草野川,,,,,左岸,0.4,35.41923655,136.2933436,,,
,草野川,,,,,右岸,0.4,35.41955946,136.2914011,,,
,草野川,,,,,左岸,0.5,35.41992168,136.2935896,,,
,草野川,,,,,右岸,0.5,35.42059189,136.2917844,,,
,草野川,,,,,左岸,0.6,35.42011067,136.2938839,,,
,草野川,,,,,右岸,0.6,35.42158765,136.2930633,,,
,草野川,,,,,左岸,0.7,35.42082068,136.2950739,,,
,草野川,,,,,右岸,0.7,35.42193129,136.2936289,,,
,草野川,,,,,左岸,0.8,35.42209007,136.2957011,,,
,草野川,,,,,右岸,0.8,35.42232432,136.2937396,,,
,草野川,,,,,左岸,0.9,35.42286038,136.2959126,,,
,草野川,,,,,右岸,0.9,35.42331077,136.2940083,,,
,草野川,,,,,左岸,1,35.42370117,136.2962783,,,
,草野川,,,,,右岸,1,35.42416675,136.2943794,,,
,草野川,,,,,左岸,1.1,35.42449244,136.2966023,,,
,草野川,,,,,右岸,1.1,35.42508355,136.2947562,,,
,草野川,,,,,左岸,1.2,35.42484175,136.2968466,,,
,草野川,,,,,右岸,1.2,35.42619446,136.295752,,,
,草野川,,,,,左岸,1.3,35.42489994,136.2972891,,,
,草野川,,,,,右岸,1.3,35.42651899,136.2974187,,,
,草野川,,,,,左岸,1.4,35.42506328,136.2987366,,,
,草野川,,,,,右岸,1.4,35.42660853,136.2981321,,,
,草野川,,,,,左岸,1.5,35.42542789,136.2997821,,,
,草野川,,,,,右岸,1.5,35.42695373,136.2991081,,,
,草野川,,,,,左岸,1.6,35.42572887,136.3008128,,,
,草野川,,,,,右岸,1.6,35.42725852,136.3001518,,,
,草野川,,,,,左岸,1.7,35.42599017,136.3018372,,,
,草野川,,,,,右岸,1.7,35.42753463,136.3012298,,,
,草野川,,,,,左岸,1.8,35.42634735,136.3029473,,,
,草野川,,,,,右岸,1.8,35.42783874,136.3021666,,,
,草野川,,,,,左岸,1.9,35.42659347,136.3038698,,,
,草野川,,,,,右岸,1.9,35.4281557,136.3033345,,,
,草野川,,,,,左岸,2,35.42677686,136.3048907,,,
,草野川,,,,,右岸,2,35.42836134,136.304464,,,
,草野川,,,,,左岸,2.1,35.4268603,136.3057759,,,
,草野川,,,,,右岸,2.1,35.42848278,136.3057612,,,
,草野川,,,,,左岸,2.2,35.4268382,136.3068066,,,
,草野川,,,,,右岸,2.2,35.42877325,136.3069551,,,
,草野川,,,,,左岸,2.3,35.42680077,136.3080163,,,
,草野川,,,,,右岸,2.3,35.42842131,136.3079183,,,
,草野川,,,,,左岸,2.4,35.42696434,136.3092793,,,
,草野川,,,,,右岸,2.4,35.42854354,136.3088243,,,
,草野川,,,,,左岸,2.5,35.42741747,136.3105122,,,
,草野川,,,,,右岸,2.5,35.42885088,136.3095834,,,
,草野川,,,,,左岸,2.6,35.42758473,136.3116081,,,
,草野川,,,,,右岸,2.6,35.4293041,136.310566,,,
,草野川,,,,,左岸,2.7,35.42829238,136.3124762,,,
,草野川,,,,,右岸,2.7,35.42969847,136.311487,,,
,草野川,,,,,左岸,2.8,35.42871374,136.313414,,,
,草野川,,,,,右岸,2.8,35.43014475,136.3124797,,,
,草野川,,,,,左岸,2.9,35.42908034,136.3143525,,,
,草野川,,,,,右岸,2.9,35.43055567,136.3135275,,,
