水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,西山川,,,,,左岸,0,34.98022316,136.1067068,,,
,西山川,,,,,右岸,0,34.97977271,136.1066873,,,
,西山川,,,,,左岸,0.1,34.98025688,136.1055917,,,
,西山川,,,,,右岸,0.1,34.97980652,136.1056139,,,
,西山川,,,,,左岸,0.2,34.98022486,136.1044669,,,
,西山川,,,,,右岸,0.2,34.97984825,136.1047678,,,
,西山川,,,,,左岸,0.3,34.97966335,136.1035832,,,
,西山川,,,,,右岸,0.3,34.97930701,136.1039186,,,
,西山川,,,,,左岸,0.4,34.97910371,136.1027214,,,
,西山川,,,,,右岸,0.4,34.97874986,136.1030607,,,
,西山川,,,,,左岸,0.5,34.97909665,136.1019947,,,
,西山川,,,,,右岸,0.5,34.9786463,136.1019719,,,
,西山川,,,,,左岸,0.6,34.97846517,136.1008922,,,
,西山川,,,,,右岸,0.6,34.97834358,136.1014195,,,
,西山川,,,,,左岸,0.7,34.97798981,136.1003175,,,
,西山川,,,,,右岸,0.7,34.97758646,136.1005619,,,
,西山川,,,,,左岸,0.8,34.9772276,136.0995123,,,
,西山川,,,,,右岸,0.8,34.97710784,136.1000402,,,
,西山川,,,,,左岸,0.9,34.97676295,136.0991502,,,
,西山川,,,,,右岸,0.9,34.976399,136.0994732,,,
,西山川,,,,,左岸,1,34.9760821,136.0979866,,,
,西山川,,,,,右岸,1,34.97588013,136.0984761,,,
