水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,車谷川,,,,,左岸,0,35.00543934,136.0995294,,,
,車谷川,,,,,右岸,0,35.00581462,136.099226,,,
,車谷川,,,,,左岸,0.1,35.00565669,136.100491,,,
,車谷川,,,,,右岸,0.1,35.00609408,136.1003587,,,
,車谷川,,,,,左岸,0.2,35.00636122,136.1014276,,,
,車谷川,,,,,右岸,0.2,35.00660535,136.1009671,,,
,車谷川,,,,,左岸,0.3,35.00715156,136.1016408,,,
,車谷川,,,,,右岸,0.3,35.00750989,136.1013085,,,
,車谷川,,,,,左岸,0.4,35.00793561,136.1023142,,,
,車谷川,,,,,右岸,0.4,35.00809875,136.1018035,,,
,車谷川,,,,,左岸,0.5,35.00872105,136.1027372,,,
,車谷川,,,,,右岸,0.5,35.00893515,136.1022552,,,
,車谷川,,,,,左岸,0.6,35.00966736,136.1030394,,,
,車谷川,,,,,右岸,0.6,35.0097167,136.1024948,,,
,車谷川,,,,,左岸,0.7,35.01041258,136.1034382,,,
,車谷川,,,,,右岸,0.7,35.01053923,136.1029125,,,
,車谷川,,,,,左岸,0.8,35.01117967,136.1038272,,,
,車谷川,,,,,右岸,0.8,35.01139897,136.1033486,,,
,車谷川,,,,,左岸,0.9,35.01184147,136.1044654,,,
,車谷川,,,,,右岸,0.9,35.01207041,136.1039935,,,
,車谷川,,,,,左岸,1,35.01223286,136.1053147,,,
,車谷川,,,,,右岸,1,35.01257943,136.1049644,,,
