水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,込田川,,,,,左岸,0,35.44308268,136.2895848,,,
,込田川,,,,,右岸,0,35.44342135,136.2894794,,,
,込田川,,,,,左岸,0.1,35.44330574,136.2906548,,,
,込田川,,,,,右岸,0.1,35.44364595,136.2905445,,,
,込田川,,,,,左岸,0.2,35.44375545,136.2916761,,,
,込田川,,,,,右岸,0.2,35.44398436,136.2915001,,,
,込田川,,,,,左岸,0.3,35.44409106,136.2926283,,,
,込田川,,,,,右岸,0.3,35.4443553,136.292558,,,
,込田川,,,,,左岸,0.4,35.44429437,136.2937011,,,
,込田川,,,,,右岸,0.4,35.4445587,136.2936314,,,
,込田川,,,,,左岸,0.5,35.44443199,136.2947682,,,
,込田川,,,,,右岸,0.5,35.44470118,136.2947367,,,
,込田川,,,,,左岸,0.6,35.44445944,136.2958518,,,
,込田川,,,,,右岸,0.6,35.44472986,136.2958527,,,
,込田川,,,,,左岸,0.7,35.44441982,136.296943,,,
,込田川,,,,,右岸,0.7,35.4446898,136.2969618,,,
,込田川,,,,,左岸,0.8,35.44436967,136.298043,,,
,込田川,,,,,右岸,0.8,35.44463967,136.2980614,,,
