水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,野瀬川,,,,,左岸,0,35.2692842,136.2265342,,,
,野瀬川,,,,,右岸,0,35.26956072,136.2269682,,,
,野瀬川,,,,,左岸,0.1,35.26857619,136.2271883,,,
,野瀬川,,,,,右岸,0.1,35.26883189,136.2276409,,,
,野瀬川,,,,,左岸,0.2,35.26779848,136.2276173,,,
,野瀬川,,,,,右岸,0.2,35.26797268,136.2281242,,,
,野瀬川,,,,,左岸,0.3,35.26697315,136.2280374,,,
,野瀬川,,,,,右岸,0.3,35.26713423,136.2285507,,,
,野瀬川,,,,,左岸,0.4,35.2662327,136.2281367,,,
,野瀬川,,,,,右岸,0.4,35.26612892,136.2286715,,,
,野瀬川,,,,,左岸,0.5,35.26535549,136.2278836,,,
,野瀬川,,,,,右岸,0.5,35.26525171,136.2284184,,,
,野瀬川,,,,,左岸,0.6,35.26435649,136.2277597,,,
,野瀬川,,,,,右岸,0.6,35.26448268,136.2282873,,,
,野瀬川,,,,,左岸,0.7,35.26346427,136.2282686,,,
,野瀬川,,,,,右岸,0.7,35.26374502,136.2286985,,,
,野瀬川,,,,,左岸,0.8,35.2628475,136.2291718,,,
,野瀬川,,,,,右岸,0.8,35.26322144,136.2294786,,,
,野瀬川,,,,,左岸,0.9,35.26234423,136.2300835,,,
,野瀬川,,,,,右岸,0.9,35.26271811,136.2303904,,,
,野瀬川,,,,,左岸,1,35.26184079,136.2309952,,,
,野瀬川,,,,,右岸,1,35.26221466,136.2313021,,,
,野瀬川,,,,,左岸,1.1,35.26133734,136.2319069,,,
,野瀬川,,,,,右岸,1.1,35.26171121,136.2322138,,,
,野瀬川,,,,,左岸,1.2,35.26083389,136.2328185,,,
,野瀬川,,,,,右岸,1.2,35.26120775,136.2331254,,,
,野瀬川,,,,,左岸,1.3,35.26033042,136.2337301,,,
,野瀬川,,,,,右岸,1.3,35.26070429,136.2340371,,,
,野瀬川,,,,,左岸,1.4,35.25982695,136.2346418,,,
,野瀬川,,,,,右岸,1.4,35.26020081,136.2349487,,,
,野瀬川,,,,,左岸,1.5,35.25932348,136.2355534,,,
,野瀬川,,,,,右岸,1.5,35.25969734,136.2358603,,,
,野瀬川,,,,,左岸,1.6,35.25882632,136.2357544,,,
,野瀬川,,,,,右岸,1.6,35.25855791,136.2361959,,,
,野瀬川,,,,,左岸,1.7,35.258247,136.2352308,,,
,野瀬川,,,,,右岸,1.7,35.25797859,136.2356723,,,
,野瀬川,,,,,左岸,1.8,35.25749832,136.2346018,,,
,野瀬川,,,,,右岸,1.8,35.25724263,136.2350543,,,
,野瀬川,,,,,左岸,1.9,35.25676393,136.233969,,,
,野瀬川,,,,,右岸,1.9,35.25650473,136.2344186,,,
,野瀬川,,,,,左岸,2,35.25574052,136.2336261,,,
,野瀬川,,,,,右岸,2,35.25585868,136.2341564,,,
,野瀬川,,,,,左岸,2.1,35.25493654,136.2342748,,,
,野瀬川,,,,,右岸,2.1,35.25519101,136.2347284,,,
,野瀬川,,,,,左岸,2.2,35.25411679,136.2345956,,,
,野瀬川,,,,,右岸,2.2,35.25433764,136.2350746,,,
,野瀬川,,,,,左岸,2.3,35.25339004,136.2352335,,,
,野瀬川,,,,,右岸,2.3,35.25360582,136.2357159,,,
,野瀬川,,,,,左岸,2.4,35.25259264,136.2356795,,,
,野瀬川,,,,,右岸,2.4,35.25276708,136.2361862,,,
,野瀬川,,,,,左岸,2.5,35.25166874,136.2362771,,,
,野瀬川,,,,,右岸,2.5,35.25194684,136.2367095,,,
,野瀬川,,,,,左岸,2.6,35.25095191,136.2370193,,,
,野瀬川,,,,,右岸,2.6,35.25122148,136.2374596,,,
,野瀬川,,,,,左岸,2.7,35.25042564,136.2373665,,,
,野瀬川,,,,,右岸,2.7,35.25056068,136.2378907,,,
,野瀬川,,,,,左岸,2.8,35.24937733,136.2378751,,,
,野瀬川,,,,,右岸,2.8,35.24960315,136.2383506,,,
,野瀬川,,,,,左岸,2.9,35.24871535,136.2385953,,,
,野瀬川,,,,,右岸,2.9,35.24906258,136.2389456,,,
,野瀬川,,,,,左岸,3,35.24796723,136.2389552,,,
,野瀬川,,,,,右岸,3,35.24821047,136.2394177,,,
,野瀬川,,,,,左岸,3.1,35.24722447,136.2397249,,,
,野瀬川,,,,,右岸,3.1,35.24759206,136.2400428,,,
,野瀬川,,,,,左岸,3.2,35.24654141,136.2404512,,,
,野瀬川,,,,,右岸,3.2,35.24692969,136.2407302,,,
,野瀬川,,,,,左岸,3.3,35.24604577,136.2414154,,,
,野瀬川,,,,,右岸,3.3,35.24646605,136.2416139,,,
,野瀬川,,,,,左岸,3.4,35.24593237,136.2423682,,,
,野瀬川,,,,,右岸,3.4,35.24638275,136.2423895,,,
,野瀬川,,,,,左岸,3.5,35.2454484,136.2432439,,,
,野瀬川,,,,,右岸,3.5,35.24577761,136.2436191,,,
,野瀬川,,,,,左岸,3.6,35.24480143,136.2438026,,,
,野瀬川,,,,,右岸,3.6,35.24497729,136.2443085,,,
,野瀬川,,,,,左岸,3.7,35.24413882,136.2448303,,,
,野瀬川,,,,,右岸,3.7,35.24458236,136.2449279,,,
,野瀬川,,,,,左岸,3.8,35.24356363,136.2456081,,,
,野瀬川,,,,,右岸,3.8,35.2436683,136.2461425,,,
,野瀬川,,,,,左岸,3.9,35.2429083,136.2459604,,,
,野瀬川,,,,,右岸,3.9,35.24317982,136.2463989,,,
,野瀬川,,,,,左岸,4,35.24237198,136.2465284,,,
,野瀬川,,,,,右岸,4,35.24264292,136.2469674,,,
,野瀬川,,,,,左岸,4.1,35.24142871,136.2477361,,,
,野瀬川,,,,,右岸,4.1,35.2418793,136.2477234,,,
