水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,長命寺川,,,,,左岸,0,35.15610203,136.0658025,,,
,長命寺川,,,,,右岸,0,35.15718377,136.0658034,,,
,長命寺川,,,,,左岸,0.1,35.15611654,136.0669863,,,
,長命寺川,,,,,右岸,0.1,35.15718888,136.0668131,,,
,長命寺川,,,,,左岸,0.2,35.15649427,136.0682291,,,
,長命寺川,,,,,右岸,0.2,35.15788009,136.0673133,,,
,長命寺川,,,,,左岸,0.3,35.15692427,136.0691938,,,
,長命寺川,,,,,右岸,0.3,35.15842959,136.068199,,,
,長命寺川,,,,,左岸,0.4,35.15735426,136.0701585,,,
,長命寺川,,,,,右岸,0.4,35.15870261,136.0692675,,,
,長命寺川,,,,,左岸,0.5,35.15778424,136.0711233,,,
,長命寺川,,,,,右岸,0.5,35.15889344,136.0703903,,,
,長命寺川,,,,,左岸,0.6,35.15821422,136.072088,,,
,長命寺川,,,,,右岸,0.6,35.15916498,136.0714597,,,
,長命寺川,,,,,左岸,0.7,35.15864419,136.0730528,,,
,長命寺川,,,,,右岸,0.7,35.15959495,136.0724245,,,
,長命寺川,,,,,左岸,0.8,35.15907415,136.0740175,,,
,長命寺川,,,,,右岸,0.8,35.16002491,136.0733893,,,
,長命寺川,,,,,左岸,0.9,35.1595041,136.0749823,,,
,長命寺川,,,,,右岸,0.9,35.16045487,136.074354,,,
,長命寺川,,,,,左岸,1,35.15993405,136.0759471,,,
,長命寺川,,,,,右岸,1,35.16088482,136.0753188,,,
,長命寺川,,,,,左岸,1.1,35.16036398,136.0769119,,,
,長命寺川,,,,,右岸,1.1,35.16131476,136.0762836,,,
,長命寺川,,,,,左岸,1.2,35.16079391,136.0778767,,,
,長命寺川,,,,,右岸,1.2,35.1617447,136.0772485,,,
,長命寺川,,,,,左岸,1.3,35.16122384,136.0788415,,,
,長命寺川,,,,,右岸,1.3,35.16217463,136.0782133,,,
,長命寺川,,,,,左岸,1.4,35.16191991,136.0799446,,,
,長命寺川,,,,,右岸,1.4,35.16253836,136.0788639,,,
,長命寺川,,,,,左岸,1.5,35.16281094,136.0805127,,,
,長命寺川,,,,,右岸,1.5,35.16324185,136.0793044,,,
,長命寺川,,,,,左岸,1.6,35.16363778,136.0809499,,,
,長命寺川,,,,,右岸,1.6,35.16406869,136.0797417,,,
,長命寺川,,,,,左岸,1.7,35.16429393,136.0813642,,,
,長命寺川,,,,,右岸,1.7,35.16499335,136.0803593,,,
,長命寺川,,,,,左岸,1.8,35.16475881,136.0820434,,,
,長命寺川,,,,,右岸,1.8,35.16567962,136.0813521,,,
,長命寺川,,,,,左岸,1.9,35.16514897,136.0829594,,,
,長命寺川,,,,,右岸,1.9,35.16612118,136.0823818,,,
,長命寺川,,,,,左岸,2,35.16554422,136.083946,,,
,長命寺川,,,,,右岸,2,35.16651643,136.0833684,,,
,長命寺川,,,,,左岸,2.1,35.16593946,136.0849326,,,
,長命寺川,,,,,右岸,2.1,35.16691168,136.084355,,,
,長命寺川,,,,,左岸,2.2,35.16625564,136.0857219,,,
,長命寺川,,,,,右岸,2.2,35.16722786,136.0851443,,,
,長命寺川,,,,,左岸,2.3,35.16667202,136.086853,,,
,長命寺川,,,,,右岸,2.3,35.1676924,136.0864156,,,
,長命寺川,,,,,左岸,2.4,35.16682693,136.0876899,,,
,長命寺川,,,,,右岸,2.4,35.16790845,136.0877164,,,
,長命寺川,,,,,左岸,2.5,35.16674498,136.0889217,,,
,長命寺川,,,,,右岸,2.5,35.16781609,136.0891059,,,
,長命寺川,,,,,左岸,2.6,35.16662598,136.0897648,,,
,長命寺川,,,,,右岸,2.6,35.16769123,136.0899939,,,
,長命寺川,,,,,左岸,2.7,35.1664692,136.0908458,,,
,長命寺川,,,,,右岸,2.7,35.16753445,136.0910749,,,
,長命寺川,,,,,左岸,2.8,35.16631241,136.0919268,,,
,長命寺川,,,,,右岸,2.8,35.16737766,136.092156,,,
,長命寺川,,,,,左岸,2.9,35.16615561,136.0930079,,,
,長命寺川,,,,,右岸,2.9,35.16722086,136.093237,,,
,長命寺川,,,,,左岸,3,35.16594673,136.0939547,,,
,長命寺川,,,,,右岸,3,35.16696299,136.094406,,,
,長命寺川,,,,,左岸,3.1,35.16557521,136.094819,,,
,長命寺川,,,,,右岸,3.1,35.16650708,136.095488,,,
,長命寺川,,,,,左岸,3.2,35.16511742,136.0957646,,,
,長命寺川,,,,,右岸,3.2,35.16604927,136.0964336,,,
,長命寺川,,,,,左岸,3.3,35.16477387,136.0967549,,,
,長命寺川,,,,,右岸,3.3,35.16569734,136.0974409,,,
,長命寺川,,,,,左岸,3.4,35.16430441,136.0976921,,,
,長命寺川,,,,,右岸,3.4,35.16522787,136.0983781,,,
,長命寺川,,,,,左岸,3.5,35.16383494,136.0986292,,,
,長命寺川,,,,,右岸,3.5,35.1647584,136.0993152,,,
