水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,長老墓地川,,,,,左岸,0,35.3282789,136.319371,,,
,長老墓地川,,,,,右岸,0,35.32869574,136.3195802,,,
,長老墓地川,,,,,左岸,0.1,35.32791666,136.3203635,,,
,長老墓地川,,,,,右岸,0.1,35.32832484,136.3205967,,,
,長老墓地川,,,,,左岸,0.2,35.32794404,136.321458,,,
,長老墓地川,,,,,右岸,0.2,35.32829009,136.3211057,,,
,長老墓地川,,,,,左岸,0.3,35.3285882,136.3224814,,,
,長老墓地川,,,,,右岸,0.3,35.32895933,136.3221693,,,
,長老墓地川,,,,,左岸,0.4,35.32892396,136.3234593,,,
,長老墓地川,,,,,右岸,0.4,35.32930716,136.3231697,,,
,長老墓地川,,,,,左岸,0.5,35.32937251,136.3243794,,,
,長老墓地川,,,,,右岸,0.5,35.32977833,136.3241401,,,
,長老墓地川,,,,,左岸,0.6,35.32928292,136.3253107,,,
,長老墓地川,,,,,右岸,0.6,35.32972939,136.3253859,,,
,長老墓地川,,,,,左岸,0.7,35.3291608,136.3264024,,,
,長老墓地川,,,,,右岸,0.7,35.32960769,136.3264739,,,
,長老墓地川,,,,,左岸,0.8,35.32935369,136.327589,,,
,長老墓地川,,,,,右岸,0.8,35.32978183,136.3274171,,,
,長老墓地川,,,,,左岸,0.9,35.32966382,136.328631,,,
,長老墓地川,,,,,右岸,0.9,35.33008732,136.3284428,,,
,長老墓地川,,,,,左岸,1,35.33040835,136.3294374,,,
,長老墓地川,,,,,右岸,1,35.33069491,136.3290129,,,
,長老墓地川,,,,,左岸,1.1,35.33129152,136.3299119,,,
,長老墓地川,,,,,右岸,1.1,35.33142466,136.3293864,,,
,長老墓地川,,,,,左岸,1.2,35.33188257,136.3306213,,,
,長老墓地川,,,,,右岸,1.2,35.33213241,136.3301635,,,
,長老墓地川,,,,,左岸,1.3,35.33257052,136.3313649,,,
,長老墓地川,,,,,右岸,1.3,35.33277979,136.3308778,,,
,長老墓地川,,,,,左岸,1.4,35.33335399,136.3320035,,,
,長老墓地川,,,,,右岸,1.4,35.33344201,136.3314641,,,
,長老墓地川,,,,,左岸,1.5,35.33379311,136.3322745,,,
,長老墓地川,,,,,右岸,1.5,35.33424323,136.3323025,,,
,長老墓地川,,,,,左岸,1.6,35.33375904,136.3333993,,,
,長老墓地川,,,,,右岸,1.6,35.33420932,136.3333754,,,
,長老墓地川,,,,,左岸,1.7,35.33393277,136.3343241,,,
,長老墓地川,,,,,右岸,1.7,35.33438109,136.3343807,,,
,長老墓地川,,,,,左岸,1.8,35.33371627,136.3354605,,,
,長老墓地川,,,,,右岸,1.8,35.33415253,136.3353224,,,
,長老墓地川,,,,,左岸,1.9,35.33384375,136.3362371,,,
,長老墓地川,,,,,右岸,1.9,35.33428645,136.3363403,,,
